country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MM,p0p1,2023,322098.1,0,.0009,0,0,.01
MM,p10p11,2023,845190.2000000001,412423.8,.0024,.0012,.1,.11
MM,p11p12,2023,876189.2000000001,487409.9,.0025,.0014,.11,.12
MM,p12p13,2023,906314.4,562396,.0026,.0016,.12,.13
MM,p13p14,2023,937958.3,637382.2000000001,.0027,.0018,.13,.14
MM,p14p15,2023,965462.1000000001,712368.4,.0028,.002,.14,.15
MM,p15p16,2023,995982.6000000001,787354.5,.0029,.0023,.15,.16
MM,p16p17,2023,1025982.9,862340.7000000001,.0029,.0025,.16,.17
MM,p17p18,2023,1051323,937326.9,.003,.0027,.17,.18
MM,p18p19,2023,1078285.9,1012312.9,.0031,.0029,.18,.19
MM,p19p20,2023,1104749.4,1087299.1,.0032,.0031,.19,.2
MM,p1p2,2023,409519.4,0,.0012,0,.01,.02
MM,p20p21,2023,1133147.8,1124792.2,.0032,.0032,.2,.21
MM,p21p22,2023,1162898.5,1154784.2,.0033,.0033,.21,.22
MM,p22p23,2023,1189382.9,1181505.9,.0034,.0034,.22,.23
MM,p23p24,2023,1219050.4,1211383.8,.0035,.0035,.23,.24
MM,p24p25,2023,1245846.8,1238358.1,.0036,.0035,.24,.25
MM,p25p26,2023,1277782,1270537.4,.0037,.0036,.25,.26
MM,p26p27,2023,1304474.4,1297694.5,.0037,.0037,.26,.27
MM,p27p28,2023,1335244.5,1328942.4,.0038,.0038,.27,.28
MM,p28p29,2023,1363851,1358001.8,.0039,.0039,.28,.29
MM,p29p30,2023,1396743.2,1391361.9,.004,.004,.29,.3
MM,p2p3,2023,500165.4,0,.0014,0,.02,.03
MM,p30p31,2023,1424912.7,1419948.4,.0041,.0041,.3,.31
MM,p31p32,2023,1452936.6,1448508.8,.0042,.0041,.31,.32
MM,p32p33,2023,1484039.6,1480174.5,.0043,.0042,.32,.33
MM,p33p34,2023,1511044.1,1507749.3,.0043,.0043,.33,.34
MM,p34p35,2023,1540628.3,1537881.2,.0044,.0044,.34,.35
MM,p35p36,2023,1572334.7,1570207.9,.0045,.0045,.35,.36
MM,p36p37,2023,1606516.8,1604244.5,.0046,.0046,.36,.37
MM,p37p38,2023,1636725.2,1634267.6,.0047,.0047,.37,.38
MM,p38p39,2023,1675671.5,1673159.2,.0048,.0048,.38,.39
MM,p39p40,2023,1713848.1,1711240.4,.0049,.0049,.39,.4
MM,p3p4,2023,563702.9,0,.0016,0,.03,.04
MM,p40p41,2023,1748113.4,1745364.3,.005,.005,.4,.41
MM,p41p42,2023,1785020.9,1782403.8,.0051,.0051,.41,.42
MM,p42p43,2023,1820950.6,1818467.4,.0052,.0052,.42,.43
MM,p43p44,2023,1857733.3,1855383.4,.0053,.0053,.43,.44
MM,p44p45,2023,1896409.2,1894242.9,.0054,.0054,.44,.45
MM,p45p46,2023,1937810.5,1935843.5,.0056,.0055,.45,.46
MM,p46p47,2023,1977776.3,1976473.6,.0057,.0057,.46,.47
