country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MN,p0p1,2023,3850298.9,0,.0014,0,0,.01
MN,p10p11,2023,7650059.800000001,3018560.4,.0027,.0011,.1,.11
MN,p11p12,2023,7885792.300000001,3567389.7,.0028,.0013,.11,.12
MN,p12p13,2023,8107589.2,4116218.7,.0029,.0015,.12,.13
MN,p13p14,2023,8342650.2,4665048.100000001,.003,.0017,.13,.14
MN,p14p15,2023,8586777.800000001,5213877.4,.003,.0019,.14,.15
MN,p15p16,2023,8836446.1,5762706.800000001,.0031,.002,.15,.16
MN,p16p17,2023,9079062.6,6311535.5,.0032,.0022,.16,.17
MN,p17p18,2023,9294479.200000001,6860364.800000001,.0033,.0024,.17,.18
MN,p18p19,2023,9517451.4,7409194.100000001,.0034,.0026,.18,.19
MN,p19p20,2023,9756542,7958023.5,.0035,.0028,.19,.2
MN,p1p2,2023,4206752.100000001,0,.0015,0,.01,.02
MN,p20p21,2023,10002180.7,8232438.2,.0036,.0029,.2,.21
MN,p21p22,2023,10212896.1,8470221.6,.0036,.003,.21,.22
MN,p22p23,2023,10410515.2,8692524.800000001,.0037,.0031,.22,.23
MN,p23p24,2023,10585971.5,8889579.800000001,.0038,.0032,.23,.24
MN,p24p25,2023,10795679.4,9123700.300000001,.0038,.0032,.24,.25
MN,p25p26,2023,10997999.8,9348435.4,.0039,.0033,.25,.26
MN,p26p27,2023,11223658.3,9595751.200000001,.004,.0034,.26,.27
MN,p27p28,2023,11421445.4,9811008.4,.0041,.0035,.27,.28
MN,p28p29,2023,11638037.3,10046071.3,.0041,.0036,.28,.29
MN,p29p30,2023,11867725.4,10294307.9,.0042,.0037,.29,.3
MN,p2p3,2023,4629526.100000001,0,.0016,0,.02,.03
MN,p30p31,2023,12102954.3,10547363.8,.0043,.0037,.3,.31
MN,p31p32,2023,12355309.1,10821626.3,.0044,.0038,.31,.32
MN,p32p33,2023,12600108.3,11087207.2,.0045,.0039,.32,.33
MN,p33p34,2023,12831475.5,11337291.3,.0046,.004,.33,.34
MN,p34p35,2023,13087859.8,11614557,.0046,.0041,.34,.35
