country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MO,p0p1,2023,0,0,0,0,0,.01
MO,p10p11,2023,198422.4,53952.5,.0033,.0009,.1,.11
MO,p11p12,2023,199863.2,63762,.0033,.0011,.11,.12
MO,p12p13,2023,205290.4,73571.5,.0034,.0012,.12,.13
MO,p13p14,2023,209455.4,83381.10000000001,.0035,.0014,.13,.14
MO,p14p15,2023,211879.4,93190.60000000001,.0035,.0016,.14,.15
MO,p15p16,2023,217152.8,103000.1,.0036,.0017,.15,.16
MO,p16p17,2023,218765.2,112809.7,.0036,.0019,.16,.17
MO,p17p18,2023,220649.3,122619.2,.0037,.002,.17,.18
MO,p18p19,2023,221217.8,132428.8,.0037,.0022,.18,.19
MO,p19p20,2023,222351.1,142238.3,.0037,.0024,.19,.2
MO,p1p2,2023,0,0,0,0,.01,.02
MO,p20p21,2023,222683.6,147143.1,.0037,.0025,.2,.21
MO,p21p22,2023,223484.5,154171.4,.0037,.0026,.21,.22
MO,p22p23,2023,225676,161196.6,.0038,.0027,.22,.23
MO,p23p24,2023,229901.9,168220.7,.0038,.0028,.23,.24
MO,p24p25,2023,236387.3,175274.9,.0039,.0029,.24,.25
MO,p25p26,2023,242944.2,182346.3,.0041,.003,.25,.26
MO,p26p27,2023,245100,189428.5,.0041,.0032,.26,.27
MO,p27p28,2023,249104.2,196532.2,.0042,.0033,.27,.28
MO,p28p29,2023,249522.5,203640.3,.0042,.0034,.28,.29
MO,p29p30,2023,250763.1,210754.8,.0042,.0035,.29,.3
MO,p2p3,2023,0,0,0,0,.02,.03
MO,p30p31,2023,254331.1,217869.2,.0042,.0036,.3,.31
MO,p31p32,2023,255975.7,224994.5,.0043,.0038,.31,.32
MO,p32p33,2023,256122.3,232119.7,.0043,.0039,.32,.33
MO,p33p34,2023,262786.4,239256.8,.0044,.004,.33,.34
MO,p34p35,2023,262865.1,246403.6,.0044,.0041,.34,.35
MO,p35p36,2023,269497,253550.3,.0045,.0042,.35,.36
MO,p36p37,2023,276175.4,260704.6,.0046,.0043,.36,.37
MO,p37p38,2023,282796.7,267866.4,.0047,.0045,.37,.38
MO,p38p39,2023,289510.9,275053,.0048,.0046,.38,.39
MO,p39p40,2023,296196.4,282232.1,.0049,.0047,.39,.4
MO,p3p4,2023,0,0,0,0,.03,.04
MO,p40p41,2023,302878.5,289421.9,.005,.0048,.4,.41
MO,p41p42,2023,309417.5,296623.5,.0052,.0049,.41,.42
MO,p42p43,2023,315992.2,303838.1,.0053,.0051,.42,.43
MO,p43p44,2023,322567,311067.7,.0054,.0052,.43,.44
MO,p44p45,2023,329120.3,318304.9,.0055,.0053,.44,.45
MO,p45p46,2023,335655.7,325552.8,.0056,.0054,.45,.46
MO,p46p47,2023,342294.8,332833,.0057,.0055,.46,.47
MO,p47p48,2023,348923.2,340156.3,.0058,.0057,.47,.48
MO,p48p49,2023,355691,347637.7,.0059,.0058,.48,.49
MO,p49p50,2023,362777,355377.4,.006,.0059,.49,.5
MO,p4p5,2023,0,0,0,0,.04,.05
MO,p50p51,2023,370149,363466.9,.0062,.0061,.5,.51
MO,p51p52,2023,377857.1,371918,.0063,.0062,.51,.52
MO,p52p53,2023,385908.4,380704.8,.0064,.0063,.52,.53
MO,p53p54,2023,394235,389836,.0066,.0065,.53,.54
MO,p54p55,2023,402890.5,399309.5,.0067,.0067,.54,.55
MO,p55p56,2023,411882.1,409127.2,.0069,.0068,.55,.5600000000000001
MO,p56p57,2023,421152.5,419316.3,.007,.007,.5600000000000001,.57
MO,p57p58,2023,430805.5,429878.7,.0072,.0072,.57,.58
MO,p58p59,2023,440830.3,440843.8,.0073,.0073,.58,.59
MO,p59p60,2023,451223.4,452214.4,.0075,.0075,.59,.6
MO,p5p6,2023,183657,4904.8,.0031,.0001,.05,.06
MO,p60p61,2023,462031.1,464024.2,.0077,.0077,.6,.61
MO,p61p62,2023,473175,476294.5,.0079,.0079,.61,.62
MO,p62p63,2023,484758.5,489031.9,.0081,.0082,.62,.63
MO,p63p64,2023,496824.8,502262.2,.0083,.0084,.63,.64
MO,p64p65,2023,509377.2,516034.9,.0085,.0086,.64,.65
MO,p65p66,2023,522437.4,530365,.0087,.0088,.65,.66
MO,p66p67,2023,535976.6,545266.6,.0089,.0091,.66,.67
MO,p67p68,2023,550152.1,560793.3,.0092,.0093,.67,.68
MO,p68p69,2023,564910.5,576978.8,.0094,.0096,.68,.6899999999999999
MO,p69p70,2023,580283.8,593857.3,.0097,.0099,.6899999999999999,.7
MO,p6p7,2023,187879.2,14714.3,.0031,.0002,.06,.07
MO,p70p71,2023,596204,611429.8,.0099,.0102,.7,.71
MO,p71p72,2023,612968,629804.1000000001,.0102,.0105,.71,.72
MO,p72p73,2023,630432.8,649013.6000000001,.0105,.0108,.72,.73
MO,p73p74,2023,648748.4,669091.5,.0108,.0112,.73,.74
MO,p74p75,2023,667872.1000000001,690090.5,.0111,.0115,.74,.75
MO,p75p76,2023,687860.9,712092.5,.0115,.0119,.75,.76
MO,p76p77,2023,708832.9,735180.4,.0118,.0123,.76,.77
MO,p77p78,2023,730802.4,759417.6000000001,.0122,.0127,.77,.78
MO,p78p79,2023,753808.7000000001,784867.7000000001,.0126,.0131,.78,.79
MO,p79p80,2023,778030.5,811672.7000000001,.013,.0135,.79,.8
MO,p7p8,2023,188290.4,24523.8,.0031,.0004,.07,.08
MO,p80p81,2023,803485.8,839926.1000000001,.0134,.014,.8,.8100000000000001
MO,p81p82,2023,830406.9,869805.6000000001,.0138,.0145,.8100000000000001,.82
MO,p82p83,2023,858831.3,901462.9,.0143,.015,.82,.83
MO,p83p84,2023,888948.6000000001,935077.8,.0148,.0156,.83,.84
MO,p84p85,2023,921032.3,970923.5,.0154,.0162,.84,.85
MO,p85p86,2023,955434.5,1009314.4,.0159,.0168,.85,.86
MO,p86p87,2023,992380.4,1050678.7,.0165,.0175,.86,.87
MO,p87p88,2023,1032558.2,1095581.4,.0172,.0183,.87,.88
MO,p88p89,2023,1076559.7,1144863,.0179,.0191,.88,.89
MO,p89p90,2023,1126006.3,1199637.3,.0188,.02,.89,.9
MO,p8p9,2023,192065.8,34333.4,.0032,.0006,.08,.09
MO,p90p91,2023,1183284.2,1261655.1,.0197,.021,.9,.91
MO,p91p92,2023,1250385,1333508.1,.0208,.0222,.91,.92
MO,p92p93,2023,1330747.8,1418801.1,.0222,.0237,.92,.93
MO,p93p94,2023,1429698.1,1523521,.0238,.0254,.93,.9399999999999999
MO,p94p95,2023,1552240.9,1655397.6,.0259,.0276,.9399999999999999,.95
MO,p95p96,2023,1708699.7,1828613.7,.0285,.0305,.95,.96
MO,p96p97,2023,1921600.7,2070188.5,.032,.0345,.96,.97
MO,p97p98,2023,2239406.4,2431250.3,.0373,.0405,.97,.98
MO,p98p99,2023,2811913.3,3065824.9,.0469,.0511,.98,.99
MO,p99.1p99.2,2023,3479981.1,3850108.7,.0058,.0064,.991,.992
MO,p99.2p99.3,2023,3639617.3,4034752.4,.0061,.0067,.992,.993
MO,p99.3p99.4,2023,3831108.4,4251446.5,.0064,.0071,.993,.9940000000000001
MO,p99.4p99.5,2023,4107827.3,4555419.100000001,.0068,.0076,.9940000000000001,.995
MO,p99.5p99.6,2023,4489669.8,4969240.5,.0075,.0083,.995,.996
MO,p99.6p99.7,2023,5013371,5527744.9,.0084,.0092,.996,.997
MO,p99.7p99.8,2023,5844256,6427135.9,.0097,.0107,.997,.998
MO,p99.8p99.9,2023,7818671.100000001,8686812,.013,.0145,.998,.9990000000000001
MO,p99.9p100,2023,33476887.5,37995087,.0558,.0633,.9990000000000001,1
MO,p99p99.1,2023,3341317.8,3684142.2,.0056,.0061,.99,.991
MO,p9p10,2023,197156.8,44142.9,.0033,.0007,.09,.1
