country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MR,p0p1,2023,18301.5,0,.0012,0,0,.01
MR,p10p11,2023,44816.60000000001,18972,.0029,.0012,.1,.11
MR,p11p12,2023,46408.10000000001,22421.4,.003,.0014,.11,.12
MR,p12p13,2023,48018.3,25870.8,.0031,.0017,.12,.13
MR,p13p14,2023,49380.10000000001,29320.3,.0032,.0019,.13,.14
MR,p14p15,2023,50515,32769.7,.0033,.0021,.14,.15
MR,p15p16,2023,51870.3,36219.2,.0033,.0023,.15,.16
MR,p16p17,2023,53112.7,39668.60000000001,.0034,.0026,.16,.17
MR,p17p18,2023,54439.3,43118.10000000001,.0035,.0028,.17,.18
MR,p18p19,2023,55496.3,46567.5,.0036,.003,.18,.19
MR,p19p20,2023,56424.60000000001,50017,.0036,.0032,.19,.2
MR,p1p2,2023,21732,0,.0014,0,.01,.02
MR,p20p21,2023,57701.2,51741.7,.0037,.0033,.2,.21
MR,p21p22,2023,58844.4,53377.10000000001,.0038,.0034,.21,.22
MR,p22p23,2023,59946.9,54975.7,.0039,.0035,.22,.23
MR,p23p24,2023,61020.60000000001,56547.3,.0039,.0036,.23,.24
MR,p24p25,2023,62219.4,58246.7,.004,.0037,.24,.25
MR,p25p26,2023,63160.60000000001,59683.5,.0041,.0038,.25,.26
MR,p26p27,2023,64161.2,61122,.0041,.0039,.26,.27
MR,p27p28,2023,65403.5,62804.3,.0042,.004,.27,.28
MR,p28p29,2023,66606.90000000001,64441.8,.0043,.0041,.28,.29
MR,p29p30,2023,67819.60000000001,66085.8,.0044,.0043,.29,.3
MR,p2p3,2023,26132.5,0,.0017,0,.02,.03
MR,p30p31,2023,69074,67765.2,.0044,.0044,.3,.31
MR,p31p32,2023,70814.7,69576.60000000001,.0046,.0045,.31,.32
MR,p32p33,2023,72555.5,71384.3,.0047,.0046,.32,.33
MR,p33p34,2023,73969.2,72856,.0048,.0047,.33,.34
