country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MT,p0p1,2023,7340.700000000001,0,.002,0,0,.01
MT,p10p11,2023,12484.1,5526,.0033,.0015,.1,.11
MT,p11p12,2023,13128.3,6530.700000000001,.0035,.0017,.11,.12
MT,p12p13,2023,13560.9,7535.400000000001,.0036,.002,.12,.13
MT,p13p14,2023,13805.1,8540.200000000001,.0037,.0023,.13,.14
MT,p14p15,2023,14032.9,9544.9,.0037,.0025,.14,.15
MT,p15p16,2023,14356.3,10549.6,.0038,.0028,.15,.16
MT,p16p17,2023,15068.6,11554.3,.004,.0031,.16,.17
MT,p17p18,2023,15528.6,12559.1,.0041,.0033,.17,.18
MT,p18p19,2023,15908,13563.8,.0042,.0036,.18,.19
MT,p19p20,2023,16362.4,14568.5,.0044,.0039,.19,.2
MT,p1p2,2023,7361.900000000001,0,.002,0,.01,.02
MT,p20p21,2023,16852,15070.9,.0045,.004,.2,.21
MT,p21p22,2023,17347.5,15707,.0046,.0042,.21,.22
MT,p22p23,2023,17677.3,16120,.0047,.0043,.22,.23
MT,p23p24,2023,17955.3,16461.3,.0048,.0044,.23,.24
MT,p24p25,2023,18219.6,16781.3,.0049,.0045,.24,.25
MT,p25p26,2023,18583.6,17227.6,.005,.0046,.25,.26
MT,p26p27,2023,19007.3,17699.2,.0051,.0047,.26,.27
MT,p27p28,2023,19260.2,17947.5,.0051,.0048,.27,.28
MT,p28p29,2023,19507.5,18185.8,.0052,.0048,.28,.29
MT,p29p30,2023,19828.6,18516,.0053,.0049,.29,.3
MT,p2p3,2023,7421,0,.002,0,.02,.03
MT,p30p31,2023,20136.7,18827,.0054,.005,.3,.31
MT,p31p32,2023,20384.6,19093.6,.0054,.0051,.31,.32
MT,p32p33,2023,20699,19441.9,.0055,.0052,.32,.33
MT,p33p34,2023,21075.8,19867,.0056,.0053,.33,.34
MT,p34p35,2023,21495.7,20343.6,.0057,.0054,.34,.35
MT,p35p36,2023,21844.5,20729.3,.0058,.0055,.35,.36
MT,p36p37,2023,22147.9,21058.4,.0059,.0056,.36,.37
MT,p37p38,2023,22511.1,21460.3,.006,.0057,.37,.38
MT,p38p39,2023,23015.3,22034.8,.0061,.0059,.38,.39
MT,p39p40,2023,23468,22542.7,.0063,.006,.39,.4
MT,p3p4,2023,7594,0,.002,0,.03,.04
MT,p40p41,2023,23857.3,22969.8,.0064,.0061,.4,.41
MT,p41p42,2023,24248,23418.1,.0065,.0062,.41,.42
MT,p42p43,2023,24540,23744.3,.0065,.0063,.42,.43
MT,p43p44,2023,24815.7,24049.2,.0066,.0064,.43,.44
MT,p44p45,2023,25106.6,24371.3,.0067,.0065,.44,.45
MT,p45p46,2023,25476.4,24789.3,.0068,.0066,.45,.46
MT,p46p47,2023,25818.9,25176,.0069,.0067,.46,.47
MT,p47p48,2023,26234.8,25650.6,.007,.0068,.47,.48
MT,p48p49,2023,26623.7,26090.8,.0071,.007,.48,.49
MT,p49p50,2023,26969.6,26477.5,.0072,.0071,.49,.5
MT,p4p5,2023,7913.8,0,.0021,0,.04,.05
MT,p50p51,2023,27348.3,26902.6,.0073,.0072,.5,.51
MT,p51p52,2023,27787.3,27410.5,.0074,.0073,.51,.52
MT,p52p53,2023,28188.4,27871.9,.0075,.0074,.52,.53
MT,p53p54,2023,28656.2,28412.1,.0076,.0076,.53,.54
MT,p54p55,2023,29138,28968.5,.0078,.0077,.54,.55
