country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MU,p0p1,2023,135595.3,0,.0014,0,0,.01
MU,p10p11,2023,251461.7,103679.1,.0026,.0011,.1,.11
MU,p11p12,2023,258415.9,122529.9,.0026,.0012,.11,.12
MU,p12p13,2023,264703.9,141380.6,.0027,.0014,.12,.13
MU,p13p14,2023,272347.6,160231.4,.0028,.0016,.13,.14
MU,p14p15,2023,279705.1,179082.2,.0029,.0018,.14,.15
MU,p15p16,2023,286706,197932.9,.0029,.002,.15,.16
MU,p16p17,2023,294355.7,216783.7,.003,.0022,.16,.17
MU,p17p18,2023,301415,235634.4,.0031,.0024,.17,.18
MU,p18p19,2023,308649.8,254485.2,.0031,.0026,.18,.19
MU,p19p20,2023,315551.4,273335.9,.0032,.0028,.19,.2
MU,p1p2,2023,146009.1,0,.0015,0,.01,.02
MU,p20p21,2023,322628.3,282761.3,.0033,.0029,.2,.21
MU,p21p22,2023,328881.2,291647.6,.0034,.003,.21,.22
MU,p22p23,2023,336151,301630.8,.0034,.0031,.22,.23
MU,p23p24,2023,341778.6,309675.7,.0035,.0032,.23,.24
MU,p24p25,2023,348534.2,318938.1,.0036,.0033,.24,.25
MU,p25p26,2023,355091,327923.7,.0036,.0033,.25,.26
MU,p26p27,2023,362208.8,337334.8,.0037,.0034,.26,.27
MU,p27p28,2023,369870.1,347303.4,.0038,.0035,.27,.28
MU,p28p29,2023,376502.9,356064.9,.0038,.0036,.28,.29
MU,p29p30,2023,383182.5,364837.4,.0039,.0037,.29,.3
MU,p2p3,2023,161220.6,0,.0016,0,.02,.03
MU,p30p31,2023,388886.1,372482.7,.004,.0038,.3,.31
MU,p31p32,2023,396635,380801.1,.004,.0039,.31,.32
MU,p32p33,2023,404348.9,389067.8,.0041,.004,.32,.33
MU,p33p34,2023,412618,397932.5,.0042,.0041,.33,.34
MU,p34p35,2023,420752.7,406613.3,.0043,.0041,.34,.35
MU,p35p36,2023,428717.9,415097,.0044,.0042,.35,.36
MU,p36p37,2023,436905.1,424235.2,.0045,.0043,.36,.37
MU,p37p38,2023,444864.5,433094.6,.0045,.0044,.37,.38
MU,p38p39,2023,453168.6,442311.2,.0046,.0045,.38,.39
MU,p39p40,2023,461057.8,451049.6,.0047,.0046,.39,.4
MU,p3p4,2023,173931.1,0,.0018,0,.03,.04
MU,p40p41,2023,469806.1,460701.4,.0048,.0047,.4,.41
MU,p41p42,2023,477590.1,469538.1,.0049,.0048,.41,.42
MU,p42p43,2023,487033.8,480177.3,.005,.0049,.42,.43
MU,p43p44,2023,495454.9,489676.2,.0051,.005,.43,.44
MU,p44p45,2023,503875.9,499170.5,.0051,.0051,.44,.45
MU,p45p46,2023,512863.7,509252,.0052,.0052,.45,.46
MU,p46p47,2023,521705.5,518992.4,.0053,.0053,.46,.47
MU,p47p48,2023,530734.3,528905.1,.0054,.0054,.47,.48
MU,p48p49,2023,539248.8,538240.9,.0055,.0055,.48,.49
MU,p49p50,2023,549130.8,549033.5,.0056,.0056,.49,.5
MU,p4p5,2023,185215.6,0,.0019,0,.04,.05
MU,p50p51,2023,560222.4,561129.2000000001,.0057,.0057,.5,.51
MU,p51p52,2023,570671.3,572383.5,.0058,.0058,.51,.52
MU,p52p53,2023,580494.8,582941.9,.0059,.0059,.52,.53
MU,p53p54,2023,591650.8,594938.6,.006,.0061,.53,.54
MU,p54p55,2023,602724.9,606827.6,.0061,.0062,.54,.55
MU,p55p56,2023,613430.9,618316.8,.0063,.0063,.55,.5600000000000001
MU,p56p57,2023,625223.8,630963.1000000001,.0064,.0064,.5600000000000001,.57
MU,p57p58,2023,637420,644051.2000000001,.0065,.0066,.57,.58
MU,p58p59,2023,650019.3,657579.9,.0066,.0067,.58,.59
MU,p59p60,2023,662309,670780.6000000001,.0068,.0068,.59,.6
MU,p5p6,2023,197107.8,9425.4,.002,.0001,.05,.06
MU,p60p61,2023,676123.9,685641.9,.0069,.007,.6,.61
MU,p61p62,2023,689068.1000000001,699623.6000000001,.007,.0071,.61,.62
MU,p62p63,2023,702427.1000000001,714059.6000000001,.0072,.0073,.62,.63
MU,p63p64,2023,716014.1000000001,728728.9,.0073,.0074,.63,.64
MU,p64p65,2023,731950.4,745934.9,.0075,.0076,.64,.65
MU,p65p66,2023,746565.9,761684.1000000001,.0076,.0078,.65,.66
MU,p66p67,2023,760380.8,776682.5,.0078,.0079,.66,.67
MU,p67p68,2023,776603.4,794258.1000000001,.0079,.0081,.67,.68
MU,p68p69,2023,791686.4,810591.8,.0081,.0083,.68,.6899999999999999
MU,p69p70,2023,808738.8,829028.6000000001,.0082,.0085,.6899999999999999,.7
MU,p6p7,2023,208082.6,28276.1,.0021,.0003,.06,.07
MU,p70p71,2023,825943.1000000001,847623.1000000001,.0084,.0086,.7,.71
MU,p71p72,2023,843685.1000000001,866201.1000000001,.0086,.0088,.71,.72
MU,p72p73,2023,862882.2000000001,886339.5,.0088,.009,.72,.73
MU,p73p74,2023,884411.1000000001,908992.6000000001,.009,.0093,.73,.74
MU,p74p75,2023,908487.8,934411.5,.0093,.0095,.74,.75
MU,p75p76,2023,935498.2000000001,962983.2000000001,.0095,.0098,.75,.76
MU,p76p77,2023,963537,992633.9,.0098,.0101,.76,.77
MU,p77p78,2023,990407.1000000001,1021020.8,.0101,.0104,.77,.78
MU,p78p79,2023,1016727.9,1048829,.0104,.0107,.78,.79
MU,p79p80,2023,1049395.1,1083467.1,.0107,.0111,.79,.8
MU,p7p8,2023,218870.4,47126.9,.0022,.0005,.07,.08
MU,p80p81,2023,1089238.6,1125817.6,.0111,.0115,.8,.8100000000000001
MU,p81p82,2023,1127212.1,1165922.3,.0115,.0119,.8100000000000001,.82
MU,p82p83,2023,1171409.3,1212691.2,.0119,.0124,.82,.83
MU,p83p84,2023,1222893.8,1267275.1,.0125,.0129,.83,.84
MU,p84p85,2023,1275050.3,1322560.3,.013,.0135,.84,.85
MU,p85p86,2023,1332203.3,1383187,.0136,.0141,.85,.86
