country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MV,p0p1,2023,25597.9,0,.0013,0,0,.01
MV,p10p11,2023,59088.9,27247.3,.0029,.0013,.1,.11
MV,p11p12,2023,61458.9,32201.3,.003,.0016,.11,.12
MV,p12p13,2023,63736.2,37155.3,.0032,.0018,.12,.13
MV,p13p14,2023,65991.7,42109.4,.0033,.0021,.13,.14
MV,p14p15,2023,68276.2,47063.4,.0034,.0023,.14,.15
MV,p15p16,2023,70348.60000000001,52017.5,.0035,.0026,.15,.16
MV,p16p17,2023,72816.2,56971.5,.0036,.0028,.16,.17
MV,p17p18,2023,75175.40000000001,61925.60000000001,.0037,.0031,.17,.18
MV,p18p19,2023,76797.2,66879.60000000001,.0038,.0033,.18,.19
MV,p19p20,2023,78151.5,71833.7,.0039,.0036,.19,.2
MV,p1p2,2023,29633,0,.0015,0,.01,.02
MV,p20p21,2023,80051.60000000001,74310.7,.004,.0037,.2,.21
MV,p21p22,2023,81913.10000000001,76276.2,.0041,.0038,.21,.22
MV,p22p23,2023,83927.70000000001,78407.40000000001,.0042,.0039,.22,.23
MV,p23p24,2023,85690.5,80248.8,.0042,.004,.23,.24
MV,p24p25,2023,88091.8,82800.10000000001,.0044,.0041,.24,.25
MV,p25p26,2023,90114.8,84918.5,.0045,.0042,.25,.26
MV,p26p27,2023,91687.20000000001,86482.90000000001,.0045,.0043,.26,.27
MV,p27p28,2023,93247.5,88027.90000000001,.0046,.0044,.27,.28
MV,p28p29,2023,94956,89732.20000000001,.0047,.0044,.28,.29
MV,p29p30,2023,97097.10000000001,91909.90000000001,.0048,.0045,.29,.3
MV,p2p3,2023,33630.8,0,.0017,0,.02,.03
MV,p30p31,2023,98880.40000000001,93684.60000000001,.0049,.0046,.3,.31
MV,p31p32,2023,100950.4,95872.5,.005,.0047,.31,.32
MV,p32p33,2023,102869.7,97888.3,.0051,.0048,.32,.33
MV,p33p34,2023,104667.4,99769.3,.0052,.0049,.33,.34
MV,p34p35,2023,106804.9,102018.3,.0053,.005,.34,.35
MV,p35p36,2023,108758,104063,.0054,.0051,.35,.36
MV,p36p37,2023,110518.4,105941.2,.0055,.0052,.36,.37
MV,p37p38,2023,112235.3,107770,.0056,.0053,.37,.38
MV,p38p39,2023,114510.2,110208.2,.0057,.0055,.38,.39
MV,p39p40,2023,116192.2,111990.8,.0057,.0055,.39,.4
MV,p3p4,2023,36991.3,0,.0018,0,.03,.04
MV,p40p41,2023,118433.3,114384.1,.0059,.0057,.4,.41
MV,p41p42,2023,119886.4,115956.2,.0059,.0057,.41,.42
MV,p42p43,2023,121439.5,117636.9,.006,.0058,.42,.43
MV,p43p44,2023,123328.8,119683.1,.0061,.0059,.43,.44
MV,p44p45,2023,125389.1,121916.9,.0062,.006,.44,.45
MV,p45p46,2023,127513.3,124218.5,.0063,.0061,.45,.46
MV,p46p47,2023,129841.2,126762.9,.0064,.0063,.46,.47
MV,p47p48,2023,132235.3,129375.1,.0065,.0064,.47,.48
