country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MW,p0p1,2023,109147.6,0,.0006,0,0,.01
MW,p10p11,2023,366976,171922.4,.0021,.001,.1,.11
MW,p11p12,2023,382419.5,203181,.0022,.0012,.11,.12
MW,p12p13,2023,399701.7,234439.6,.0023,.0014,.12,.13
MW,p13p14,2023,417076.9,265698.3,.0024,.0015,.13,.14
MW,p14p15,2023,433005.9,296956.9,.0025,.0017,.14,.15
MW,p15p16,2023,448025.8,328215.5,.0026,.0019,.15,.16
MW,p16p17,2023,464357.7,359474.2,.0027,.0021,.16,.17
MW,p17p18,2023,479522.3,390732.8,.0028,.0023,.17,.18
MW,p18p19,2023,495131,421991.4,.0029,.0024,.18,.19
MW,p19p20,2023,510419.5,453250,.0029,.0026,.19,.2
MW,p1p2,2023,143743,0,.0008,0,.01,.02
MW,p20p21,2023,525315.5,468879.3,.003,.0027,.2,.21
MW,p21p22,2023,539870.6,483031,.0031,.0028,.21,.22
MW,p22p23,2023,554652.9,497388.5,.0032,.0029,.22,.23
MW,p23p24,2023,567823.8,510162.1,.0033,.0029,.23,.24
MW,p24p25,2023,583938.7000000001,525805.5,.0034,.003,.24,.25
MW,p25p26,2023,598865.7000000001,540270.5,.0035,.0031,.25,.26
MW,p26p27,2023,612728.6,554262.4,.0035,.0032,.26,.27
MW,p27p28,2023,629700.9,571287.7000000001,.0036,.0033,.27,.28
MW,p28p29,2023,645278.7000000001,586935.9,.0037,.0034,.28,.29
MW,p29p30,2023,658883.4,600619.7000000001,.0038,.0035,.29,.3
MW,p2p3,2023,184144,0,.0011,0,.02,.03
MW,p30p31,2023,673107.9,614887.4,.0039,.0035,.3,.31
MW,p31p32,2023,687508.1000000001,629464.4,.004,.0036,.31,.32
MW,p32p33,2023,701092.1000000001,643215.1000000001,.004,.0037,.32,.33
MW,p33p34,2023,715254.7000000001,657545,.0041,.0038,.33,.34
MW,p34p35,2023,730698.1000000001,673114.8,.0042,.0039,.34,.35
MW,p35p36,2023,746265.5,688816.4,.0043,.004,.35,.36
MW,p36p37,2023,764053.9,706296.9,.0044,.0041,.36,.37
MW,p37p38,2023,779270.2000000001,721242.6000000001,.0045,.0042,.37,.38
MW,p38p39,2023,795013.2000000001,736692.3,.0046,.0043,.38,.39
MW,p39p40,2023,811386.4,752763.8,.0047,.0043,.39,.4
MW,p3p4,2023,214617.7,0,.0012,0,.03,.04
MW,p40p41,2023,826881.5,767965.8,.0048,.0044,.4,.41
MW,p41p42,2023,843110,784081.3,.0049,.0045,.41,.42
MW,p42p43,2023,859555.5,800440.4,.005,.0046,.42,.43
MW,p43p44,2023,875143.6000000001,815960.9,.005,.0047,.43,.44
MW,p44p45,2023,891950.6000000001,832700.6000000001,.0051,.0048,.44,.45
MW,p45p46,2023,910668.8,851324.2000000001,.0053,.0049,.45,.46
MW,p46p47,2023,926680.4,867703.2000000001,.0053,.005,.46,.47
MW,p47p48,2023,944985.3,886347,.0055,.0051,.47,.48
MW,p48p49,2023,963548.4,905276.1000000001,.0056,.0052,.48,.49
MW,p49p50,2023,982803.7000000001,924930.8,.0057,.0053,.49,.5
MW,p4p5,2023,240794.1,0,.0014,0,.04,.05
MW,p50p51,2023,1001563.1,944145.3,.0058,.0054,.5,.51
MW,p51p52,2023,1020828.7,963846.6000000001,.0059,.0056,.51,.52
MW,p52p53,2023,1041984.7,985473.7000000001,.006,.0057,.52,.53
MW,p53p54,2023,1066115.8,1010114.9,.0062,.0058,.53,.54
MW,p54p55,2023,1086982.5,1031578,.0063,.006,.54,.55
MW,p55p56,2023,1108500.1,1053753.7,.0064,.0061,.55,.5600000000000001
MW,p56p57,2023,1132166.3,1077888,.0065,.0062,.5600000000000001,.57
MW,p57p58,2023,1151824.4,1098106.2,.0066,.0063,.57,.58
MW,p58p59,2023,1174612.6,1121518.5,.0068,.0065,.58,.59
MW,p59p60,2023,1195004.2,1142624.1,.0069,.0066,.59,.6
MW,p5p6,2023,263830.2,15629.3,.0015,.0001,.05,.06
MW,p60p61,2023,1218370.8,1166750.1,.007,.0067,.6,.61
MW,p61p62,2023,1242140.3,1191479.5,.0072,.0069,.61,.62
MW,p62p63,2023,1267221.8,1217587.9,.0073,.007,.62,.63
MW,p63p64,2023,1292778.4,1244280.2,.0075,.0072,.63,.64
MW,p64p65,2023,1321155.1,1273884.3,.0076,.0074,.64,.65
MW,p65p66,2023,1354934.4,1309011.5,.0078,.0076,.65,.66
MW,p66p67,2023,1384054.9,1339664.2,.008,.0077,.66,.67
MW,p67p68,2023,1418536.7,1375821.9,.0082,.0079,.67,.68
MW,p68p69,2023,1447595.3,1406669.1,.0084,.0081,.68,.6899999999999999
MW,p69p70,2023,1482159.7,1443222.7,.0086,.0083,.6899999999999999,.7
MW,p6p7,2023,284913.9,46887.9,.0016,.0003,.06,.07
MW,p70p71,2023,1521868.5,1485102.7,.0088,.0086,.7,.71
MW,p71p72,2023,1556505.3,1522381.5,.009,.0088,.71,.72
MW,p72p73,2023,1594592.3,1563330.2,.0092,.009,.72,.73
MW,p73p74,2023,1631543,1603345.4,.0094,.0093,.73,.74
MW,p74p75,2023,1672749.7,1647903.4,.0097,.0095,.74,.75
MW,p75p76,2023,1720164.7,1699015.2,.0099,.0098,.75,.76
MW,p76p77,2023,1770348.2,1753265.2,.0102,.0101,.76,.77
MW,p77p78,2023,1824023.3,1811397.1,.0105,.0105,.77,.78
MW,p78p79,2023,1879836.7,1872094.2,.0108,.0108,.78,.79
MW,p79p80,2023,1938108.7,1935698.4,.0112,.0112,.79,.8
MW,p7p8,2023,306183.5,78146.60000000001,.0018,.0005,.07,.08
MW,p80p81,2023,2007495.9,2011109,.0116,.0116,.8,.8100000000000001
MW,p81p82,2023,2069734.6,2079524.4,.0119,.012,.8100000000000001,.82
MW,p82p83,2023,2150391.8,2167332.5,.0124,.0125,.82,.83
MW,p83p84,2023,2237350.4,2262201.6,.0129,.0131,.83,.84
MW,p84p85,2023,2335506.8,2369273.3,.0135,.0137,.84,.85
MW,p85p86,2023,2442423.2,2486072.1,.0141,.0143,.85,.86
MW,p86p87,2023,2556932.1,2612113,.0148,.0151,.86,.87
MW,p87p88,2023,2694378.9,2762805.4,.0155,.0159,.87,.88
MW,p88p89,2023,2876394.9,2960901.5,.0166,.0171,.88,.89
MW,p89p90,2023,3103904.6,3207728.4,.0179,.0185,.89,.9
MW,p8p9,2023,327814.7,109405.2,.0019,.0006,.08,.09
MW,p90p91,2023,3334683.7,3459370.4,.0192,.02,.9,.91
MW,p91p92,2023,3598012.9,3745397.4,.0208,.0216,.91,.92
MW,p92p93,2023,3960583.2,4137308.9,.0229,.0239,.92,.93
MW,p93p94,2023,4441546.5,4656092.600000001,.0256,.0269,.93,.9399999999999999
MW,p94p95,2023,5044218.800000001,5306262.9,.0291,.0306,.9399999999999999,.95
MW,p95p96,2023,5935379.2,6266051.5,.0342,.0362,.95,.96
MW,p96p97,2023,7223281.7,7652490.800000001,.0417,.0442,.96,.97
MW,p97p98,2023,9028047.200000001,9598525.9,.0521,.0554,.97,.98
MW,p98p99,2023,11969622.4,12774144.5,.0691,.0737,.98,.99
MW,p99.1p99.2,2023,14552446.8,15805280.5,.0084,.0091,.991,.992
MW,p99.2p99.3,2023,15255150.4,16707829.2,.0088,.0096,.992,.993
MW,p99.3p99.4,2023,16136758.1,17803708.5,.0093,.0103,.993,.9940000000000001
MW,p99.4p99.5,2023,17275081.1,19175578.5,.01,.0111,.9940000000000001,.995
MW,p99.5p99.6,2023,18788243.9,20966838.4,.0108,.0121,.995,.996
MW,p99.6p99.7,2023,20919132.6,23455502.9,.0121,.0135,.996,.997
MW,p99.7p99.8,2023,24257762.4,27282487.2,.014,.0157,.997,.998
MW,p99.8p99.9,2023,30617346.2,34483685.2,.0177,.0199,.998,.9990000000000001
MW,p99.9p100,2023,64386141.2,73157520.7,.0372,.0422,.9990000000000001,1
MW,p99p99.1,2023,13982820.4,15044529.9,.0081,.0087,.99,.991
MW,p9p10,2023,346853.1,140663.8,.002,.0008,.09,.1
