country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MX,p0p1,2023,16355.7,1.8,.0005,0,0,.01
MX,p10p11,2023,18125.6,34.6,.0006,0,.1,.11
MX,p11p12,2023,19321.3,36.5,.0006,0,.11,.12
MX,p12p13,2023,21213.4,38.3,.0007,0,.12,.13
MX,p13p14,2023,23234.8,344.5,.0008,0,.13,.14
MX,p14p15,2023,28814.3,5987.8,.0009,.0002,.14,.15
MX,p15p16,2023,34856.8,12276.3,.0011,.0004,.15,.16
MX,p16p17,2023,37948.2,17735.5,.0012,.0006,.16,.17
MX,p17p18,2023,40292.2,22279.7,.0013,.0007,.17,.18
MX,p18p19,2023,43152.2,26431.9,.0014,.0009,.18,.19
MX,p19p20,2023,46380.3,30338.1,.0015,.001,.19,.2
MX,p1p2,2023,16627.3,5.5,.0005,0,.01,.02
MX,p20p21,2023,49289.4,34315.4,.0016,.0011,.2,.21
MX,p21p22,2023,51684.5,37587.3,.0017,.0012,.21,.22
MX,p22p23,2023,54283.8,41198.2,.0018,.0013,.22,.23
MX,p23p24,2023,56259.7,43671.7,.0018,.0014,.23,.24
MX,p24p25,2023,58786,46741.2,.0019,.0015,.24,.25
MX,p25p26,2023,61432.7,49502.7,.002,.0016,.25,.26
MX,p26p27,2023,63434.10000000001,51784.8,.0021,.0017,.26,.27
MX,p27p28,2023,65818.3,54819.7,.0022,.0018,.27,.28
MX,p28p29,2023,68454,57796.3,.0022,.0019,.28,.29
MX,p29p30,2023,71483.40000000001,60464.8,.0023,.002,.29,.3
MX,p2p3,2023,16682,7.300000000000001,.0005,0,.02,.03
MX,p30p31,2023,73869.40000000001,63350.2,.0024,.0021,.3,.31
MX,p31p32,2023,75921.90000000001,65973.2,.0025,.0022,.31,.32
MX,p32p33,2023,78996.90000000001,69161.2,.0026,.0023,.32,.33
MX,p33p34,2023,80985.5,71479.8,.0026,.0023,.33,.34
MX,p34p35,2023,83096.3,73789.2,.0027,.0024,.34,.35
MX,p35p36,2023,85274.5,75931,.0028,.0025,.35,.36
MX,p36p37,2023,87735.20000000001,78448.2,.0029,.0026,.36,.37
MX,p37p38,2023,90234.20000000001,81065.70000000001,.003,.0027,.37,.38
MX,p38p39,2023,92330.40000000001,83187.40000000001,.003,.0027,.38,.39
