country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MY,p0p1,2023,2751.4,0,.0004,0,0,.01
MY,p10p11,2023,19230.2,9293.9,.0031,.0015,.1,.11
MY,p11p12,2023,20139.9,10983.7,.0032,.0017,.11,.12
MY,p12p13,2023,21121.7,12673.5,.0034,.002,.12,.13
MY,p13p14,2023,21886.9,14363.3,.0035,.0023,.13,.14
MY,p14p15,2023,22646.3,16053.1,.0036,.0025,.14,.15
MY,p15p16,2023,23482.4,17742.9,.0037,.0028,.15,.16
MY,p16p17,2023,23958.7,19432.7,.0038,.0031,.16,.17
MY,p17p18,2023,24406.8,21122.5,.0039,.0034,.17,.18
MY,p18p19,2023,25147.5,22812.3,.004,.0036,.18,.19
MY,p19p20,2023,26015.2,24502.1,.0041,.0039,.19,.2
MY,p1p2,2023,4789.400000000001,0,.0008,0,.01,.02
MY,p20p21,2023,26823.1,25347,.0043,.004,.2,.21
MY,p21p22,2023,27493.2,25998.8,.0044,.0041,.21,.22
MY,p22p23,2023,27954.1,26438.8,.0044,.0042,.22,.23
MY,p23p24,2023,28387.2,26850.3,.0045,.0043,.23,.24
MY,p24p25,2023,29074.2,27515.8,.0046,.0044,.24,.25
MY,p25p26,2023,29725.9,28143.9,.0047,.0045,.25,.26
MY,p26p27,2023,30335.5,28777.1,.0048,.0046,.26,.27
MY,p27p28,2023,30945.1,29407.9,.0049,.0047,.27,.28
MY,p28p29,2023,31550.2,30033.2,.005,.0048,.28,.29
MY,p29p30,2023,32046.8,30548.1,.0051,.0048,.29,.3
MY,p2p3,2023,7104.3,0,.0011,0,.02,.03
MY,p30p31,2023,32525.3,31043.6,.0052,.0049,.3,.31
MY,p31p32,2023,33009.4,31551.3,.0052,.005,.31,.32
MY,p32p33,2023,33606.3,32170.9,.0053,.0051,.32,.33
MY,p33p34,2023,34159.9,32746.9,.0054,.0052,.33,.34
MY,p34p35,2023,34621.9,33230.5,.0055,.0053,.34,.35
MY,p35p36,2023,35403.6,34033.8,.0056,.0054,.35,.36
MY,p36p37,2023,36113.5,34737.9,.0057,.0055,.36,.37
MY,p37p38,2023,36732.9,35351.5,.0058,.0056,.37,.38
MY,p38p39,2023,37292.9,35905.7,.0059,.0057,.38,.39
MY,p39p40,2023,37878.9,36486,.006,.0058,.39,.4
MY,p3p4,2023,9175.4,0,.0015,0,.03,.04
MY,p40p41,2023,38636.8,37239,.0061,.0059,.4,.41
MY,p41p42,2023,39155.6,37761,.0062,.006,.41,.42
MY,p42p43,2023,39992.8,38602.2,.0063,.0061,.42,.43
MY,p43p44,2023,40625.7,39240,.0064,.0062,.43,.44
MY,p44p45,2023,41495.2,40115.7,.0066,.0064,.44,.45
MY,p45p46,2023,42222.10000000001,40849.2,.0067,.0065,.45,.46
MY,p46p47,2023,42870.4,41506.8,.0068,.0066,.46,.47
MY,p47p48,2023,43584.4,42231.10000000001,.0069,.0067,.47,.48
MY,p48p49,2023,44406.60000000001,43064,.007,.0068,.48,.49
MY,p49p50,2023,45116.10000000001,43785.5,.0072,.0069,.49,.5
MY,p4p5,2023,11155.6,0,.0018,0,.04,.05
MY,p50p51,2023,46228.3,44910.5,.0073,.0071,.5,.51
MY,p51p52,2023,46877.8,45581.8,.0074,.0072,.51,.52
MY,p52p53,2023,47677.8,46404.60000000001,.0076,.0074,.52,.53
MY,p53p54,2023,48702.10000000001,47453,.0077,.0075,.53,.54
MY,p54p55,2023,49377.4,48151.8,.0078,.0076,.54,.55
MY,p55p56,2023,50358.9,49158.60000000001,.008,.0078,.55,.5600000000000001
MY,p56p57,2023,51212.3,50024.3,.0081,.0079,.5600000000000001,.57
MY,p57p58,2023,52160.3,50985.8,.0083,.0081,.57,.58
MY,p58p59,2023,53457.7,52298.3,.0085,.0083,.58,.59
MY,p59p60,2023,54118,52972.2,.0086,.0084,.59,.6
MY,p5p6,2023,12963.5,844.9000000000001,.0021,.0001,.05,.06
MY,p60p61,2023,55108.10000000001,53978.4,.0087,.0086,.6,.61
MY,p61p62,2023,55971.7,54868,.0089,.0087,.61,.62
MY,p62p63,2023,57159,56084.8,.0091,.0089,.62,.63
MY,p63p64,2023,58328.3,57285.10000000001,.0093,.0091,.63,.64
MY,p64p65,2023,59403.3,58391.60000000001,.0094,.0093,.64,.65
MY,p65p66,2023,60603.7,59626.9,.0096,.0095,.65,.66
MY,p66p67,2023,61825.9,60890.4,.0098,.0097,.66,.67
MY,p67p68,2023,62919,62025.9,.01,.0098,.67,.68
MY,p68p69,2023,63982,63132.5,.0102,.01,.68,.6899999999999999
