country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MZ,p0p1,2023,6865.1,0,.0009,0,0,.01
MZ,p10p11,2023,13619.3,4774.8,.0019,.0007,.1,.11
MZ,p11p12,2023,14166.1,5643,.002,.0008,.11,.12
MZ,p12p13,2023,14642.5,6511.1,.002,.0009,.12,.13
MZ,p13p14,2023,15062.9,7379.3,.0021,.001,.13,.14
MZ,p14p15,2023,15494.9,8247.5,.0021,.0011,.14,.15
MZ,p15p16,2023,15942.9,9115.6,.0022,.0013,.15,.16
MZ,p16p17,2023,16385.2,9983.800000000001,.0023,.0014,.16,.17
MZ,p17p18,2023,16783.2,10851.9,.0023,.0015,.17,.18
MZ,p18p19,2023,17214.3,11720.1,.0024,.0016,.18,.19
MZ,p19p20,2023,17730.9,12588.2,.0024,.0017,.19,.2
MZ,p1p2,2023,7811.1,0,.0011,0,.01,.02
MZ,p20p21,2023,18199.2,13022.3,.0025,.0018,.2,.21
MZ,p21p22,2023,18705.4,13591,.0026,.0019,.21,.22
MZ,p22p23,2023,19182.7,14130.8,.0026,.002,.22,.23
MZ,p23p24,2023,19581.9,14595,.0027,.002,.23,.24
MZ,p24p25,2023,19976.8,15054,.0028,.0021,.24,.25
MZ,p25p26,2023,20389,15529.2,.0028,.0021,.25,.26
MZ,p26p27,2023,20864.6,16033.8,.0029,.0022,.26,.27
MZ,p27p28,2023,21286.2,16485.6,.0029,.0023,.27,.28
MZ,p28p29,2023,21802.8,17027.6,.003,.0024,.28,.29
MZ,p29p30,2023,22238.3,17490.2,.0031,.0024,.29,.3
MZ,p2p3,2023,8433.4,0,.0012,0,.02,.03
MZ,p30p31,2023,22681.1,17959,.0031,.0025,.3,.31
MZ,p31p32,2023,23207.6,18474,.0032,.0026,.31,.32
MZ,p32p33,2023,23771.7,19024.8,.0033,.0026,.32,.33
MZ,p33p34,2023,24326.7,19566.9,.0034,.0027,.33,.34
MZ,p34p35,2023,24970.2,20193.1,.0034,.0028,.34,.35
MZ,p35p36,2023,25532.5,20742,.0035,.0029,.35,.36
MZ,p36p37,2023,26059,21270,.0036,.0029,.36,.37
MZ,p37p38,2023,26592.9,21804.5,.0037,.003,.37,.38
MZ,p38p39,2023,27179.8,22389.4,.0038,.0031,.38,.39
MZ,p39p40,2023,27677,22887.5,.0038,.0032,.39,.4
MZ,p3p4,2023,9065.300000000001,0,.0013,0,.03,.04
MZ,p40p41,2023,28130.6,23344.3,.0039,.0032,.4,.41
MZ,p41p42,2023,28635.1,23862,.004,.0033,.41,.42
MZ,p42p43,2023,29178.9,24418.3,.004,.0034,.42,.43
MZ,p43p44,2023,29844.4,25090.5,.0041,.0035,.43,.44
MZ,p44p45,2023,30478,25733.8,.0042,.0036,.44,.45
MZ,p45p46,2023,31147.3,26410.5,.0043,.0036,.45,.46
MZ,p46p47,2023,31755.4,27022.8,.0044,.0037,.46,.47
MZ,p47p48,2023,32446.4,27715.1,.0045,.0038,.47,.48
MZ,p48p49,2023,33097.6,28368.5,.0046,.0039,.48,.49
MZ,p49p50,2023,33691.5,28967.7,.0047,.004,.49,.5
MZ,p4p5,2023,9779.5,0,.0014,0,.04,.05
MZ,p50p51,2023,34292.7,29573.6,.0047,.0041,.5,.51
MZ,p51p52,2023,35025,30312.9,.0048,.0042,.51,.52
MZ,p52p53,2023,35705.2,31002,.0049,.0043,.52,.53
MZ,p53p54,2023,36405.7,31711.7,.005,.0044,.53,.54
MZ,p54p55,2023,37084.5,32401.3,.0051,.0045,.54,.55
MZ,p55p56,2023,37898.5,33221.5,.0052,.0046,.55,.5600000000000001
MZ,p56p57,2023,38563.1,33902.6,.0053,.0047,.5600000000000001,.57
MZ,p57p58,2023,39410.3,34761.9,.0054,.0048,.57,.58
MZ,p58p59,2023,40296.3,35658.6,.0056,.0049,.58,.59
MZ,p59p60,2023,41192.7,36566,.0057,.0051,.59,.6
MZ,p5p6,2023,10470.1,434.1,.0014,.0001,.05,.06
MZ,p60p61,2023,41982.5,37371.3,.0058,.0052,.6,.61
MZ,p61p62,2023,42882.8,38292.5,.0059,.0053,.61,.62
MZ,p62p63,2023,43938.8,39366.9,.0061,.0054,.62,.63
MZ,p63p64,2023,44969.9,40418,.0062,.0056,.63,.64
MZ,p64p65,2023,46145.9,41613.4,.0064,.0057,.64,.65
MZ,p65p66,2023,47467,42953,.0066,.0059,.65,.66
