country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NC,p0p1,2023,0,0,0,0,0,.01
NC,p10p11,2023,1557393.7,458351.6,.003,.0009,.1,.11
NC,p11p12,2023,1600497.6,541702.2000000001,.0031,.0011,.11,.12
NC,p12p13,2023,1679762.1,625022.1,.0033,.0012,.12,.13
NC,p13p14,2023,1742927.9,708342,.0034,.0014,.13,.14
NC,p14p15,2023,1761607.3,791692.6000000001,.0034,.0015,.14,.15
NC,p15p16,2023,1763235.6,875043.2000000001,.0034,.0017,.15,.16
NC,p16p17,2023,1785018,958363.1000000001,.0035,.0019,.16,.17
NC,p17p18,2023,1791746.2,1041713.7,.0035,.002,.17,.18
NC,p18p19,2023,1889106.4,1125033.6,.0037,.0022,.18,.19
NC,p19p20,2023,1892086.5,1208353.5,.0037,.0023,.19,.2
NC,p1p2,2023,0,0,0,0,.01,.02
NC,p20p21,2023,1904099,1250044.1,.0037,.0024,.2,.21
NC,p21p22,2023,1928922.9,1324853.9,.0037,.0026,.21,.22
NC,p22p23,2023,1968401.6,1400677.4,.0038,.0027,.22,.23
NC,p23p24,2023,1994761.6,1477545.5,.0039,.0029,.23,.24
NC,p24p25,2023,2070493,1555304.6,.004,.003,.24,.25
NC,p25p26,2023,2096515.1,1633954.7,.0041,.0032,.25,.26
NC,p26p27,2023,2104994.6,1713434.2,.0041,.0033,.26,.27
NC,p27p28,2023,2136976.9,1793651.1,.0041,.0035,.27,.28
NC,p28p29,2023,2139342.5,1874513.2,.0042,.0036,.28,.29
NC,p29p30,2023,2147545.5,1955989.7,.0042,.0038,.29,.3
NC,p2p3,2023,0,0,0,0,.02,.03
NC,p30p31,2023,2225488.9,2037896.4,.0043,.004,.3,.31
NC,p31p32,2023,2304292.5,2120294.6,.0045,.0041,.31,.32
NC,p32p33,2023,2383495.6,2202938.6,.0046,.0043,.32,.33
NC,p33p34,2023,2462821.5,2285797.6,.0048,.0044,.33,.34
NC,p34p35,2023,2542700.5,2368779.6,.0049,.0046,.34,.35
NC,p35p36,2023,2622886.7,2451730.8,.0051,.0048,.35,.36
NC,p36p37,2023,2702396.9,2534589.8,.0052,.0049,.36,.37
NC,p37p38,2023,2780985.5,2617172.4,.0054,.0051,.37,.38
NC,p38p39,2023,2859758.5,2699386.3,.0055,.0052,.38,.39
NC,p39p40,2023,2937671.1,2781139.3,.0057,.0054,.39,.4
NC,p3p4,2023,0,0,0,0,.03,.04
NC,p40p41,2023,3014785.1,2862216.4,.0058,.0056,.4,.41
NC,p41p42,2023,3089410.4,2942556.2,.006,.0057,.41,.42
NC,p42p43,2023,3163298.5,3021974.3,.0061,.0059,.42,.43
NC,p43p44,2023,3235896.1,3100409.3,.0063,.006,.43,.44
NC,p44p45,2023,3306926.9,3177615.4,.0064,.0062,.44,.45
NC,p45p46,2023,3376329.5,3253561.9,.0066,.0063,.45,.46
NC,p46p47,2023,3444902.5,3328033.6,.0067,.0065,.46,.47
NC,p47p48,2023,3511232.7,3400969.2,.0068,.0066,.47,.48
NC,p48p49,2023,3575719.6,3472184.4,.0069,.0067,.48,.49
NC,p49p50,2023,3638824,3541617.6,.0071,.0069,.49,.5
NC,p4p5,2023,0,0,0,0,.04,.05
NC,p50p51,2023,3699409.1,3609146.1,.0072,.007,.5,.51
NC,p51p52,2023,3757690,3674769.7,.0073,.0071,.51,.52
NC,p52p53,2023,3813973.9,3738273.5,.0074,.0073,.52,.53
NC,p53p54,2023,3867554.3,3799718.8,.0075,.0074,.53,.54
NC,p54p55,2023,3918861.1,3858952.1,.0076,.0075,.54,.55
NC,p55p56,2023,3967925.2,3915942.7,.0077,.0076,.55,.5600000000000001
NC,p56p57,2023,4013917.1,3970659.8,.0078,.0077,.5600000000000001,.57
NC,p57p58,2023,4057850.5,4022980.5,.0079,.0078,.57,.58
NC,p58p59,2023,4099203.2,4072874.1,.008,.0079,.58,.59
NC,p59p60,2023,4138036.7,4120340.6,.008,.008,.59,.6
NC,p5p6,2023,1373364.9,41659.9,.0027,.0001,.05,.06
NC,p60p61,2023,4174350.9,4165287.9,.0081,.0081,.6,.61
NC,p61p62,2023,4207316.3,4207746.7,.0082,.0082,.61,.62
NC,p62p63,2023,4237885.3,4247655.4,.0082,.0082,.62,.63
NC,p63p64,2023,4266180.9,4285044.9,.0083,.0083,.63,.64
NC,p64p65,2023,4291926.5,4319945.9,.0083,.0084,.64,.65
NC,p65p66,2023,4315183.600000001,4352389,.0084,.0084,.65,.66
NC,p66p67,2023,4335737.100000001,4382405,.0084,.0085,.66,.67
NC,p67p68,2023,4354631.5,4410209.100000001,.0084,.0086,.67,.68
NC,p68p69,2023,4371283.2,4435862.5,.0085,.0086,.68,.6899999999999999
NC,p69p70,2023,4385968.600000001,4459580.4,.0085,.0087,.6899999999999999,.7
NC,p6p7,2023,1386852.1,125010.6,.0027,.0002,.06,.07
NC,p70p71,2023,4398442,4481670,.0085,.0087,.7,.71
NC,p71p72,2023,4410516,4502377.100000001,.0086,.0087,.71,.72
NC,p72p73,2023,4421330.4,4522285.4,.0086,.0088,.72,.73
NC,p73p74,2023,4432390.600000001,4541886.4,.0086,.0088,.73,.74
NC,p74p75,2023,4443727.2,4561917.600000001,.0086,.0089,.74,.75
NC,p75p76,2023,4456108.5,4583300.600000001,.0086,.0089,.75,.76
NC,p76p77,2023,4470978.3,4607264.3,.0087,.0089,.76,.77
NC,p77p78,2023,4489626.9,4635314.100000001,.0087,.009,.77,.78
NC,p78p79,2023,4513713.5,4669354.8,.0088,.0091,.78,.79
NC,p79p80,2023,4545972.3,4711905.7,.0088,.0091,.79,.8
NC,p7p8,2023,1426146.4,208330.4,.0028,.0004,.07,.08
NC,p80p81,2023,4589014.8,4766192.7,.0089,.0092,.8,.8100000000000001
NC,p81p82,2023,4647234.2,4836332.600000001,.009,.0094,.8100000000000001,.82
NC,p82p83,2023,4725177.600000001,4927732.5,.0092,.0096,.82,.83
NC,p83p84,2023,4829542.600000001,5047335.9,.0094,.0098,.83,.84
NC,p84p85,2023,4969084.9,5204451.600000001,.0096,.0101,.84,.85
NC,p85p86,2023,5155525.5,5411123.100000001,.01,.0105,.85,.86
NC,p86p87,2023,5402965.9,5683418.100000001,.0105,.011,.86,.87
NC,p87p88,2023,5731990.300000001,6042627.600000001,.0111,.0117,.87,.88
NC,p88p89,2023,6167929.7,6516908.9,.012,.0126,.88,.89
NC,p89p90,2023,6748803.2,7143697.5,.0131,.0139,.89,.9
NC,p8p9,2023,1426330.8,291681.1,.0028,.0006,.08,.09
NC,p90p91,2023,7525103.7,7971719.600000001,.0146,.0155,.9,.91
NC,p91p92,2023,8555665,9065554.4,.0166,.0176,.91,.92
NC,p92p93,2023,9926157.300000001,10514650.7,.0193,.0204,.92,.93
NC,p93p94,2023,11755569.5,12446169.8,.0228,.0241,.93,.9399999999999999
NC,p94p95,2023,14198283.1,15044125.2,.0275,.0292,.9399999999999999,.95
NC,p95p96,2023,17474533.4,18580182,.0339,.036,.95,.96
NC,p96p97,2023,21920273,23462844.4,.0425,.0455,.96,.97
NC,p97p98,2023,28103272.1,30313893,.0545,.0588,.97,.98
NC,p98p99,2023,37028062.3,40111061.8,.0718,.0778,.98,.99
