country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NE,p0p1,2023,54533.60000000001,0,.0006,0,0,.01
NE,p10p11,2023,227313.7,113891.2,.0024,.0012,.1,.11
NE,p11p12,2023,236817,134598.7,.0025,.0014,.11,.12
NE,p12p13,2023,246946.1,155306.2,.0026,.0017,.12,.13
NE,p13p14,2023,256186.8,176013.7,.0027,.0019,.13,.14
NE,p14p15,2023,265516.9,196721.2,.0028,.0021,.14,.15
NE,p15p16,2023,274372.1,217428.7,.0029,.0023,.15,.16
NE,p16p17,2023,282378.1,238136.2,.003,.0025,.16,.17
NE,p17p18,2023,292367.5,258843.7,.0031,.0028,.17,.18
NE,p18p19,2023,300641.7,279551.1,.0032,.003,.18,.19
NE,p19p20,2023,309742.7,300258.6,.0033,.0032,.19,.2
NE,p1p2,2023,82188.70000000001,0,.0009,0,.01,.02
NE,p20p21,2023,316994.5,310612.4,.0034,.0033,.2,.21
NE,p21p22,2023,323994.8,317680.9,.0035,.0034,.21,.22
NE,p22p23,2023,331648.9,325420.9,.0035,.0035,.22,.23
NE,p23p24,2023,339945.4,333806.9,.0036,.0036,.23,.24
NE,p24p25,2023,347247.5,341171.4,.0037,.0036,.24,.25
NE,p25p26,2023,355795.4,349789.4,.0038,.0037,.25,.26
NE,p26p27,2023,364879.7,358916.7,.0039,.0038,.26,.27
NE,p27p28,2023,372248.8,366282.1,.004,.0039,.27,.28
NE,p28p29,2023,381249.3,375304.8,.0041,.004,.28,.29
NE,p29p30,2023,389339.1,383387.6,.0042,.0041,.29,.3
NE,p2p3,2023,110201.4,0,.0012,0,.02,.03
NE,p30p31,2023,397674.7,391703.5,.0042,.0042,.3,.31
NE,p31p32,2023,405686.3,399934.1,.0043,.0043,.31,.32
NE,p32p33,2023,412960.5,407405,.0044,.0043,.32,.33
NE,p33p34,2023,419407.7,414038.1,.0045,.0044,.33,.34
NE,p34p35,2023,426894.2,421719,.0046,.0045,.34,.35
NE,p35p36,2023,434604.1,429630.5,.0046,.0046,.35,.36
NE,p36p37,2023,443626.9,438913.8,.0047,.0047,.36,.37
NE,p37p38,2023,450912.2,446426.8,.0048,.0048,.37,.38
NE,p38p39,2023,457705.9,453424.5,.0049,.0048,.38,.39
NE,p39p40,2023,466158.8,462112.5,.005,.0049,.39,.4
NE,p3p4,2023,131342.2,0,.0014,0,.03,.04
NE,p40p41,2023,476600.7,472828.8,.0051,.005,.4,.41
NE,p41p42,2023,486461.6,483061,.0052,.0052,.41,.42
NE,p42p43,2023,495417.4,492372,.0053,.0053,.42,.43
NE,p43p44,2023,502669.1,499945.9,.0054,.0053,.43,.44
NE,p44p45,2023,512384.7,510027.6,.0055,.0054,.44,.45
NE,p45p46,2023,521832.2,519842.4,.0056,.0055,.45,.46
NE,p46p47,2023,532547.8,530940.6,.0057,.0057,.46,.47
NE,p47p48,2023,541498,540231.2000000001,.0058,.0058,.47,.48
NE,p48p49,2023,549565.5,548622.9,.0059,.0059,.48,.49
NE,p49p50,2023,558169.3,557562.6,.006,.0059,.49,.5
NE,p4p5,2023,149438.1,0,.0016,0,.04,.05
NE,p50p51,2023,569203.4,568974.9,.0061,.0061,.5,.51
NE,p51p52,2023,578589.4,578744.4,.0062,.0062,.51,.52
NE,p52p53,2023,586433.4,586920.3,.0063,.0063,.52,.53
NE,p53p54,2023,595478.5,596338,.0064,.0064,.53,.54
NE,p54p55,2023,605669,606929.6,.0065,.0065,.54,.55
NE,p55p56,2023,616518.7000000001,618205.2000000001,.0066,.0066,.55,.5600000000000001
