country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NG,p0p1,2023,76276.60000000001,0,.0003,0,0,.01
NG,p10p11,2023,470061.7,257040.8,.0021,.0012,.1,.11
NG,p11p12,2023,496837.1,303775.4,.0022,.0014,.11,.12
NG,p12p13,2023,522480.2,350510.1,.0023,.0016,.12,.13
NG,p13p14,2023,546564.7000000001,397244.8,.0024,.0018,.13,.14
NG,p14p15,2023,571861.5,443979.5,.0026,.002,.14,.15
NG,p15p16,2023,596359,490714.2,.0027,.0022,.15,.16
NG,p16p17,2023,619937.4,537448.9,.0028,.0024,.16,.17
NG,p17p18,2023,642729.8,584183.6,.0029,.0026,.17,.18
NG,p18p19,2023,665801.9,630918.2000000001,.003,.0028,.18,.19
NG,p19p20,2023,687382.1000000001,677652.9,.0031,.003,.19,.2
NG,p1p2,2023,130706.6,0,.0006,0,.01,.02
NG,p20p21,2023,707470.3,701020.3,.0032,.0031,.2,.21
NG,p21p22,2023,728224.6000000001,721774.9,.0033,.0032,.21,.22
NG,p22p23,2023,750084.5,743621.9,.0034,.0033,.22,.23
NG,p23p24,2023,769639.9,763157,.0034,.0034,.23,.24
NG,p24p25,2023,789435,782929.1000000001,.0035,.0035,.24,.25
NG,p25p26,2023,810868.7000000001,804347.4,.0036,.0036,.25,.26
NG,p26p27,2023,834114,827369.5,.0037,.0037,.26,.27
NG,p27p28,2023,856666.6000000001,849682.9,.0038,.0038,.27,.28
NG,p28p29,2023,879299.2000000001,872084.3,.0039,.0039,.28,.29
NG,p29p30,2023,901505.5,894044,.004,.004,.29,.3
NG,p2p3,2023,192703,0,.0009,0,.02,.03
NG,p30p31,2023,922979.1000000001,915289.2000000001,.0041,.0041,.3,.31
NG,p31p32,2023,943360.4,935627.2000000001,.0042,.0042,.31,.32
NG,p32p33,2023,963834.9,956054.4,.0043,.0043,.32,.33
NG,p33p34,2023,984482.6000000001,976664.6000000001,.0044,.0044,.33,.34
NG,p34p35,2023,1006369.2,998512.3,.0045,.0045,.34,.35
NG,p35p36,2023,1029827.6,1021939.1,.0046,.0046,.35,.36
NG,p36p37,2023,1052739.9,1045130,.0047,.0047,.36,.37
NG,p37p38,2023,1075212.6,1067865.4,.0048,.0048,.37,.38
NG,p38p39,2023,1097858.5,1090787.5,.0049,.0049,.38,.39
NG,p39p40,2023,1119864.9,1113059.8,.005,.005,.39,.4
NG,p3p4,2023,240592.4,0,.0011,0,.03,.04
NG,p40p41,2023,1147026.7,1140500.2,.0051,.0051,.4,.41
NG,p41p42,2023,1172683.1,1166541.2,.0052,.0052,.41,.42
NG,p42p43,2023,1197939.9,1192180.4,.0054,.0053,.42,.43
NG,p43p44,2023,1223050.2,1217672.7,.0055,.0054,.43,.44
NG,p44p45,2023,1246921.6,1241943.1,.0056,.0056,.44,.45
NG,p45p46,2023,1273084.2,1268513.1,.0057,.0057,.45,.46
NG,p46p47,2023,1300712.2,1296377.7,.0058,.0058,.46,.47
NG,p47p48,2023,1326808.2,1322700.4,.0059,.0059,.47,.48
NG,p48p49,2023,1355235.4,1351368.2,.0061,.006,.48,.49
NG,p49p50,2023,1380865.2,1377237.9,.0062,.0062,.49,.5
NG,p4p5,2023,282167.5,0,.0013,0,.04,.05
NG,p50p51,2023,1410691.2,1407324.3,.0063,.0063,.5,.51
NG,p51p52,2023,1440357.3,1437337.7,.0064,.0064,.51,.52
NG,p52p53,2023,1468757.9,1466072.2,.0066,.0066,.52,.53
NG,p53p54,2023,1498064.3,1495733.5,.0067,.0067,.53,.54
NG,p54p55,2023,1529382.2,1527420.8,.0068,.0068,.54,.55
NG,p55p56,2023,1557529.7,1555949.2,.007,.007,.55,.5600000000000001
NG,p56p57,2023,1591005.6,1590074.2,.0071,.0071,.5600000000000001,.57
NG,p57p58,2023,1625160.9,1624901.5,.0073,.0073,.57,.58
NG,p58p59,2023,1662992.8,1663420.5,.0074,.0074,.58,.59
NG,p59p60,2023,1694377.3,1695501.2,.0076,.0076,.59,.6
NG,p5p6,2023,317948,23367.3,.0014,.0001,.05,.06
NG,p60p61,2023,1728839,1730667.1,.0077,.0077,.6,.61
NG,p61p62,2023,1765418.8,1768092,.0079,.0079,.61,.62
NG,p62p63,2023,1799800.5,1803331.3,.0081,.0081,.62,.63
NG,p63p64,2023,1839910.4,1844355.7,.0082,.0083,.63,.64
NG,p64p65,2023,1879407.4,1884790.3,.0084,.0084,.64,.65
NG,p65p66,2023,1921475.5,1927825.3,.0086,.0086,.65,.66
NG,p66p67,2023,1967419.9,1974723.1,.0088,.0088,.66,.67
NG,p67p68,2023,2012791.6,2021108,.009,.009,.67,.68
NG,p68p69,2023,2055685.5,2064987.9,.0092,.0092,.68,.6899999999999999
NG,p69p70,2023,2101656.7,2112018.1,.0094,.0095,.6899999999999999,.7
NG,p6p7,2023,351677,70102,.0016,.0003,.06,.07
NG,p70p71,2023,2151530.9,2162995.6,.0096,.0097,.7,.71
NG,p71p72,2023,2198514.4,2211310.6,.0098,.0099,.71,.72
NG,p72p73,2023,2252931.1,2267175.8,.0101,.0101,.72,.73
NG,p73p74,2023,2307174.6,2322878.8,.0103,.0104,.73,.74
NG,p74p75,2023,2370916.1,2388232.7,.0106,.0107,.74,.75
NG,p75p76,2023,2429169.2,2448097.1,.0109,.011,.75,.76
NG,p76p77,2023,2493576.7,2514222.7,.0112,.0112,.76,.77
NG,p77p78,2023,2563925.5,2586389.1,.0115,.0116,.77,.78
NG,p78p79,2023,2640748.3,2665158.2,.0118,.0119,.78,.79
NG,p79p80,2023,2721793.8,2748250.1,.0122,.0123,.79,.8
NG,p7p8,2023,383101.5,116836.7,.0017,.0005,.07,.08
