country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NI,p0p1,2023,5914.1,3.5,.0004,0,0,.01
NI,p10p11,2023,8436.800000000001,2528,.0006,.0002,.1,.11
NI,p11p12,2023,9332.4,3452.4,.0006,.0002,.11,.12
NI,p12p13,2023,10034.3,4163.900000000001,.0007,.0003,.12,.13
NI,p13p14,2023,10641,4772.3,.0007,.0003,.13,.14
NI,p14p15,2023,11818.5,5970.8,.0008,.0004,.14,.15
NI,p15p16,2023,13230.9,7405.900000000001,.0009,.0005,.15,.16
NI,p16p17,2023,14779.5,8897.700000000001,.001,.0006,.16,.17
NI,p17p18,2023,16563.8,10622.6,.0011,.0007,.17,.18
NI,p18p19,2023,18511.2,12499.4,.0013,.0009,.18,.19
NI,p19p20,2023,21009.6,14924.4,.0014,.001,.19,.2
NI,p1p2,2023,5933.3,8.700000000000001,.0004,0,.01,.02
NI,p20p21,2023,23640.6,17462.9,.0016,.0012,.2,.21
NI,p21p22,2023,26612,20404.6,.0018,.0014,.21,.22
NI,p22p23,2023,29116.4,22865.4,.002,.0016,.22,.23
NI,p23p24,2023,31398.2,25097.5,.0021,.0017,.23,.24
NI,p24p25,2023,33405.1,27045,.0023,.0018,.24,.25
NI,p25p26,2023,35470.4,29049.2,.0024,.002,.25,.26
NI,p26p27,2023,37524.4,30961.8,.0026,.0021,.26,.27
NI,p27p28,2023,39955.5,33253.2,.0027,.0023,.27,.28
NI,p28p29,2023,42112.5,35262.7,.0029,.0024,.28,.29
NI,p29p30,2023,43810.4,36801.6,.003,.0025,.29,.3
NI,p2p3,2023,5952.5,15.7,.0004,0,.02,.03
NI,p30p31,2023,45916.7,38751.8,.0031,.0026,.3,.31
NI,p31p32,2023,48076.3,40797,.0033,.0028,.31,.32
NI,p32p33,2023,50220.2,42827.4,.0034,.0029,.32,.33
NI,p33p34,2023,52119.7,44607.3,.0036,.003,.33,.34
NI,p34p35,2023,54121.3,46492,.0037,.0032,.34,.35
NI,p35p36,2023,56152.60000000001,48404.60000000001,.0038,.0033,.35,.36
NI,p36p37,2023,57854.8,50299.7,.004,.0034,.36,.37
NI,p37p38,2023,59544.8,52180,.0041,.0036,.37,.38
NI,p38p39,2023,61088.2,53910.10000000001,.0042,.0037,.38,.39
NI,p39p40,2023,62579.10000000001,55587.9,.0043,.0038,.39,.4
NI,p3p4,2023,5971.700000000001,21.8,.0004,0,.03,.04
NI,p40p41,2023,64005.5,57196.7,.0044,.0039,.4,.41
NI,p41p42,2023,65539.2,58946,.0045,.004,.41,.42
NI,p42p43,2023,67178.60000000001,60804.5,.0046,.0042,.42,.43
NI,p43p44,2023,68649.40000000001,62490.9,.0047,.0043,.43,.44
NI,p44p45,2023,70063.60000000001,64120.7,.0048,.0044,.44,.45
NI,p45p46,2023,71578.10000000001,65854.3,.0049,.0045,.45,.46
NI,p46p47,2023,73316.10000000001,67564.40000000001,.005,.0046,.46,.47
NI,p47p48,2023,75127.40000000001,69349.5,.0051,.0047,.47,.48
NI,p48p49,2023,77109,71307.5,.0053,.0049,.48,.49
NI,p49p50,2023,78995.3,73170.3,.0054,.005,.49,.5
NI,p4p5,2023,5990.900000000001,27.9,.0004,0,.04,.05
NI,p50p51,2023,80694.10000000001,74841.10000000001,.0055,.0051,.5,.51
NI,p51p52,2023,82423.3,76551.2,.0056,.0052,.51,.52
NI,p52p53,2023,84331.5,78446.3,.0058,.0054,.52,.53
NI,p53p54,2023,86131.5,80230.5,.0059,.0055,.53,.54
NI,p54p55,2023,88076.40000000001,82164.10000000001,.006,.0056,.54,.55
NI,p55p56,2023,90093.70000000001,84174.40000000001,.0062,.0057,.55,.5600000000000001
NI,p56p57,2023,92112.8,86199.60000000001,.0063,.0059,.5600000000000001,.57
NI,p57p58,2023,94066.40000000001,88158.40000000001,.0064,.006,.57,.58
NI,p58p59,2023,96556,90669,.0066,.0062,.58,.59
NI,p59p60,2023,98811.60000000001,92942.90000000001,.0067,.0063,.59,.6
NI,p5p6,2023,6011,34.9,.0004,0,.05,.06
NI,p60p61,2023,101302.9,95460.5,.0069,.0065,.6,.61
NI,p61p62,2023,103686,97890.70000000001,.0071,.0067,.61,.62
NI,p62p63,2023,106319.6,100581.9,.0073,.0069,.62,.63
NI,p63p64,2023,108921.8,103245.2,.0074,.007,.63,.64
NI,p64p65,2023,111235.1,105615.2,.0076,.0072,.64,.65
NI,p65p66,2023,113592,108034.1,.0078,.0074,.65,.66
NI,p66p67,2023,116278,110802.1,.0079,.0076,.66,.67
NI,p67p68,2023,119482.5,114109.6,.0082,.0078,.67,.68
NI,p68p69,2023,122648.6,117379.6,.0084,.008,.68,.6899999999999999
NI,p69p70,2023,125760.6,120599.8,.0086,.0082,.6899999999999999,.7
NI,p6p7,2023,6031,40.2,.0004,0,.06,.07
NI,p70p71,2023,128703.2,123648.9,.0088,.0084,.7,.71
NI,p71p72,2023,132445.4,127454,.009,.0087,.71,.72
NI,p72p73,2023,136257.5,131338.5,.0093,.009,.72,.73
NI,p73p74,2023,139902.8,135055.5,.0096,.0092,.73,.74
NI,p74p75,2023,143939.2,139183.5,.0098,.0095,.74,.75
NI,p75p76,2023,148341.4,143700.9,.0101,.0098,.75,.76
NI,p76p77,2023,153077.9,148576.2,.0105,.0101,.76,.77
NI,p77p78,2023,157861.5,153511.7,.0108,.0105,.77,.78
NI,p78p79,2023,163408.9,159252.9,.0112,.0109,.78,.79
NI,p79p80,2023,169432.1,165505.7,.0116,.0113,.79,.8
NI,p7p8,2023,6060.700000000001,57.6,.0004,0,.07,.08
NI,p80p81,2023,176043.7,172386.1,.012,.0118,.8,.8100000000000001
NI,p81p82,2023,183154.5,179822.5,.0125,.0123,.8100000000000001,.82
NI,p82p83,2023,190952.3,187997.5,.013,.0128,.82,.83
NI,p83p84,2023,200337.2,197858.9,.0137,.0135,.83,.84
NI,p84p85,2023,210638.5,208710.2,.0144,.0143,.84,.85
NI,p85p86,2023,222112.3,220829.9,.0152,.0151,.85,.86
NI,p86p87,2023,233877.6,233145.2,.016,.0159,.86,.87
NI,p87p88,2023,248183,248178.7,.0169,.0169,.87,.88
NI,p88p89,2023,264123.5,264990.3,.018,.0181,.88,.89
NI,p89p90,2023,280746.6,282590.2,.0192,.0193,.89,.9
NI,p8p9,2023,6679.6,725.4000000000001,.0005,0,.08,.09
NI,p90p91,2023,294582.5,297321.7,.0201,.0203,.9,.91
NI,p91p92,2023,306940.5,310892.6,.021,.0212,.91,.92
NI,p92p93,2023,319290.6,324536,.0218,.0222,.92,.93
NI,p93p94,2023,333890.7,340652,.0228,.0233,.93,.9399999999999999
NI,p94p95,2023,357417.4,366378.4,.0244,.025,.9399999999999999,.95
NI,p95p96,2023,428389.2,442997.2,.0293,.0302,.95,.96
NI,p96p97,2023,562857.7000000001,590682.1,.0384,.0403,.96,.97
NI,p97p98,2023,695877,738748.9,.0475,.0504,.97,.98
NI,p98p99,2023,933806.3,1003255.9,.0638,.0685,.98,.99
NI,p99.1p99.2,2023,1455818.4,1591313.8,.0099,.0109,.991,.992
NI,p99.2p99.3,2023,1543949,1694196.7,.0105,.0116,.992,.993
NI,p99.3p99.4,2023,1616379.9,1780280.2,.011,.0122,.993,.9940000000000001
NI,p99.4p99.5,2023,1675370,1850895.5,.0114,.0126,.9940000000000001,.995
NI,p99.5p99.6,2023,1725022,1911528.8,.0118,.0131,.995,.996
NI,p99.6p99.7,2023,1775757.5,1973113.7,.0121,.0135,.996,.997
NI,p99.7p99.8,2023,1920257.1,2137203.9,.0131,.0146,.997,.998
NI,p99.8p99.9,2023,2716071.1,3027047.2,.0185,.0207,.998,.9990000000000001
NI,p99.9p100,2023,13294629.9,14736955.3,.0908,.1006,.9990000000000001,1
NI,p99p99.1,2023,1352885.3,1472515.2,.0092,.0101,.99,.991
NI,p9p10,2023,7336.1,1407.2,.0005,.0001,.09,.1
