country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NL,p0p1,2023,20912.8,0,.0032,0,0,.01
NL,p10p11,2023,29363.6,9792.4,.0045,.0015,.1,.11
NL,p11p12,2023,30170.8,11572.8,.0047,.0018,.11,.12
NL,p12p13,2023,30791.3,13353.3,.0048,.0021,.12,.13
NL,p13p14,2023,31456.1,15133.7,.0049,.0023,.13,.14
NL,p14p15,2023,32147.8,16914.2,.005,.0026,.14,.15
NL,p15p16,2023,32808.7,18694.6,.0051,.0029,.15,.16
NL,p16p17,2023,33541.2,20475,.0052,.0032,.16,.17
NL,p17p18,2023,34227.9,22255.5,.0053,.0034,.17,.18
NL,p18p19,2023,35102.5,24035.9,.0054,.0037,.18,.19
NL,p19p20,2023,35867,25816.3,.0056,.004,.19,.2
NL,p1p2,2023,21096.1,0,.0033,0,.01,.02
NL,p20p21,2023,36647.2,26706.6,.0057,.0041,.2,.21
NL,p21p22,2023,37218.8,27327.5,.0058,.0042,.21,.22
NL,p22p23,2023,37782.4,27937.1,.0059,.0043,.22,.23
NL,p23p24,2023,38484.9,28711.1,.006,.0044,.23,.24
NL,p24p25,2023,39241.6,29548.5,.0061,.0046,.24,.25
NL,p25p26,2023,40073.5,30473.7,.0062,.0047,.25,.26
NL,p26p27,2023,40793.7,31452.8,.0063,.0049,.26,.27
NL,p27p28,2023,41495.8,32408.3,.0064,.005,.27,.28
NL,p28p29,2023,42035.5,33169.1,.0065,.0051,.28,.29
NL,p29p30,2023,42460.4,33792.9,.0066,.0052,.29,.3
NL,p2p3,2023,21471.4,0,.0033,0,.02,.03
NL,p30p31,2023,42990.5,34540.5,.0067,.0053,.3,.31
NL,p31p32,2023,43548.60000000001,35364.6,.0067,.0055,.31,.32
NL,p32p33,2023,44250.7,36361.7,.0069,.0056,.32,.33
NL,p33p34,2023,44651.8,37002.4,.0069,.0057,.33,.34
NL,p34p35,2023,45293.9,37930.5,.007,.0059,.34,.35
NL,p35p36,2023,45822.4,38724.4,.0071,.006,.35,.36
NL,p36p37,2023,46482.2,39747,.0072,.0062,.36,.37
NL,p37p38,2023,46802.8,40367,.0072,.0063,.37,.38
NL,p38p39,2023,47101.5,40961.5,.0073,.0063,.38,.39
NL,p39p40,2023,47497.2,41670.3,.0074,.0065,.39,.4
NL,p3p4,2023,21490.6,0,.0033,0,.03,.04
NL,p40p41,2023,48025.7,42536,.0074,.0066,.4,.41
NL,p41p42,2023,48466.10000000001,43327,.0075,.0067,.41,.42
NL,p42p43,2023,48929.9,44146.4,.0076,.0068,.42,.43
NL,p43p44,2023,49361.4,44927.10000000001,.0076,.007,.43,.44
NL,p44p45,2023,49748.3,45654.8,.0077,.0071,.44,.45
NL,p45p46,2023,50246,46514.9,.0078,.0072,.45,.46
NL,p46p47,2023,50759.9,47362.60000000001,.0079,.0073,.46,.47
NL,p47p48,2023,51298.4,48240.60000000001,.0079,.0075,.47,.48
NL,p48p49,2023,51753.8,49018.4,.008,.0076,.48,.49
NL,p49p50,2023,51995.9,49541.10000000001,.0081,.0077,.49,.5
NL,p4p5,2023,22927.9,0,.0036,0,.04,.05
NL,p50p51,2023,52298.4,50135.5,.0081,.0078,.5,.51
NL,p51p52,2023,52701.10000000001,50867,.0082,.0079,.51,.52
NL,p52p53,2023,53086.4,51577.7,.0082,.008,.52,.53
NL,p53p54,2023,53696.10000000001,52558.8,.0083,.0081,.53,.54
NL,p54p55,2023,54275.10000000001,53502.9,.0084,.0083,.54,.55
NL,p55p56,2023,54847.5,54440.4,.0085,.0084,.55,.5600000000000001
NL,p56p57,2023,55285.5,55189.9,.0086,.0085,.5600000000000001,.57
NL,p57p58,2023,60738,61986.10000000001,.0094,.0096,.57,.58
NL,p58p59,2023,61159.9,62720.4,.0095,.0097,.58,.59
NL,p59p60,2023,62038.3,64005.8,.0096,.0099,.59,.6
NL,p5p6,2023,24017.3,890.2,.0037,.0001,.05,.06
NL,p60p61,2023,62595.3,64902.7,.0097,.01,.6,.61
NL,p61p62,2023,63246.60000000001,65928.10000000001,.0098,.0102,.61,.62
NL,p62p63,2023,63956.8,67025.40000000001,.0099,.0104,.62,.63
NL,p63p64,2023,64681.2,68139.60000000001,.01,.0106,.63,.64
NL,p64p65,2023,65607,69498.7,.0102,.0108,.64,.65
NL,p65p66,2023,66332.2,70614.8,.0103,.0109,.65,.66
NL,p66p67,2023,67282.60000000001,71780.10000000001,.0104,.0111,.66,.67
NL,p67p68,2023,68156,72852.8,.0106,.0113,.67,.68
NL,p68p69,2023,68993.60000000001,73883,.0107,.0114,.68,.6899999999999999
NL,p69p70,2023,70061.40000000001,75195.7,.0108,.0116,.6899999999999999,.7
NL,p6p7,2023,25000.8,2670.7,.0039,.0004,.06,.07
NL,p70p71,2023,71091.10000000001,76464,.011,.0118,.7,.71
NL,p71p72,2023,72250.90000000001,77900.60000000001,.0112,.0121,.71,.72
NL,p72p73,2023,73557.10000000001,79519.5,.0114,.0123,.72,.73
NL,p73p74,2023,74826.3,81096,.0116,.0126,.73,.74
NL,p74p75,2023,76557.7,83241.3,.0119,.0129,.74,.75
