country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NO,p0p1,2023,256812.2,0,.0023,0,0,.01
NO,p10p11,2023,594358.4,214896.7,.0052,.0019,.1,.11
NO,p11p12,2023,615909.1,253968.8,.0054,.0022,.11,.12
NO,p12p13,2023,634914.5,293040.9,.0056,.0026,.12,.13
NO,p13p14,2023,654979.8,332113.1,.0058,.0029,.13,.14
NO,p14p15,2023,672506.6000000001,371185.2,.0059,.0033,.14,.15
NO,p15p16,2023,690600.5,410257.3,.0061,.0036,.15,.16
NO,p16p17,2023,702800.4,449329.5,.0062,.004,.16,.17
NO,p17p18,2023,715439.2000000001,488401.6,.0063,.0043,.17,.18
NO,p18p19,2023,726518.3,527473.7000000001,.0064,.0047,.18,.19
NO,p19p20,2023,735916.4,566545.8,.0065,.005,.19,.2
NO,p1p2,2023,278477.6,0,.0025,0,.01,.02
NO,p20p21,2023,743012.1000000001,586081.9,.0066,.0052,.2,.21
NO,p21p22,2023,749399,597452.1,.0066,.0053,.21,.22
NO,p22p23,2023,756629.9,609803.7000000001,.0067,.0054,.22,.23
NO,p23p24,2023,765487.8,624072,.0068,.0055,.23,.24
NO,p24p25,2023,771024,634448.6000000001,.0068,.0056,.24,.25
NO,p25p26,2023,777924,646415.4,.0069,.0057,.25,.26
NO,p26p27,2023,787700.1000000001,661541.3,.007,.0058,.26,.27
NO,p27p28,2023,795032.2000000001,673795.6000000001,.007,.0059,.27,.28
NO,p28p29,2023,802445.3,686111.4,.0071,.0061,.28,.29
NO,p29p30,2023,808035.5,696294.6000000001,.0071,.0061,.29,.3
NO,p2p3,2023,307920.8,0,.0027,0,.02,.03
NO,p30p31,2023,814489.9,707450,.0072,.0062,.3,.31
NO,p31p32,2023,820667.5,719170.1000000001,.0072,.0063,.31,.32
NO,p32p33,2023,826804.6000000001,730841.2000000001,.0073,.0065,.32,.33
NO,p33p34,2023,832664.8,742171.5,.0074,.0066,.33,.34
NO,p34p35,2023,839058.5,754111.8,.0074,.0067,.34,.35
NO,p35p36,2023,844425.9,764848.5,.0075,.0068,.35,.36
NO,p36p37,2023,851778.2000000001,776323.2000000001,.0075,.0069,.36,.37
NO,p37p38,2023,858050.4,786535,.0076,.0069,.37,.38
NO,p38p39,2023,868103.3,801146.1000000001,.0077,.0071,.38,.39
NO,p39p40,2023,879189.2000000001,816940.1000000001,.0078,.0072,.39,.4
NO,p3p4,2023,339970,0,.003,0,.03,.04
NO,p40p41,2023,886892.6000000001,828776,.0078,.0073,.4,.41
NO,p41p42,2023,893785.9,840232.2000000001,.0079,.0074,.41,.42
NO,p42p43,2023,900780.4,851828.6000000001,.008,.0075,.42,.43
NO,p43p44,2023,908429.8,864164.8,.008,.0076,.43,.44
NO,p44p45,2023,913891.7000000001,873965.3,.0081,.0077,.44,.45
NO,p45p46,2023,919481.9,883912,.0081,.0078,.45,.46
NO,p46p47,2023,927657.9,893940.7000000001,.0082,.0079,.46,.47
NO,p47p48,2023,937022.2000000001,905367.2000000001,.0083,.008,.47,.48
NO,p48p49,2023,947406,917992,.0084,.0081,.48,.49
