country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NP,p0p1,2023,30595.1,0,.001,0,0,.01
NP,p10p11,2023,81895.90000000001,36759.1,.0028,.0012,.1,.11
NP,p11p12,2023,84628.3,43442.60000000001,.0029,.0015,.11,.12
NP,p12p13,2023,87399.40000000001,50126.10000000001,.003,.0017,.12,.13
NP,p13p14,2023,90431.40000000001,56809.60000000001,.0031,.0019,.13,.14
NP,p14p15,2023,93070.3,63493,.0031,.0021,.14,.15
NP,p15p16,2023,95621.10000000001,70176.5,.0032,.0024,.15,.16
NP,p16p17,2023,98268.8,76860,.0033,.0026,.16,.17
NP,p17p18,2023,100572.8,83543.5,.0034,.0028,.17,.18
NP,p18p19,2023,102534.7,90227,.0035,.0031,.18,.19
NP,p19p20,2023,104817.6,96910.40000000001,.0035,.0033,.19,.2
NP,p1p2,2023,36412.3,0,.0012,0,.01,.02
NP,p20p21,2023,107202.6,100252.2,.0036,.0034,.2,.21
NP,p21p22,2023,109596.5,102798.8,.0037,.0035,.21,.22
NP,p22p23,2023,111505.6,104838.3,.0038,.0035,.22,.23
NP,p23p24,2023,114005.3,107479.6,.0039,.0036,.23,.24
NP,p24p25,2023,116529.6,110136.7,.0039,.0037,.24,.25
NP,p25p26,2023,119015.1,112748.2,.004,.0038,.25,.26
NP,p26p27,2023,120823.7,114646.1,.0041,.0039,.26,.27
NP,p27p28,2023,123439.7,117366.3,.0042,.004,.27,.28
NP,p28p29,2023,125930.6,119948.3,.0043,.0041,.28,.29
NP,p29p30,2023,128352.6,122448.8,.0043,.0041,.29,.3
NP,p2p3,2023,44410.10000000001,0,.0015,0,.02,.03
NP,p30p31,2023,130508.5,124669.5,.0044,.0042,.3,.31
NP,p31p32,2023,133343.1,127526.3,.0045,.0043,.31,.32
NP,p32p33,2023,135885.1,130082.1,.0046,.0044,.32,.33
NP,p33p34,2023,138700.3,132912.9,.0047,.0045,.33,.34
NP,p34p35,2023,141575.4,135801.3,.0048,.0046,.34,.35
NP,p35p36,2023,144364.1,138599.8,.0049,.0047,.35,.36
NP,p36p37,2023,147375,141610.3,.005,.0048,.36,.37
NP,p37p38,2023,150953.4,145195.6,.0051,.0049,.37,.38
NP,p38p39,2023,154426.1,148671.9,.0052,.005,.38,.39
NP,p39p40,2023,157003.4,151225.7,.0053,.0051,.39,.4
NP,p3p4,2023,50606.3,0,.0017,0,.03,.04
NP,p40p41,2023,160513.1,154727.7,.0054,.0052,.4,.41
NP,p41p42,2023,163931.1,158232.5,.0055,.0054,.41,.42
