country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NR,p0p1,2023,0,0,0,0,0,.01
NR,p10p11,2023,12637.3,3719.2,.003,.0009,.1,.11
NR,p11p12,2023,12987.3,4395.3,.0031,.0011,.11,.12
NR,p12p13,2023,13629.7,5071.700000000001,.0033,.0012,.12,.13
NR,p13p14,2023,14143,5748,.0034,.0014,.13,.14
NR,p14p15,2023,14294.4,6424.1,.0034,.0015,.14,.15
NR,p15p16,2023,14307.6,7100.400000000001,.0034,.0017,.15,.16
NR,p16p17,2023,14484.3,7776.5,.0035,.0019,.16,.17
NR,p17p18,2023,14539.2,8452.6,.0035,.002,.17,.18
NR,p18p19,2023,15328.7,9129.200000000001,.0037,.0022,.18,.19
NR,p19p20,2023,15353.4,9805,.0037,.0023,.19,.2
NR,p1p2,2023,0,0,0,0,.01,.02
NR,p20p21,2023,15450.6,10143.3,.0037,.0024,.2,.21
NR,p21p22,2023,15652,10750.4,.0037,.0026,.21,.22
NR,p22p23,2023,15972.4,11365.6,.0038,.0027,.22,.23
NR,p23p24,2023,16186,11989.4,.0039,.0029,.23,.24
NR,p24p25,2023,16801,12620.3,.004,.003,.24,.25
NR,p25p26,2023,17012.4,13258.5,.0041,.0032,.25,.26
NR,p26p27,2023,17080.7,13903.5,.0041,.0033,.26,.27
NR,p27p28,2023,17339.8,14554.4,.0041,.0035,.27,.28
NR,p28p29,2023,17359.5,15210.5,.0042,.0036,.28,.29
NR,p29p30,2023,17426,15871.7,.0042,.0038,.29,.3
NR,p2p3,2023,0,0,0,0,.02,.03
NR,p30p31,2023,18058.5,16536.3,.0043,.004,.3,.31
NR,p31p32,2023,18697.9,17204.9,.0045,.0041,.31,.32
NR,p32p33,2023,19340.6,17875.5,.0046,.0043,.32,.33
NR,p33p34,2023,19984.5,18547.8,.0048,.0044,.33,.34
NR,p34p35,2023,20632.2,19221.2,.0049,.0046,.34,.35
NR,p35p36,2023,21283.4,19894.3,.0051,.0048,.35,.36
NR,p36p37,2023,21928,20566.6,.0052,.0049,.36,.37
NR,p37p38,2023,22566,21236.7,.0054,.0051,.37,.38
NR,p38p39,2023,23205.4,21903.9,.0055,.0052,.38,.39
NR,p39p40,2023,23837.2,22567.2,.0057,.0054,.39,.4
NR,p3p4,2023,0,0,0,0,.03,.04
NR,p40p41,2023,24463.1,23225.1,.0058,.0056,.4,.41
NR,p41p42,2023,25068.7,23877,.006,.0057,.41,.42
NR,p42p43,2023,25668.2,24521.5,.0061,.0059,.42,.43
NR,p43p44,2023,26257.3,25157.9,.0063,.006,.43,.44
NR,p44p45,2023,26833.9,25784.4,.0064,.0062,.44,.45
NR,p45p46,2023,27396.6,26400.7,.0066,.0063,.45,.46
NR,p46p47,2023,27953.3,27004.9,.0067,.0065,.46,.47
NR,p47p48,2023,28491.5,27596.8,.0068,.0066,.47,.48
NR,p48p49,2023,29014.8,28174.6,.0069,.0067,.48,.49
NR,p49p50,2023,29526.8,28738.1,.0071,.0069,.49,.5
NR,p4p5,2023,0,0,0,0,.04,.05
NR,p50p51,2023,30018.4,29286,.0072,.007,.5,.51
