country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
NZ,p0p1,2023,21695.1,0,.0024,0,0,.01
NZ,p10p11,2023,38653.6,12530.1,.0042,.0014,.1,.11
NZ,p11p12,2023,38825.4,14808.3,.0042,.0016,.11,.12
NZ,p12p13,2023,39044.6,17086.5,.0043,.0019,.12,.13
NZ,p13p14,2023,39329.9,19364.7,.0043,.0021,.13,.14
NZ,p14p15,2023,39637,21642.9,.0043,.0024,.14,.15
NZ,p15p16,2023,41235.7,23921.1,.0045,.0026,.15,.16
NZ,p16p17,2023,41396.60000000001,26199.3,.0045,.0029,.16,.17
NZ,p17p18,2023,43636.7,28477.5,.0048,.0031,.17,.18
NZ,p18p19,2023,46068.9,30755.7,.005,.0034,.18,.19
NZ,p19p20,2023,46095.10000000001,33033.9,.005,.0036,.19,.2
NZ,p1p2,2023,21917.1,0,.0024,0,.01,.02
NZ,p20p21,2023,47663.2,34173,.0052,.0037,.2,.21
NZ,p21p22,2023,47691,34510.3,.0052,.0038,.21,.22
NZ,p22p23,2023,47792,35235.2,.0052,.0039,.22,.23
NZ,p23p24,2023,48033,35250.7,.0052,.0039,.23,.24
NZ,p24p25,2023,49828.60000000001,38074.1,.0054,.0042,.24,.25
NZ,p25p26,2023,50009.7,38145,.0055,.0042,.25,.26
NZ,p26p27,2023,51243,39922.5,.0056,.0044,.26,.27
NZ,p27p28,2023,51791.2,40707.60000000001,.0057,.0044,.27,.28
NZ,p28p29,2023,52428.8,41593.5,.0057,.0045,.28,.29
NZ,p29p30,2023,53842.60000000001,43361.10000000001,.0059,.0047,.29,.3
NZ,p2p3,2023,22147.3,0,.0024,0,.02,.03
NZ,p30p31,2023,55510,45415.7,.0061,.005,.3,.31
NZ,p31p32,2023,56076.2,46104.8,.0061,.005,.31,.32
NZ,p32p33,2023,58238.3,48610.3,.0064,.0053,.32,.33
NZ,p33p34,2023,58369.8,48807.9,.0064,.0053,.33,.34
NZ,p34p35,2023,60114.7,50840,.0066,.0056,.34,.35
NZ,p35p36,2023,61051.7,51952.3,.0067,.0057,.35,.36
NZ,p36p37,2023,63597.9,54941.7,.0069,.006,.36,.37
NZ,p37p38,2023,65636.2,57353.2,.0072,.0063,.37,.38
NZ,p38p39,2023,68874,61133.4,.0075,.0067,.38,.39
NZ,p39p40,2023,71541.8,64266.10000000001,.0078,.007,.39,.4
NZ,p3p4,2023,22378,0,.0024,0,.03,.04
NZ,p40p41,2023,73160.60000000001,66203.7,.008,.0072,.4,.41
NZ,p41p42,2023,74342.10000000001,67702.3,.0081,.0074,.41,.42
NZ,p42p43,2023,74949.7,68548.60000000001,.0082,.0075,.42,.43
NZ,p43p44,2023,75183.7,68970.7,.0082,.0075,.43,.44
NZ,p44p45,2023,76112,70192.10000000001,.0083,.0077,.44,.45
NZ,p45p46,2023,76124.60000000001,70363.7,.0083,.0077,.45,.46
NZ,p46p47,2023,76476.90000000001,70899.3,.0084,.0077,.46,.47
NZ,p47p48,2023,78060.40000000001,72855.8,.0085,.008,.47,.48
NZ,p48p49,2023,78421.5,73409.3,.0086,.008,.48,.49
NZ,p49p50,2023,79071.10000000001,74429.90000000001,.0086,.0081,.49,.5
NZ,p4p5,2023,22608.7,0,.0025,0,.04,.05
NZ,p50p51,2023,79172,74438.7,.0087,.0081,.5,.51
NZ,p51p52,2023,79197.10000000001,74882.7,.0087,.0082,.51,.52
NZ,p52p53,2023,79210.70000000001,75048.7,.0087,.0082,.52,.53
NZ,p53p54,2023,79213.40000000001,75141.8,.0087,.0082,.53,.54
NZ,p54p55,2023,79288.20000000001,75299.40000000001,.0087,.0082,.54,.55
NZ,p55p56,2023,79317.10000000001,75680.8,.0087,.0083,.55,.5600000000000001
NZ,p56p57,2023,79360.20000000001,75698.7,.0087,.0083,.5600000000000001,.57
NZ,p57p58,2023,79806.3,76584.3,.0087,.0084,.57,.58
NZ,p58p59,2023,80398.70000000001,77478.7,.0088,.0085,.58,.59
NZ,p59p60,2023,80406.90000000001,77646.2,.0088,.0085,.59,.6
NZ,p5p6,2023,29139.3,1139.1,.0032,.0001,.05,.06
NZ,p60p61,2023,80517.60000000001,77960.60000000001,.0088,.0085,.6,.61
NZ,p61p62,2023,80963.20000000001,78691.5,.0088,.0086,.61,.62
NZ,p62p63,2023,80980.70000000001,78911.3,.0088,.0086,.62,.63
