country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
OM,p0p1,2023,223.1,0,.0002,0,0,.01
OM,p10p11,2023,907.3000000000001,495.8,.0009,.0005,.1,.11
OM,p11p12,2023,924.1,586,.0009,.0006,.11,.12
OM,p12p13,2023,1112,676.1,.0011,.0007,.12,.13
OM,p13p14,2023,1390.5,766.3000000000001,.0014,.0008,.13,.14
OM,p14p15,2023,1428.5,856.5,.0014,.0009,.14,.15
OM,p15p16,2023,1441.6,946.6,.0014,.001,.15,.16
OM,p16p17,2023,1458.2,1036.8,.0015,.001,.16,.17
OM,p17p18,2023,1471.3,1126.9,.0015,.0011,.17,.18
OM,p18p19,2023,1484.7,1217.1,.0015,.0012,.18,.19
OM,p19p20,2023,1500.6,1307.2,.0015,.0013,.19,.2
OM,p1p2,2023,239.2,0,.0002,0,.01,.02
OM,p20p21,2023,1525.5,1352.3,.0015,.0014,.2,.21
OM,p21p22,2023,1575.3,1404.2,.0016,.0014,.21,.22
OM,p22p23,2023,1881.9,1716.8,.0019,.0017,.22,.23
OM,p23p24,2023,2046.4,1885.1,.0021,.0019,.23,.24
OM,p24p25,2023,2070,1910.2,.0021,.0019,.24,.25
OM,p25p26,2023,2090.5,1932.4,.0021,.0019,.25,.26
OM,p26p27,2023,2109.2,1951.5,.0021,.002,.26,.27
OM,p27p28,2023,2131.3,1974,.0021,.002,.27,.28
OM,p28p29,2023,2150.3,1993.4,.0022,.002,.28,.29
OM,p29p30,2023,2174.5,2018,.0022,.002,.29,.3
OM,p2p3,2023,267.1,0,.0003,0,.02,.03
OM,p30p31,2023,2203.7,2047.8,.0022,.0021,.3,.31
OM,p31p32,2023,2328.2,2173.2,.0023,.0022,.31,.32
OM,p32p33,2023,2682.8,2531.9,.0027,.0025,.32,.33
OM,p33p34,2023,2759.6,2608.9,.0028,.0026,.33,.34
OM,p34p35,2023,2788.5,2637.3,.0028,.0027,.34,.35
OM,p35p36,2023,2808.1,2656.3,.0028,.0027,.35,.36
OM,p36p37,2023,2830.1,2678.8,.0028,.0027,.36,.37
OM,p37p38,2023,2855.7,2705,.0029,.0027,.37,.38
OM,p38p39,2023,2883.6,2733.7,.0029,.0027,.38,.39
OM,p39p40,2023,3037.7,2890,.0031,.0029,.39,.4
OM,p3p4,2023,510.3,0,.0005,0,.03,.04
OM,p40p41,2023,3412,3269.7,.0034,.0033,.4,.41
OM,p41p42,2023,3472.3,3331.2,.0035,.0034,.41,.42
OM,p42p43,2023,3505.2,3365,.0035,.0034,.42,.43
