country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PA,p0p1,2023,1761,.6000000000000001,.0007,0,0,.01
PA,p10p11,2023,2081.8,437.5,.0008,.0002,.1,.11
PA,p11p12,2023,2213.8,597.5,.0009,.0002,.11,.12
PA,p12p13,2023,2312.8,720.6,.0009,.0003,.12,.13
PA,p13p14,2023,2396,825.9000000000001,.0009,.0003,.13,.14
PA,p14p15,2023,2574.1,1033.3,.001,.0004,.14,.15
PA,p15p16,2023,2791.7,1281.6,.0011,.0005,.15,.16
PA,p16p17,2023,3021.6,1539.8,.0012,.0006,.16,.17
PA,p17p18,2023,3290.6,1838.3,.0013,.0007,.17,.18
PA,p18p19,2023,3585.8,2163.1,.0014,.0009,.18,.19
PA,p19p20,2023,3971.9,2582.7,.0016,.001,.19,.2
PA,p1p2,2023,1767.8,1.5,.0007,0,.01,.02
PA,p20p21,2023,4378.7,3022,.0017,.0012,.2,.21
PA,p21p22,2023,4847.5,3531.1,.0019,.0014,.21,.22
PA,p22p23,2023,5238.8,3957,.0021,.0016,.22,.23
PA,p23p24,2023,5593.3,4343.2,.0022,.0017,.23,.24
PA,p24p25,2023,5901.900000000001,4680.3,.0023,.0018,.24,.25
PA,p25p26,2023,6220.5,5027.1,.0025,.002,.25,.26
PA,p26p27,2023,6529.1,5358.1,.0026,.0021,.26,.27
PA,p27p28,2023,6900.5,5754.6,.0027,.0023,.27,.28
PA,p28p29,2023,7226.3,6102.400000000001,.0029,.0024,.28,.29
PA,p29p30,2023,7475.400000000001,6368.700000000001,.0029,.0025,.29,.3
PA,p2p3,2023,1776.2,2.7,.0007,0,.02,.03
PA,p30p31,2023,7792.5,6706.200000000001,.0031,.0026,.3,.31
PA,p31p32,2023,8126.5,7060.1,.0032,.0028,.31,.32
PA,p32p33,2023,8458.200000000001,7411.5,.0033,.0029,.32,.33
PA,p33p34,2023,8749.300000000001,7719.5,.0035,.003,.33,.34
PA,p34p35,2023,9058,8045.700000000001,.0036,.0032,.34,.35
PA,p35p36,2023,9371.4,8376.700000000001,.0037,.0033,.35,.36
PA,p36p37,2023,9681.700000000001,8704.6,.0038,.0034,.36,.37
PA,p37p38,2023,9989.900000000001,9030,.0039,.0036,.37,.38
PA,p38p39,2023,10273.9,9329.4,.0041,.0037,.38,.39
PA,p39p40,2023,10549.1,9619.800000000001,.0042,.0038,.39,.4
PA,p3p4,2023,1784.7,3.8,.0007,0,.03,.04
PA,p40p41,2023,10813.6,9898.200000000001,.0043,.0039,.4,.41
PA,p41p42,2023,11099.4,10200.9,.0044,.004,.41,.42
PA,p42p43,2023,11403.5,10522.5,.0045,.0042,.42,.43
PA,p43p44,2023,11679.4,10814.4,.0046,.0043,.43,.44
PA,p44p45,2023,11946.1,11096.4,.0047,.0044,.44,.45
PA,p45p46,2023,12230,11396.4,.0048,.0045,.45,.46
PA,p46p47,2023,12508.9,11692.4,.0049,.0046,.46,.47
PA,p47p48,2023,12800.3,12001.3,.0051,.0047,.47,.48
PA,p48p49,2023,13120.4,12340.1,.0052,.0049,.48,.49
PA,p49p50,2023,13424.6,12662.5,.0053,.005,.49,.5
PA,p4p5,2023,1793.3,4.800000000000001,.0007,0,.04,.05
PA,p50p51,2023,13697,12951.6,.0054,.0051,.5,.51
PA,p51p52,2023,13975.8,13247.6,.0055,.0052,.51,.52
PA,p52p53,2023,14285.4,13575.5,.0056,.0054,.52,.53
PA,p53p54,2023,14576.3,13884.3,.0058,.0055,.53,.54
PA,p54p55,2023,14891.6,14218.9,.0059,.0056,.54,.55
PA,p55p56,2023,15219.6,14566.8,.006,.0057,.55,.5600000000000001
PA,p56p57,2023,15553.4,14917.3,.0061,.0059,.5600000000000001,.57
PA,p57p58,2023,15875.9,15256.3,.0063,.006,.57,.58
PA,p58p59,2023,16290,15690.7,.0064,.0062,.58,.59
PA,p59p60,2023,16664.5,16084.2,.0066,.0063,.59,.6
PA,p5p6,2023,1801.6,6,.0007,0,.05,.06
PA,p60p61,2023,17079.3,16519.9,.0067,.0065,.6,.61
PA,p61p62,2023,17478.7,16940.5,.0069,.0067,.61,.62
PA,p62p63,2023,17921.2,17406.2,.0071,.0069,.62,.63
PA,p63p64,2023,18359,17867.1,.0072,.007,.63,.64
PA,p64p65,2023,18748.1,18277.2,.0074,.0072,.64,.65
PA,p65p66,2023,19145.3,18695.8,.0076,.0074,.65,.66
PA,p66p67,2023,19598.8,19174.9,.0077,.0076,.66,.67
PA,p67p68,2023,20141.8,19747.3,.0079,.0078,.67,.68
PA,p68p69,2023,20678.9,20313.1,.0082,.008,.68,.6899999999999999
PA,p69p70,2023,21208,20870.4,.0084,.0082,.6899999999999999,.7
PA,p6p7,2023,1810.2,6.9,.0007,0,.06,.07
PA,p70p71,2023,21708.7,21398.1,.0086,.0084,.7,.71
PA,p71p72,2023,22333.5,22056.6,.0088,.0087,.71,.72
PA,p72p73,2023,22971.6,22728.8,.0091,.009,.72,.73
PA,p73p74,2023,23581.6,23372,.0093,.0092,.73,.74
