country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PE,p0p1,2023,2011.8,.2,.0005,0,0,.01
PE,p10p11,2023,2391.3,8.1,.0006,0,.1,.11
PE,p11p12,2023,2506,8.800000000000001,.0006,0,.11,.12
PE,p12p13,2023,2700.5,9.800000000000001,.0007,0,.12,.13
PE,p13p14,2023,3039.2,10.5,.0008,0,.13,.14
PE,p14p15,2023,3189.9,95.80000000000001,.0008,0,.14,.15
PE,p15p16,2023,4051.6,1368.7,.001,.0003,.15,.16
PE,p16p17,2023,4858.900000000001,2297.6,.0012,.0006,.16,.17
PE,p17p18,2023,5437.900000000001,3111.7,.0014,.0008,.17,.18
PE,p18p19,2023,5950.200000000001,3810.6,.0015,.001,.18,.19
PE,p19p20,2023,6213.6,4473.5,.0016,.0011,.19,.2
PE,p1p2,2023,2054.5,1.2,.0005,0,.01,.02
PE,p20p21,2023,6468.6,5080.400000000001,.0016,.0013,.2,.21
PE,p21p22,2023,6905.6,5718.5,.0017,.0014,.21,.22
PE,p22p23,2023,7325.3,6309.6,.0018,.0016,.22,.23
PE,p23p24,2023,7706.3,6853.400000000001,.0019,.0017,.23,.24
PE,p24p25,2023,8153.900000000001,7461.200000000001,.002,.0019,.24,.25
PE,p25p26,2023,8499.300000000001,7952.5,.0021,.002,.25,.26
PE,p26p27,2023,8869,8443.300000000001,.0022,.0021,.26,.27
PE,p27p28,2023,9293.1,9003.700000000001,.0023,.0023,.27,.28
PE,p28p29,2023,9706.700000000001,9549.300000000001,.0024,.0024,.28,.29
PE,p29p30,2023,10101.9,10040.8,.0025,.0025,.29,.3
PE,p2p3,2023,2089.3,2.1,.0005,0,.02,.03
PE,p30p31,2023,10463.5,10456.3,.0026,.0026,.3,.31
PE,p31p32,2023,10822.2,10865.4,.0027,.0027,.31,.32
PE,p32p33,2023,11221.5,11306.1,.0028,.0028,.32,.33
PE,p33p34,2023,11691.6,11787.1,.0029,.0029,.33,.34
PE,p34p35,2023,12085.6,12145.4,.003,.003,.34,.35
PE,p35p36,2023,12495.3,12539.7,.0031,.0031,.35,.36
PE,p36p37,2023,12910.3,12931.1,.0032,.0032,.36,.37
PE,p37p38,2023,13359,13391.1,.0033,.0033,.37,.38
PE,p38p39,2023,13801.1,13820.7,.0035,.0035,.38,.39
PE,p39p40,2023,14224.9,14235.2,.0036,.0036,.39,.4
PE,p3p4,2023,2124.8,2.6,.0005,0,.03,.04
PE,p40p41,2023,14639,14710.5,.0037,.0037,.4,.41
PE,p41p42,2023,14988,15121.5,.0037,.0038,.41,.42
PE,p42p43,2023,15378.9,15557,.0038,.0039,.42,.43
PE,p43p44,2023,15756.7,15991.5,.0039,.004,.43,.44
PE,p44p45,2023,16169.6,16423.9,.004,.0041,.44,.45
PE,p45p46,2023,16612.5,16868.2,.0042,.0042,.45,.46
PE,p46p47,2023,17026.5,17300.4,.0043,.0043,.46,.47
PE,p47p48,2023,17381,17681.3,.0043,.0044,.47,.48
PE,p48p49,2023,17760.9,18119.9,.0044,.0045,.48,.49
PE,p49p50,2023,18164.5,18539,.0045,.0046,.49,.5
PE,p4p5,2023,2159.9,3.6,.0005,0,.04,.05
PE,p50p51,2023,18541.1,18920.4,.0046,.0047,.5,.51
PE,p51p52,2023,18948.7,19307.5,.0047,.0048,.51,.52
PE,p52p53,2023,19423.6,19767.8,.0049,.0049,.52,.53
PE,p53p54,2023,19843.3,20190.4,.005,.005,.53,.54
PE,p54p55,2023,20233.3,20573.4,.0051,.0051,.54,.55
PE,p55p56,2023,20671.2,20948.6,.0052,.0052,.55,.5600000000000001
PE,p56p57,2023,21142.7,21346.7,.0053,.0053,.5600000000000001,.57
PE,p57p58,2023,21608.2,21724.5,.0054,.0054,.57,.58
PE,p58p59,2023,22089.7,22151.2,.0055,.0055,.58,.59
PE,p59p60,2023,22552.6,22606,.0056,.0057,.59,.6
PE,p5p6,2023,2188.5,4.100000000000001,.0005,0,.05,.06
PE,p60p61,2023,23061.6,23067,.0058,.0058,.6,.61
PE,p61p62,2023,23572.9,23508.5,.0059,.0059,.61,.62
PE,p62p63,2023,24067.2,23930.4,.006,.006,.62,.63
PE,p63p64,2023,24585.7,24408.3,.0061,.0061,.63,.64
PE,p64p65,2023,25214,25008.1,.0063,.0063,.64,.65
PE,p65p66,2023,25751.6,25551.8,.0064,.0064,.65,.66
PE,p66p67,2023,26292.7,26078.4,.0066,.0065,.66,.67
PE,p67p68,2023,26977,26769.2,.0067,.0067,.67,.68
PE,p68p69,2023,27580.6,27466.9,.0069,.0069,.68,.6899999999999999
PE,p69p70,2023,28202.5,28171.7,.0071,.007,.6899999999999999,.7
PE,p6p7,2023,2212.8,5.2,.0006,0,.06,.07
PE,p70p71,2023,28821.8,28868,.0072,.0072,.7,.71
PE,p71p72,2023,29576.7,29676.3,.0074,.0074,.71,.72
PE,p72p73,2023,30372.6,30548,.0076,.0076,.72,.73
PE,p73p74,2023,31144,31372.3,.0078,.0078,.73,.74
PE,p74p75,2023,31932,32197.3,.008,.0081,.74,.75
