country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PF,p0p1,2023,0,0,0,0,0,.01
PF,p10p11,2023,1034064.9,304332.3,.003,.0009,.1,.11
PF,p11p12,2023,1062766.2,359654.3,.0031,.0011,.11,.12
PF,p12p13,2023,1115273.2,414996.7,.0033,.0012,.12,.13
PF,p13p14,2023,1157274.7,470339.2,.0034,.0014,.13,.14
PF,p14p15,2023,1169656.9,525661.2000000001,.0034,.0015,.14,.15
PF,p15p16,2023,1170717.6,580983.2000000001,.0034,.0017,.15,.16
PF,p16p17,2023,1185221.3,636346,.0035,.0019,.16,.17
PF,p17p18,2023,1189668.3,691647.6000000001,.0035,.002,.17,.18
PF,p18p19,2023,1254292.2,746990,.0037,.0022,.18,.19
PF,p19p20,2023,1256332.1,802332.5,.0037,.0023,.19,.2
PF,p1p2,2023,0,0,0,0,.01,.02
PF,p20p21,2023,1264267.3,829993.5,.0037,.0024,.2,.21
PF,p21p22,2023,1280749.7,879665,.0037,.0026,.21,.22
PF,p22p23,2023,1306962.4,930009.6000000001,.0038,.0027,.22,.23
PF,p23p24,2023,1324444.3,981027.5,.0039,.0029,.23,.24
PF,p24p25,2023,1374789,1032698.1,.004,.003,.24,.25
PF,p25p26,2023,1392066.9,1084899.1,.0041,.0032,.25,.26
PF,p26p27,2023,1397656.2,1137671.2,.0041,.0033,.26,.27
PF,p27p28,2023,1418850.8,1190932.9,.0041,.0035,.27,.28
PF,p28p29,2023,1420462.3,1244623,.0042,.0036,.28,.29
PF,p29p30,2023,1425888.4,1298700.7,.0042,.0038,.29,.3
PF,p2p3,2023,0,0,0,0,.02,.03
PF,p30p31,2023,1477661,1353125.2,.0043,.004,.3,.31
PF,p31p32,2023,1529984.4,1407794.4,.0045,.0041,.31,.32
PF,p32p33,2023,1582572.9,1462688.1,.0046,.0043,.32,.33
PF,p33p34,2023,1635243.1,1517724.5,.0048,.0044,.33,.34
PF,p34p35,2023,1688280.4,1572801.7,.0049,.0046,.34,.35
PF,p35p36,2023,1741521.7,1627879,.0051,.0048,.35,.36
PF,p36p37,2023,1794314.3,1682895,.0052,.0049,.36,.37
PF,p37p38,2023,1846515.3,1737707,.0054,.0051,.37,.38
PF,p38p39,2023,1898777.5,1792335.5,.0055,.0052,.38,.39
