country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PG,p0p1,2023,787,0,.0005,0,0,.01
PG,p10p11,2023,2577.1,1389.4,.0016,.0008,.1,.11
PG,p11p12,2023,2709.5,1642.1,.0016,.001,.11,.12
PG,p12p13,2023,2870.3,1894.7,.0017,.0011,.12,.13
PG,p13p14,2023,3020,2147.3,.0018,.0013,.13,.14
PG,p14p15,2023,3188.1,2399.9,.0019,.0015,.14,.15
PG,p15p16,2023,3336.1,2652.6,.002,.0016,.15,.16
PG,p16p17,2023,3534.5,2905.2,.0021,.0018,.16,.17
PG,p17p18,2023,3681.1,3157.8,.0022,.0019,.17,.18
PG,p18p19,2023,3830.5,3410.4,.0023,.0021,.18,.19
PG,p19p20,2023,3994.9,3663,.0024,.0022,.19,.2
PG,p1p2,2023,978.5,0,.0006,0,.01,.02
PG,p20p21,2023,4153.7,3789.4,.0025,.0023,.2,.21
PG,p21p22,2023,4300.5,3930.4,.0026,.0024,.21,.22
PG,p22p23,2023,4441.5,4065.7,.0027,.0025,.22,.23
PG,p23p24,2023,4586.7,4204.8,.0028,.0026,.23,.24
PG,p24p25,2023,4745.5,4357,.0029,.0026,.24,.25
PG,p25p26,2023,4928.900000000001,4532.8,.003,.0027,.25,.26
PG,p26p27,2023,5067,4663.8,.0031,.0028,.26,.27
PG,p27p28,2023,5241.1,4829.1,.0032,.0029,.27,.28
PG,p28p29,2023,5386.400000000001,4966.8,.0033,.003,.28,.29
PG,p29p30,2023,5519.400000000001,5092.5,.0033,.0031,.29,.3
PG,p2p3,2023,1248.6,0,.0008,0,.02,.03
PG,p30p31,2023,5709.900000000001,5273.1,.0035,.0032,.3,.31
PG,p31p32,2023,5892.5,5448.1,.0036,.0033,.31,.32
PG,p32p33,2023,6055.900000000001,5604.5,.0037,.0034,.32,.33
PG,p33p34,2023,6209.6,5751.6,.0038,.0035,.33,.34
PG,p34p35,2023,6381.1,5915.8,.0039,.0036,.34,.35
PG,p35p36,2023,6575.8,6102.1,.004,.0037,.35,.36
PG,p36p37,2023,6768.900000000001,6288.5,.0041,.0038,.36,.37
PG,p37p38,2023,6968.400000000001,6481,.0042,.0039,.37,.38
PG,p38p39,2023,7185.8,6690.6,.0044,.0041,.38,.39
PG,p39p40,2023,7389.6,6887.1,.0045,.0042,.39,.4
PG,p3p4,2023,1446,0,.0009,0,.03,.04
PG,p40p41,2023,7581.3,7072,.0046,.0043,.4,.41
PG,p41p42,2023,7785,7269.700000000001,.0047,.0044,.41,.42
PG,p42p43,2023,7954.1,7434.200000000001,.0048,.0045,.42,.43
PG,p43p44,2023,8172.400000000001,7646.1,.005,.0046,.43,.44
PG,p44p45,2023,8316.1,7786.3,.005,.0047,.44,.45
PG,p45p46,2023,8501.6,7966.5,.0052,.0048,.45,.46
PG,p46p47,2023,8759.800000000001,8216.1,.0053,.005,.46,.47
PG,p47p48,2023,9050.200000000001,8496.700000000001,.0055,.0052,.47,.48
PG,p48p49,2023,9270.1,8709.4,.0056,.0053,.48,.49
PG,p49p50,2023,9507.5,8939.1,.0058,.0054,.49,.5
PG,p4p5,2023,1621.1,0,.001,0,.04,.05
PG,p50p51,2023,9756.4,9179.700000000001,.0059,.0056,.5,.51
PG,p51p52,2023,9957.800000000001,9375.5,.006,.0057,.51,.52
PG,p52p53,2023,10187.1,9598.200000000001,.0062,.0058,.52,.53
PG,p53p54,2023,10463.1,9866.5,.0063,.006,.53,.54
PG,p54p55,2023,10781.6,10175.4,.0065,.0062,.54,.55
PG,p55p56,2023,11087.6,10472.6,.0067,.0064,.55,.5600000000000001
PG,p56p57,2023,11333.4,10712.7,.0069,.0065,.5600000000000001,.57
PG,p57p58,2023,11595.4,10968.5,.007,.0067,.57,.58
PG,p58p59,2023,11866,11232.7,.0072,.0068,.58,.59
PG,p59p60,2023,12176.2,11535.4,.0074,.007,.59,.6
PG,p5p6,2023,1806.4,126.3,.0011,.0001,.05,.06
PG,p60p61,2023,12517.4,11868.1,.0076,.0072,.6,.61
PG,p61p62,2023,12794.9,12140.6,.0078,.0074,.61,.62
PG,p62p63,2023,13118.4,12457.9,.008,.0076,.62,.63
PG,p63p64,2023,13454.1,12787.5,.0082,.0078,.63,.64
PG,p64p65,2023,13774.9,13102.9,.0084,.0079,.64,.65
PG,p65p66,2023,14137.9,13460.1,.0086,.0082,.65,.66
PG,p66p67,2023,14532.5,13848.2,.0088,.0084,.66,.67
PG,p67p68,2023,14932.7,14242.6,.0091,.0086,.67,.68
PG,p68p69,2023,15394.2,14697.7,.0093,.0089,.68,.6899999999999999
PG,p69p70,2023,15878.6,15176.4,.0096,.0092,.6899999999999999,.7
PG,p6p7,2023,1949,378.9,.0012,.0002,.06,.07
PG,p70p71,2023,16321.5,15616.1,.0099,.0095,.7,.71
PG,p71p72,2023,16795.2,16088.7,.0102,.0098,.71,.72
