country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PH,p0p1,2023,32988.1,0,.001,0,0,.01
PH,p10p11,2023,74441.90000000001,32823.9,.0023,.001,.1,.11
PH,p11p12,2023,77190.8,38791.9,.0024,.0012,.11,.12
PH,p12p13,2023,79737.5,44759.9,.0025,.0014,.12,.13
PH,p13p14,2023,82227.5,50727.9,.0026,.0016,.13,.14
PH,p14p15,2023,84660.8,56695.9,.0027,.0018,.14,.15
PH,p15p16,2023,87254.8,62663.9,.0028,.002,.15,.16
PH,p16p17,2023,89727.8,68631.90000000001,.0028,.0022,.16,.17
PH,p17p18,2023,92259.40000000001,74599.8,.0029,.0024,.17,.18
PH,p18p19,2023,94755.10000000001,80567.8,.003,.0025,.18,.19
PH,p19p20,2023,97254.5,86535.8,.0031,.0027,.19,.2
PH,p1p2,2023,38349.8,0,.0012,0,.01,.02
PH,p20p21,2023,99912.70000000001,89519.8,.0032,.0028,.2,.21
PH,p21p22,2023,102444.3,92017.10000000001,.0032,.0029,.21,.22
PH,p22p23,2023,104775.6,94309.40000000001,.0033,.003,.22,.23
PH,p23p24,2023,107275.1,96767.20000000001,.0034,.0031,.23,.24
PH,p24p25,2023,109770.8,99217.20000000001,.0035,.0031,.24,.25
PH,p25p26,2023,112287.3,101687.2,.0035,.0032,.25,.26
PH,p26p27,2023,114817,104278.3,.0036,.0033,.26,.27
PH,p27p28,2023,117267.3,106785.3,.0037,.0034,.27,.28
PH,p28p29,2023,119774.3,109343.7,.0038,.0034,.28,.29
PH,p29p30,2023,122425,112043.6,.0039,.0035,.29,.3
PH,p2p3,2023,44516.3,0,.0014,0,.02,.03
PH,p30p31,2023,124873.4,114535.1,.0039,.0036,.3,.31
PH,p31p32,2023,127522.1,117303.8,.004,.0037,.31,.32
PH,p32p33,2023,130329.6,120233.5,.0041,.0038,.32,.33
PH,p33p34,2023,132834.7,122859.8,.0042,.0039,.33,.34
PH,p34p35,2023,135681.8,125823.8,.0043,.004,.34,.35
PH,p35p36,2023,138504.3,128768.7,.0044,.0041,.35,.36
PH,p36p37,2023,141268.3,131545.1,.0045,.0042,.36,.37
PH,p37p38,2023,144417.6,134710.8,.0046,.0043,.37,.38
PH,p38p39,2023,147525.5,137832.1,.0047,.0043,.38,.39
PH,p39p40,2023,150463.2,140785.9,.0047,.0044,.39,.4
PH,p3p4,2023,49231.8,0,.0016,0,.03,.04
PH,p40p41,2023,153650.4,143987.9,.0048,.0045,.4,.41
PH,p41p42,2023,157032.1,147439.2,.005,.0047,.41,.42
PH,p42p43,2023,160208,150685.5,.0051,.0048,.42,.43
PH,p43p44,2023,163534.9,154083.7,.0052,.0049,.43,.44
PH,p44p45,2023,167109.4,157735.1,.0053,.005,.44,.45
PH,p45p46,2023,170742.4,161445.2,.0054,.0051,.45,.46
PH,p46p47,2023,174054.2,164931.7,.0055,.0052,.46,.47
PH,p47p48,2023,177651.4,168704.2,.0056,.0053,.47,.48
PH,p48p49,2023,181163.5,172393.6,.0057,.0054,.48,.49
PH,p49p50,2023,184981.6,176395.4,.0058,.0056,.49,.5
PH,p4p5,2023,53380.60000000001,0,.0017,0,.04,.05
PH,p50p51,2023,188792.2,180389.1,.006,.0057,.5,.51
PH,p51p52,2023,192720,184536.2,.0061,.0058,.51,.52
PH,p52p53,2023,196405.9,188446.1,.0062,.0059,.52,.53
PH,p53p54,2023,200896.6,193175.9,.0063,.0061,.53,.54
PH,p54p55,2023,204979.3,197501.1,.0065,.0062,.54,.55
PH,p55p56,2023,209398.2,202175,.0066,.0064,.55,.5600000000000001
PH,p56p57,2023,214151.6,207246.4,.0068,.0065,.5600000000000001,.57
PH,p57p58,2023,218649.9,212066.9,.0069,.0067,.57,.58
PH,p58p59,2023,223284.2,217036.4,.007,.0068,.58,.59
PH,p59p60,2023,228453.1,222558.6,.0072,.007,.59,.6
PH,p5p6,2023,57155.3,2984,.0018,.0001,.05,.06
PH,p60p61,2023,233794,228263.2,.0074,.0072,.6,.61
PH,p61p62,2023,239180.3,234063.1,.0075,.0074,.61,.62
PH,p62p63,2023,244759.2,240065.7,.0077,.0076,.62,.63
PH,p63p64,2023,249867.7,245603.6,.0079,.0077,.63,.64
PH,p64p65,2023,256208,252405.5,.0081,.008,.64,.65
PH,p65p66,2023,262225.3,258887,.0083,.0082,.65,.66
PH,p66p67,2023,268607.2,265671.6,.0085,.0084,.66,.67
PH,p67p68,2023,275391.4,272877.8,.0087,.0086,.67,.68
PH,p68p69,2023,282597,280524.3,.0089,.0089,.68,.6899999999999999
PH,p69p70,2023,289532.4,287911.2,.0091,.0091,.6899999999999999,.7
PH,p6p7,2023,60746.8,8952,.0019,.0003,.06,.07
PH,p70p71,2023,296947.7,295799,.0094,.0093,.7,.71
PH,p71p72,2023,305224.5,304541,.0096,.0096,.71,.72
PH,p72p73,2023,313699.6,313501.9,.0099,.0099,.72,.73
PH,p73p74,2023,321666.6,321954.1,.0101,.0102,.73,.74
PH,p74p75,2023,330476.1,331288.2,.0104,.0105,.74,.75
PH,p75p76,2023,339754.2,341121.9,.0107,.0108,.75,.76
PH,p76p77,2023,349487.6,351397.4,.011,.0111,.76,.77
PH,p77p78,2023,359787.8,362278.7,.0114,.0114,.77,.78
PH,p78p79,2023,370439.3,373547.2,.0117,.0118,.78,.79
PH,p79p80,2023,382649.5,386448.6,.0121,.0122,.79,.8
PH,p7p8,2023,64230.5,14920,.002,.0005,.07,.08
PH,p80p81,2023,395071.3,399603,.0125,.0126,.8,.8100000000000001
PH,p81p82,2023,408175.1,413532.3,.0129,.013,.8100000000000001,.82
PH,p82p83,2023,422697.7,428980.7,.0133,.0135,.82,.83
PH,p83p84,2023,438376.6,445683.2,.0138,.0141,.83,.84
PH,p84p85,2023,454265.1,462670.7,.0143,.0146,.84,.85
PH,p85p86,2023,472841.1,482526.9,.0149,.0152,.85,.86
PH,p86p87,2023,493178.8,504177.5,.0156,.0159,.86,.87
PH,p87p88,2023,515032.7,527520.8,.0162,.0166,.87,.88
