country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PK,p0p1,2023,94807.40000000001,0,.0012,0,0,.01
PK,p10p11,2023,227933,105613.4,.0029,.0013,.1,.11
PK,p11p12,2023,235362,124815.9,.003,.0016,.11,.12
PK,p12p13,2023,242260.6,144018.3,.0031,.0018,.12,.13
PK,p13p14,2023,249431.5,163220.7,.0032,.0021,.13,.14
PK,p14p15,2023,255790.5,182423.2,.0032,.0023,.14,.15
PK,p15p16,2023,262515.5,201625.6,.0033,.0026,.15,.16
PK,p16p17,2023,269620.7,220828,.0034,.0028,.16,.17
PK,p17p18,2023,275796.6,240030.5,.0035,.003,.17,.18
PK,p18p19,2023,282925.3,259232.9,.0036,.0033,.18,.19
PK,p19p20,2023,290152.4,278435.4,.0037,.0035,.19,.2
PK,p1p2,2023,109843.7,0,.0014,0,.01,.02
PK,p20p21,2023,296398.8,288036.6,.0038,.0037,.2,.21
PK,p21p22,2023,303006.5,294829.9,.0038,.0037,.21,.22
PK,p22p23,2023,308661.5,300636.7,.0039,.0038,.22,.23
PK,p23p24,2023,314044.4,306157.8,.004,.0039,.23,.24
PK,p24p25,2023,321332.5,313591.1,.0041,.004,.24,.25
PK,p25p26,2023,326293,318647.9,.0041,.004,.25,.26
PK,p26p27,2023,332957,325337.6,.0042,.0041,.26,.27
PK,p27p28,2023,338889,331254.4,.0043,.0042,.27,.28
PK,p28p29,2023,344867.8,337206.6,.0044,.0043,.28,.29
PK,p29p30,2023,352475.1,344782.8,.0045,.0044,.29,.3
PK,p2p3,2023,130342.6,0,.0017,0,.02,.03
PK,p30p31,2023,358172.4,350408.1,.0045,.0045,.3,.31
PK,p31p32,2023,365066.4,357468.1,.0046,.0045,.31,.32
PK,p32p33,2023,370388.2,362945.4,.0047,.0046,.32,.33
PK,p33p34,2023,376282.6,368979.5,.0048,.0047,.33,.34
PK,p34p35,2023,382303.6,375149.5,.0049,.0048,.34,.35
PK,p35p36,2023,389122.5,382102.8,.0049,.0049,.35,.36
PK,p36p37,2023,394862,387988.4,.005,.0049,.36,.37
PK,p37p38,2023,402103.3,395380.4,.0051,.005,.37,.38
PK,p38p39,2023,408528,401938.1,.0052,.0051,.38,.39
PK,p39p40,2023,414788.4,408317.3,.0053,.0052,.39,.4
PK,p3p4,2023,145608.9,0,.0018,0,.03,.04
PK,p40p41,2023,422517.7,416181.8,.0054,.0053,.4,.41
PK,p41p42,2023,429388.2,423367,.0055,.0054,.41,.42
PK,p42p43,2023,435653.4,429952.4,.0055,.0055,.42,.43
PK,p43p44,2023,443852,438481.3,.0056,.0056,.43,.44
PK,p44p45,2023,451130.8,446091.9,.0057,.0057,.44,.45
PK,p45p46,2023,459108.8,454405.8,.0058,.0058,.45,.46
PK,p46p47,2023,466406.4,462010.1,.0059,.0059,.46,.47
PK,p47p48,2023,474084.1,470008,.006,.006,.47,.48
PK,p48p49,2023,482203,478442.5,.0061,.0061,.48,.49
PK,p49p50,2023,490547.1,487103.2,.0062,.0062,.49,.5
PK,p4p5,2023,158861.8,0,.002,0,.04,.05
PK,p50p51,2023,500219.3,497120.5,.0064,.0063,.5,.51
PK,p51p52,2023,508084.7,505425.5,.0065,.0064,.51,.52
PK,p52p53,2023,516564.9,514357.4,.0066,.0065,.52,.53
PK,p53p54,2023,525819.4,524087,.0067,.0067,.53,.54
PK,p54p55,2023,534295,533022.7000000001,.0068,.0068,.54,.55
PK,p55p56,2023,543540.1,542748.9,.0069,.0069,.55,.5600000000000001
PK,p56p57,2023,553381.3,553106.6,.007,.007,.5600000000000001,.57
PK,p57p58,2023,563846.6,564109.8,.0072,.0072,.57,.58
PK,p58p59,2023,573537.6,574328.5,.0073,.0073,.58,.59
PK,p59p60,2023,585720.6,587085.5,.0074,.0075,.59,.6
PK,p5p6,2023,171180.9,9601.200000000001,.0022,.0001,.05,.06
PK,p60p61,2023,596833.5,598767.6,.0076,.0076,.6,.61
PK,p61p62,2023,609063.4,611684.7000000001,.0077,.0078,.61,.62
PK,p62p63,2023,620443.9,623761.4,.0079,.0079,.62,.63
PK,p63p64,2023,632077.7000000001,636095.5,.008,.0081,.63,.64
PK,p64p65,2023,643861.8,648602.2000000001,.0082,.0082,.64,.65
PK,p65p66,2023,658865.2000000001,664405.3,.0084,.0084,.65,.66
PK,p66p67,2023,672812.7000000001,679132.8,.0085,.0086,.66,.67
PK,p67p68,2023,687210.8,694329.6000000001,.0087,.0088,.67,.68
PK,p68p69,2023,700093,707991.5,.0089,.009,.68,.6899999999999999
PK,p69p70,2023,715368.6000000001,724120.6000000001,.0091,.0092,.6899999999999999,.7
PK,p6p7,2023,182542.6,28803.7,.0023,.0004,.06,.07
PK,p70p71,2023,730517.5,740134.5,.0093,.0094,.7,.71
PK,p71p72,2023,746849.1000000001,757307.6000000001,.0095,.0096,.71,.72
PK,p72p73,2023,764635.4,775989.9,.0097,.0099,.72,.73
PK,p73p74,2023,781839.9,794080.6000000001,.0099,.0101,.73,.74
PK,p74p75,2023,799846.8,813015.1000000001,.0102,.0103,.74,.75
PK,p75p76,2023,818811.1000000001,832932.5,.0104,.0106,.75,.76
PK,p76p77,2023,838479.4,853633.2000000001,.0106,.0108,.76,.77
PK,p77p78,2023,858814,875022,.0109,.0111,.77,.78
PK,p78p79,2023,881574.9,898938.8,.0112,.0114,.78,.79
PK,p79p80,2023,906546.3,925148.4,.0115,.0118,.79,.8
PK,p7p8,2023,194002.8,48006.10000000001,.0025,.0006,.07,.08
PK,p80p81,2023,932240.3,952135.2000000001,.0118,.0121,.8,.8100000000000001
PK,p81p82,2023,959858.4,981104,.0122,.0125,.8100000000000001,.82
PK,p82p83,2023,987575.1000000001,1010210.9,.0125,.0128,.82,.83
PK,p83p84,2023,1018077.1,1042233.1,.0129,.0132,.83,.84
PK,p84p85,2023,1053248.6,1079136.6,.0134,.0137,.84,.85
PK,p85p86,2023,1091824.8,1119624.6,.0139,.0142,.85,.86
PK,p86p87,2023,1134589.5,1164488.3,.0144,.0148,.86,.87
PK,p87p88,2023,1179517.7,1211701.7,.015,.0154,.87,.88
PK,p88p89,2023,1232140,1267016.5,.0156,.0161,.88,.89
PK,p89p90,2023,1292691.1,1330710.1,.0164,.0169,.89,.9
PK,p8p9,2023,205392.6,67208.5,.0026,.0009,.08,.09
PK,p90p91,2023,1336049.5,1376794.9,.017,.0175,.9,.91
PK,p91p92,2023,1430702,1476642.6,.0182,.0188,.91,.92
PK,p92p93,2023,1546712.3,1598994,.0196,.0203,.92,.93
PK,p93p94,2023,1700482.3,1761017.4,.0216,.0224,.93,.9399999999999999
PK,p94p95,2023,1896723.6,1967799.8,.0241,.025,.9399999999999999,.95
PK,p95p96,2023,2150198.1,2234945,.0273,.0284,.95,.96
PK,p96p97,2023,2495828.5,2604280,.0317,.0331,.96,.97
PK,p97p98,2023,3070681.3,3216713,.039,.0409,.97,.98
PK,p98p99,2023,4145745.2,4360092.2,.0527,.0554,.98,.99
PK,p99.1p99.2,2023,5532545.7,5867504.600000001,.007,.0075,.991,.992
PK,p99.2p99.3,2023,5979492.7,6362376.4,.0076,.0081,.992,.993
PK,p99.3p99.4,2023,6519477.800000001,6958953.800000001,.0083,.0088,.993,.9940000000000001
PK,p99.4p99.5,2023,7236018.5,7748795.100000001,.0092,.0098,.9940000000000001,.995
PK,p99.5p99.6,2023,8238584.2,8848913,.0105,.0112,.995,.996
PK,p99.6p99.7,2023,9649174.5,10394086.1,.0123,.0132,.996,.997
PK,p99.7p99.8,2023,11927812.3,12883149.5,.0151,.0164,.997,.998
PK,p99.8p99.9,2023,16886815,18279848.5,.0214,.0232,.998,.9990000000000001
PK,p99.9p100,2023,44423595.7,48324345.1,.0564,.0614,.9990000000000001,1
PK,p99p99.1,2023,5150467.300000001,5446178.300000001,.0065,.0069,.99,.991
PK,p9p10,2023,216374.2,86411,.0027,.0011,.09,.1
