country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PL,p0p1,2023,18829,0,.002,0,0,.01
PL,p10p11,2023,29068.8,13353.6,.0031,.0014,.1,.11
PL,p11p12,2023,30643.5,15781.6,.0032,.0017,.11,.12
PL,p12p13,2023,32872.2,18209.5,.0035,.0019,.12,.13
PL,p13p14,2023,35852.5,20637.4,.0038,.0022,.13,.14
PL,p14p15,2023,38265,23065.4,.004,.0024,.14,.15
PL,p15p16,2023,40221.5,25493.3,.0042,.0027,.15,.16
PL,p16p17,2023,41951.2,27921.2,.0044,.0029,.16,.17
PL,p17p18,2023,43400.4,30349.2,.0046,.0032,.17,.18
PL,p18p19,2023,44843.4,32777.1,.0047,.0035,.18,.19
PL,p19p20,2023,45948.60000000001,35205,.0048,.0037,.19,.2
PL,p1p2,2023,18921.8,0,.002,0,.01,.02
PL,p20p21,2023,47651.8,36419,.005,.0038,.2,.21
PL,p21p22,2023,48640.5,37653.7,.0051,.004,.21,.22
PL,p22p23,2023,49484.4,38708.4,.0052,.0041,.22,.23
PL,p23p24,2023,50437,39887.8,.0053,.0042,.23,.24
PL,p24p25,2023,51607.8,41319.4,.0054,.0044,.24,.25
PL,p25p26,2023,52330.7,42209.8,.0055,.0044,.25,.26
PL,p26p27,2023,52993.7,43081.5,.0056,.0045,.26,.27
PL,p27p28,2023,53695.60000000001,43993.7,.0057,.0046,.27,.28
PL,p28p29,2023,54242,44715.9,.0057,.0047,.28,.29
PL,p29p30,2023,55072.4,45767.60000000001,.0058,.0048,.29,.3
PL,p2p3,2023,18951.2,0,.002,0,.02,.03
PL,p30p31,2023,56271,47245.8,.0059,.005,.3,.31
PL,p31p32,2023,57158.5,48420.2,.006,.0051,.31,.32
PL,p32p33,2023,57903.4,49423.4,.0061,.0052,.32,.33
PL,p33p34,2023,58510.3,50260.4,.0062,.0053,.33,.34
PL,p34p35,2023,59141.60000000001,51124.10000000001,.0062,.0054,.34,.35
PL,p35p36,2023,59902.4,52135.3,.0063,.0055,.35,.36
PL,p36p37,2023,60767.8,53194.9,.0064,.0056,.36,.37
PL,p37p38,2023,61752.60000000001,54390.10000000001,.0065,.0057,.37,.38
PL,p38p39,2023,62865.2,55731.7,.0066,.0059,.38,.39
PL,p39p40,2023,63925.2,57007,.0067,.006,.39,.4
PL,p3p4,2023,18999.3,0,.002,0,.03,.04
PL,p40p41,2023,64838.7,58110.10000000001,.0068,.0061,.4,.41
PL,p41p42,2023,66011.90000000001,59556.60000000001,.007,.0063,.41,.42
