country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PR,p0p1,2023,0,0,0,0,0,.01
PR,p10p11,2023,4548.6,2189.1,.0013,.0006,.1,.11
PR,p11p12,2023,5228.6,2656.6,.0015,.0007,.11,.12
PR,p12p13,2023,6113.8,3135.5,.0017,.0009,.12,.13
PR,p13p14,2023,7599.700000000001,3624.8,.0021,.001,.13,.14
PR,p14p15,2023,8090.5,4123.2,.0023,.0012,.14,.15
PR,p15p16,2023,9541.800000000001,4630.2,.0027,.0013,.15,.16
PR,p16p17,2023,9950.6,5144.8,.0028,.0015,.16,.17
PR,p17p18,2023,10464.8,5666.3,.003,.0016,.17,.18
PR,p18p19,2023,10841.3,6195.1,.0031,.0017,.18,.19
PR,p19p20,2023,10853.5,6729.5,.0031,.0019,.19,.2
PR,p1p2,2023,0,0,0,0,.01,.02
PR,p20p21,2023,10892.8,6999,.0031,.002,.2,.21
PR,p21p22,2023,11031.1,7559.400000000001,.0031,.0021,.21,.22
PR,p22p23,2023,11053.5,8120.5,.0031,.0023,.22,.23
PR,p23p24,2023,11584.8,8682.4,.0033,.0025,.23,.24
PR,p24p25,2023,11635,9244.700000000001,.0033,.0026,.24,.25
PR,p25p26,2023,11774.4,9807,.0033,.0028,.25,.26
PR,p26p27,2023,11927.9,10369.8,.0034,.0029,.26,.27
PR,p27p28,2023,12422.3,10931.9,.0035,.0031,.27,.28
PR,p28p29,2023,12972.1,11494,.0037,.0032,.28,.29
PR,p29p30,2023,13524.7,12055.7,.0038,.0034,.29,.3
PR,p2p3,2023,0,0,0,0,.02,.03
PR,p30p31,2023,14077.3,12616.3,.004,.0036,.3,.31
PR,p31p32,2023,14631.9,13176.5,.0041,.0037,.31,.32
PR,p32p33,2023,15184.3,13735.3,.0043,.0039,.32,.33
PR,p33p34,2023,15735.4,14292.9,.0044,.004,.33,.34
PR,p34p35,2023,16286.3,14849.1,.0046,.0042,.34,.35
PR,p35p36,2023,16838.1,15404.1,.0048,.0043,.35,.36
PR,p36p37,2023,17383.7,15956.9,.0049,.0045,.36,.37
PR,p37p38,2023,17923.2,16508.2,.0051,.0047,.37,.38
PR,p38p39,2023,18463.8,17057.3,.0052,.0048,.38,.39
PR,p39p40,2023,19000,17604,.0054,.005,.39,.4
PR,p3p4,2023,0,0,0,0,.03,.04
PR,p40p41,2023,19532.1,18148.8,.0055,.0051,.4,.41
PR,p41p42,2023,20050.9,18690.8,.0057,.0053,.41,.42
PR,p42p43,2023,20567.4,19230.3,.0058,.0054,.42,.43
PR,p43p44,2023,21079.9,19766.7,.006,.0056,.43,.44
PR,p44p45,2023,21586.3,20300.7,.0061,.0057,.44,.45
PR,p45p46,2023,22087.8,20831.2,.0062,.0059,.45,.46
PR,p46p47,2023,22589.7,21358.4,.0064,.006,.46,.47
PR,p47p48,2023,23084,21882.5,.0065,.0062,.47,.48
PR,p48p49,2023,23572.5,22402.4,.0067,.0063,.48,.49
PR,p49p50,2023,24060.7,22918.9,.0068,.0065,.49,.5
PR,p4p5,2023,0,0,0,0,.04,.05
PR,p50p51,2023,24539.4,23430.8,.0069,.0066,.5,.51
PR,p51p52,2023,25011.5,23938.6,.0071,.0068,.51,.52
PR,p52p53,2023,25479.7,24441.6,.0072,.0069,.52,.53
PR,p53p54,2023,25937.3,24939.5,.0073,.007,.53,.54
PR,p54p55,2023,26389.2,25432.2,.0074,.0072,.54,.55
PR,p55p56,2023,26835.1,25919.3,.0076,.0073,.55,.5600000000000001
PR,p56p57,2023,27269.7,26400.8,.0077,.0075,.5600000000000001,.57
PR,p57p58,2023,27699,26876.3,.0078,.0076,.57,.58
PR,p58p59,2023,28121.3,27345.3,.0079,.0077,.58,.59
PR,p59p60,2023,28535.6,27808.4,.0081,.0078,.59,.6
PR,p5p6,2023,2213,140.6,.0006,0,.05,.06
PR,p60p61,2023,28943,28264.9,.0082,.008,.6,.61
PR,p61p62,2023,29337.4,28714.9,.0083,.0081,.61,.62
PR,p62p63,2023,29724.7,29158.6,.0084,.0082,.62,.63
PR,p63p64,2023,30106.7,29595.7,.0085,.0084,.63,.64
PR,p64p65,2023,30480.6,30026.2,.0086,.0085,.64,.65
PR,p65p66,2023,30847.9,30451.1,.0087,.0086,.65,.66
PR,p66p67,2023,31206.4,30870.2,.0088,.0087,.66,.67
PR,p67p68,2023,31562.4,31284.1,.0089,.0088,.67,.68
PR,p68p69,2023,31911.9,31693.8,.009,.0089,.68,.6899999999999999
PR,p69p70,2023,32257.1,32099.8,.0091,.0091,.6899999999999999,.7
PR,p6p7,2023,2911.1,487.4,.0008,.0001,.06,.07
PR,p70p71,2023,32594.6,32503.6,.0092,.0092,.7,.71
PR,p71p72,2023,32936.9,32906.9,.0093,.0093,.71,.72
PR,p72p73,2023,33276.6,33311.1,.0094,.0094,.72,.73
PR,p73p74,2023,33622.9,33719.7,.0095,.0095,.73,.74
PR,p74p75,2023,33974.5,34134.8,.0096,.0096,.74,.75
PR,p75p76,2023,34333.1,34561.1,.0097,.0098,.75,.76
PR,p76p77,2023,34707.9,35003.5,.0098,.0099,.76,.77
PR,p77p78,2023,35101.1,35468.1,.0099,.01,.77,.78
PR,p78p79,2023,35521.5,35963.3,.01,.0102,.78,.79
PR,p79p80,2023,35979.9,36499.2,.0102,.0103,.79,.8
PR,p7p8,2023,3965.6,879.1,.0011,.0002,.07,.08
PR,p80p81,2023,36487.2,37088.3,.0103,.0105,.8,.8100000000000001
PR,p81p82,2023,37061.7,37747.8,.0105,.0107,.8100000000000001,.82
PR,p82p83,2023,37719.9,38498.7,.0106,.0109,.82,.83
PR,p83p84,2023,38489.8,39368.9,.0109,.0111,.83,.84
PR,p84p85,2023,39407.10000000001,40394.5,.0111,.0114,.84,.85
PR,p85p86,2023,40519.7,41622.4,.0114,.0117,.85,.86
PR,p86p87,2023,41880.2,43115.7,.0118,.0122,.86,.87
PR,p87p88,2023,43575.2,44957.9,.0123,.0127,.87,.88
