country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PS,p0p1,2023,297.6,0,.0004,0,0,.01
PS,p10p11,2023,976.8000000000001,404.8,.0015,.0006,.1,.11
PS,p11p12,2023,1017.7,478.4,.0015,.0007,.11,.12
PS,p12p13,2023,1065.7,552,.0016,.0008,.12,.13
PS,p13p14,2023,1114.9,625.6,.0017,.0009,.13,.14
PS,p14p15,2023,1164.4,699.2,.0018,.0011,.14,.15
PS,p15p16,2023,1209.3,772.9000000000001,.0018,.0012,.15,.16
PS,p16p17,2023,1237.5,846.5,.0019,.0013,.16,.17
PS,p17p18,2023,1258.7,920.1,.0019,.0014,.17,.18
PS,p18p19,2023,1277.2,993.7,.0019,.0015,.18,.19
PS,p19p20,2023,1296.6,1067.3,.002,.0016,.19,.2
PS,p1p2,2023,415,0,.0006,0,.01,.02
PS,p20p21,2023,1325.7,1104.1,.002,.0017,.2,.21
PS,p21p22,2023,1361.5,1151.7,.0021,.0017,.21,.22
PS,p22p23,2023,1400.2,1202.2,.0021,.0018,.22,.23
PS,p23p24,2023,1444.9,1259.1,.0022,.0019,.23,.24
PS,p24p25,2023,1487.9,1313.9,.0022,.002,.24,.25
PS,p25p26,2023,1531.6,1369.4,.0023,.0021,.25,.26
PS,p26p27,2023,1584.7,1420.2,.0024,.0021,.26,.27
PS,p27p28,2023,1637.4,1470.3,.0025,.0022,.27,.28
PS,p28p29,2023,1686.3,1516.7,.0025,.0023,.28,.29
PS,p29p30,2023,1739.6,1567.3,.0026,.0024,.29,.3
PS,p2p3,2023,529.6,0,.0008,0,.02,.03
PS,p30p31,2023,1796.8,1622,.0027,.0024,.3,.31
PS,p31p32,2023,1859.6,1683.1,.0028,.0025,.31,.32
PS,p32p33,2023,1925.8,1747.6,.0029,.0026,.32,.33
PS,p33p34,2023,1991.9,1812.1,.003,.0027,.33,.34
PS,p34p35,2023,2060.5,1879.1,.0031,.0028,.34,.35
PS,p35p36,2023,2123.7,1940.6,.0032,.0029,.35,.36
PS,p36p37,2023,2177.1,2003.6,.0033,.003,.36,.37
PS,p37p38,2023,2233.8,2070,.0034,.0031,.37,.38
PS,p38p39,2023,2294.3,2140.3,.0035,.0032,.38,.39
PS,p39p40,2023,2364.1,2220.2,.0036,.0033,.39,.4
PS,p3p4,2023,628.3000000000001,0,.0009,0,.03,.04
PS,p40p41,2023,2459.1,2326,.0037,.0035,.4,.41
PS,p41p42,2023,2584.3,2463.4,.0039,.0037,.41,.42
PS,p42p43,2023,2697.5,2588.6,.0041,.0039,.42,.43
PS,p43p44,2023,2773.3,2675.3,.0042,.004,.43,.44
PS,p44p45,2023,2811.9,2723.6,.0042,.0041,.44,.45
PS,p45p46,2023,2848.2,2769.5,.0043,.0042,.45,.46
PS,p46p47,2023,2890.6,2814.1,.0044,.0042,.46,.47
PS,p47p48,2023,2920.2,2845.7,.0044,.0043,.47,.48
PS,p48p49,2023,2948.1,2875.3,.0044,.0043,.48,.49
PS,p49p50,2023,2989.6,2919,.0045,.0044,.49,.5
PS,p4p5,2023,714.9000000000001,0,.0011,0,.04,.05
PS,p50p51,2023,3075.7,3008.6,.0046,.0045,.5,.51
PS,p51p52,2023,3216.9,3155.5,.0048,.0048,.51,.52
PS,p52p53,2023,3391.5,3337.1,.0051,.005,.52,.53
PS,p53p54,2023,3576.2,3529.1,.0054,.0053,.53,.54
PS,p54p55,2023,3752.7,3712.8,.0057,.0056,.54,.55
PS,p55p56,2023,3905.5,3872,.0059,.0058,.55,.5600000000000001
PS,p56p57,2023,4025.1,3994.5,.0061,.006,.5600000000000001,.57
PS,p57p58,2023,4105,4075.9,.0062,.0061,.57,.58
PS,p58p59,2023,4154.400000000001,4125.900000000001,.0063,.0062,.58,.59
PS,p59p60,2023,4191.1,4162.6,.0063,.0063,.59,.6
PS,p5p6,2023,785.6,36.8,.0012,.0001,.05,.06
PS,p60p61,2023,4249,4221.3,.0064,.0064,.6,.61
PS,p61p62,2023,4346.1,4320.900000000001,.0065,.0065,.61,.62
PS,p62p63,2023,4471.5,4449.900000000001,.0067,.0067,.62,.63
PS,p63p64,2023,4614.5,4597.2,.007,.0069,.63,.64
PS,p64p65,2023,4765,4752.3,.0072,.0072,.64,.65
PS,p65p66,2023,4916,4907.900000000001,.0074,.0074,.65,.66
PS,p66p67,2023,5058.8,5054.400000000001,.0076,.0076,.66,.67
PS,p67p68,2023,5190,5188.900000000001,.0078,.0078,.67,.68
PS,p68p69,2023,5312.900000000001,5314.900000000001,.008,.008,.68,.6899999999999999
PS,p69p70,2023,5435,5440.1,.0082,.0082,.6899999999999999,.7
PS,p6p7,2023,841.6,110.4,.0013,.0002,.06,.07
PS,p70p71,2023,5571.3,5579.900000000001,.0084,.0084,.7,.71
PS,p71p72,2023,5735.3,5748.5,.0086,.0087,.71,.72
PS,p72p73,2023,5922.8,5941.400000000001,.0089,.0089,.72,.73
PS,p73p74,2023,6128.6,6153.5,.0092,.0093,.73,.74
PS,p74p75,2023,6347.200000000001,6378.900000000001,.0096,.0096,.74,.75
PS,p75p76,2023,6575.400000000001,6614.200000000001,.0099,.01,.75,.76
PS,p76p77,2023,6796.400000000001,6853.200000000001,.0102,.0103,.76,.77
PS,p77p78,2023,7013.6,7088.3,.0106,.0107,.77,.78
PS,p78p79,2023,7219.900000000001,7311.900000000001,.0109,.011,.78,.79
PS,p79p80,2023,7411.8,7520.5,.0112,.0113,.79,.8
PS,p7p8,2023,883,184,.0013,.0003,.07,.08
PS,p80p81,2023,7643.200000000001,7770.3,.0115,.0117,.8,.8100000000000001
PS,p81p82,2023,7918.6,8065.700000000001,.0119,.0121,.8100000000000001,.82
PS,p82p83,2023,8254.4,8423.700000000001,.0124,.0127,.82,.83
PS,p83p84,2023,8671.200000000001,8866,.0131,.0134,.83,.84
PS,p84p85,2023,9196.5,9421.1,.0139,.0142,.84,.85
PS,p85p86,2023,9858.6,10118.5,.0148,.0152,.85,.86
PS,p86p87,2023,10686.6,10978.8,.0161,.0165,.86,.87
PS,p87p88,2023,11707.6,12039.9,.0176,.0181,.87,.88
