country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PT,p0p1,2023,5017,0,.0019,0,0,.01
PT,p10p11,2023,9284.300000000001,3843.3,.0036,.0015,.1,.11
PT,p11p12,2023,9898.5,4542,.0038,.0018,.11,.12
PT,p12p13,2023,10428.5,5240.8,.004,.002,.12,.13
PT,p13p14,2023,10831.5,5939.6,.0042,.0023,.13,.14
PT,p14p15,2023,11261.6,6638.400000000001,.0044,.0026,.14,.15
PT,p15p16,2023,11642.5,7337.1,.0045,.0028,.15,.16
PT,p16p17,2023,11954.3,8035.900000000001,.0046,.0031,.16,.17
PT,p17p18,2023,12301.3,8734.700000000001,.0048,.0034,.17,.18
PT,p18p19,2023,12612,9433.5,.0049,.0037,.18,.19
PT,p19p20,2023,12888.8,10132.2,.005,.0039,.19,.2
PT,p1p2,2023,5025.8,0,.002,0,.01,.02
PT,p20p21,2023,13178.9,10481.6,.0051,.0041,.2,.21
PT,p21p22,2023,13429.2,10802.6,.0052,.0042,.21,.22
PT,p22p23,2023,13679.7,11121.6,.0053,.0043,.22,.23
PT,p23p24,2023,13893.3,11395.8,.0054,.0044,.23,.24
PT,p24p25,2023,14154.3,11723.8,.0055,.0045,.24,.25
PT,p25p26,2023,14410,12043.7,.0056,.0047,.25,.26
PT,p26p27,2023,14733.2,12374.6,.0057,.0048,.26,.27
PT,p27p28,2023,15075.7,12726.4,.0059,.0049,.27,.28
PT,p28p29,2023,15400.6,13055.3,.006,.0051,.28,.29
PT,p29p30,2023,15757.9,13420,.0061,.0052,.29,.3
PT,p2p3,2023,5044.700000000001,0,.002,0,.02,.03
PT,p30p31,2023,16074.4,13736,.0062,.0053,.3,.31
PT,p31p32,2023,16350.3,14026.2,.0063,.0054,.31,.32
PT,p32p33,2023,16672.1,14368,.0065,.0056,.32,.33
PT,p33p34,2023,16992.2,14706.9,.0066,.0057,.33,.34
PT,p34p35,2023,17237.5,14960.3,.0067,.0058,.34,.35
PT,p35p36,2023,17528.3,15264.3,.0068,.0059,.35,.36
PT,p36p37,2023,17758.2,15515.7,.0069,.006,.36,.37
PT,p37p38,2023,18029.1,15812.9,.007,.0061,.37,.38
PT,p38p39,2023,18240,16041.4,.0071,.0062,.38,.39
PT,p39p40,2023,18431,16247.1,.0072,.0063,.39,.4
PT,p3p4,2023,5067.8,0,.002,0,.03,.04
PT,p40p41,2023,18639.2,16471.7,.0072,.0064,.4,.41
PT,p41p42,2023,18822.6,16682.4,.0073,.0065,.41,.42
PT,p42p43,2023,19113.2,17013.3,.0074,.0066,.42,.43
PT,p43p44,2023,19375.7,17312.4,.0075,.0067,.43,.44
PT,p44p45,2023,19659,17634.3,.0076,.0068,.44,.45
PT,p45p46,2023,19859.6,17863.9,.0077,.0069,.45,.46
PT,p46p47,2023,20003.7,18041.7,.0078,.007,.46,.47
PT,p47p48,2023,20291.3,18380.6,.0079,.0071,.47,.48
PT,p48p49,2023,20572.3,18711.5,.008,.0073,.48,.49
PT,p49p50,2023,20851.4,19040.4,.0081,.0074,.49,.5
PT,p4p5,2023,5093,0,.002,0,.04,.05
PT,p50p51,2023,21078.7,19310.7,.0082,.0075,.5,.51
PT,p51p52,2023,21305.1,19588,.0083,.0076,.51,.52
PT,p52p53,2023,21558.4,19895,.0084,.0077,.52,.53
PT,p53p54,2023,21622.9,20040.1,.0084,.0078,.53,.54
PT,p54p55,2023,21624.9,20041.1,.0084,.0078,.54,.55
PT,p55p56,2023,21645.8,20042.1,.0084,.0078,.55,.5600000000000001
PT,p56p57,2023,21666.7,20088.8,.0084,.0078,.5600000000000001,.57
PT,p57p58,2023,21879.1,20423.7,.0085,.0079,.57,.58
PT,p58p59,2023,22202.9,20834.1,.0086,.0081,.58,.59
PT,p59p60,2023,22484,21196.8,.0087,.0082,.59,.6
PT,p5p6,2023,5127.400000000001,349.4,.002,.0001,.05,.06
PT,p60p61,2023,22747.1,21539.6,.0088,.0084,.6,.61
PT,p61p62,2023,23011.4,21888.4,.0089,.0085,.61,.62
PT,p62p63,2023,23303.1,22268,.009,.0086,.62,.63
PT,p63p64,2023,23677.9,22741,.0092,.0088,.63,.64
PT,p64p65,2023,24062.1,23224.9,.0093,.009,.64,.65
PT,p65p66,2023,24489.2,23757.6,.0095,.0092,.65,.66
PT,p66p67,2023,24985.6,24306.1,.0097,.0094,.66,.67
PT,p67p68,2023,25428.6,24796,.0099,.0096,.67,.68
PT,p68p69,2023,25865.6,25280.9,.01,.0098,.68,.6899999999999999
PT,p69p70,2023,26405.4,25882.1,.0102,.01,.6899999999999999,.7
PT,p6p7,2023,5145.400000000001,1048.2,.002,.0004,.06,.07
PT,p70p71,2023,26957.1,26499.2,.0105,.0103,.7,.71
PT,p71p72,2023,27553.2,27165,.0107,.0105,.71,.72
PT,p72p73,2023,28179.3,27867.5,.0109,.0108,.72,.73
PT,p73p74,2023,28858,28632.7,.0112,.0111,.73,.74
PT,p74p75,2023,29488.6,29348.1,.0114,.0114,.74,.75
PT,p75p76,2023,30106.9,30055.7,.0117,.0117,.75,.76
PT,p76p77,2023,30750.3,30814.9,.0119,.012,.76,.77
PT,p77p78,2023,31470.2,31667.5,.0122,.0123,.77,.78
PT,p78p79,2023,32194.8,32534,.0125,.0126,.78,.79
PT,p79p80,2023,32954.7,33450.2,.0128,.013,.79,.8
PT,p7p8,2023,6074.700000000001,1746.9,.0024,.0007,.07,.08
PT,p80p81,2023,33747.1,34415.1,.0131,.0134,.8,.8100000000000001
PT,p81p82,2023,34608.7,35467.4,.0134,.0138,.8100000000000001,.82
PT,p82p83,2023,35411.3,36469.1,.0137,.0142,.82,.83
PT,p83p84,2023,36343.3,37636.7,.0141,.0146,.83,.84
PT,p84p85,2023,37275.3,38827.1,.0145,.0151,.84,.85
PT,p85p86,2023,38413.1,40279.9,.0149,.0156,.85,.86
PT,p86p87,2023,39700.3,41848,.0154,.0162,.86,.87
PT,p87p88,2023,41249.10000000001,43756.9,.016,.017,.87,.88
PT,p88p89,2023,42944.5,45883.4,.0167,.0178,.88,.89
PT,p89p90,2023,44608.2,48028.9,.0173,.0186,.89,.9
PT,p8p9,2023,7483.3,2445.7,.0029,.0009,.08,.09
PT,p90p91,2023,46457.60000000001,50455.5,.018,.0196,.9,.91
PT,p91p92,2023,48384.5,53044.10000000001,.0188,.0206,.91,.92
PT,p92p93,2023,50656,56126.60000000001,.0197,.0218,.92,.93
PT,p93p94,2023,53407.60000000001,59885.8,.0207,.0232,.93,.9399999999999999
PT,p94p95,2023,56858.3,64613.8,.0221,.0251,.9399999999999999,.95
PT,p95p96,2023,61394.3,70822.5,.0238,.0275,.95,.96
PT,p96p97,2023,67652.60000000001,79511.5,.0263,.0309,.96,.97
PT,p97p98,2023,77477.10000000001,93002.10000000001,.0301,.0361,.97,.98
PT,p98p99,2023,96510.20000000001,118764.9,.0375,.0461,.98,.99
PT,p99.1p99.2,2023,118649.1,152679.1,.0046,.0059,.991,.992
PT,p99.2p99.3,2023,123327.7,161876.9,.0048,.0063,.992,.993
PT,p99.3p99.4,2023,129248.4,173095.8,.005,.0067,.993,.9940000000000001
PT,p99.4p99.5,2023,137135.4,187214.4,.0053,.0073,.9940000000000001,.995
PT,p99.5p99.6,2023,147900.2,205765,.0057,.008,.995,.996
PT,p99.6p99.7,2023,163581.9,231739.5,.0063,.009,.996,.997
PT,p99.7p99.8,2023,189298.8,272097.9,.0073,.0106,.997,.998
PT,p99.8p99.9,2023,240618.3,349242.4,.0093,.0136,.998,.9990000000000001
PT,p99.9p100,2023,529865.6,794896.3,.0206,.0308,.9990000000000001,1
PT,p99p99.1,2023,114896.7,144956.1,.0045,.0056,.99,.991
PT,p9p10,2023,8458.4,3144.5,.0033,.0012,.09,.1
