country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PW,p0p1,2023,0,0,0,0,0,.01
PW,p10p11,2023,5790.6,1704.2,.003,.0009,.1,.11
PW,p11p12,2023,5951.200000000001,2014.1,.0031,.0011,.11,.12
PW,p12p13,2023,6245.400000000001,2323.9,.0033,.0012,.12,.13
PW,p13p14,2023,6480.5,2633.7,.0034,.0014,.13,.14
PW,p14p15,2023,6549.900000000001,2943.6,.0034,.0015,.14,.15
PW,p15p16,2023,6555.900000000001,3253.5,.0034,.0017,.15,.16
PW,p16p17,2023,6636.900000000001,3563.3,.0035,.0019,.16,.17
PW,p17p18,2023,6662,3873.1,.0035,.002,.17,.18
PW,p18p19,2023,7023.900000000001,4183.1,.0037,.0022,.18,.19
PW,p19p20,2023,7035.200000000001,4492.8,.0037,.0023,.19,.2
PW,p1p2,2023,0,0,0,0,.01,.02
PW,p20p21,2023,7079.700000000001,4647.8,.0037,.0024,.2,.21
PW,p21p22,2023,7172,4926,.0037,.0026,.21,.22
PW,p22p23,2023,7319,5207.900000000001,.0038,.0027,.22,.23
PW,p23p24,2023,7416.6,5493.700000000001,.0039,.0029,.23,.24
PW,p24p25,2023,7698.400000000001,5782.8,.004,.003,.24,.25
PW,p25p26,2023,7795.400000000001,6075.200000000001,.0041,.0032,.25,.26
PW,p26p27,2023,7826.6,6370.700000000001,.0041,.0033,.26,.27
PW,p27p28,2023,7945.1,6669,.0041,.0035,.27,.28
PW,p28p29,2023,7954.400000000001,6969.700000000001,.0042,.0036,.28,.29
PW,p29p30,2023,7984.700000000001,7272.6,.0042,.0038,.29,.3
PW,p2p3,2023,0,0,0,0,.02,.03
PW,p30p31,2023,8274.6,7577.1,.0043,.004,.3,.31
PW,p31p32,2023,8567.700000000001,7883.5,.0045,.0041,.31,.32
PW,p32p33,2023,8862,8190.8,.0046,.0043,.32,.33
PW,p33p34,2023,9157.200000000001,8498.9,.0048,.0044,.33,.34
PW,p34p35,2023,9453.9,8807.4,.0049,.0046,.34,.35
PW,p35p36,2023,9752.300000000001,9115.800000000001,.0051,.0048,.35,.36
PW,p36p37,2023,10047.8,9423.9,.0052,.0049,.36,.37
PW,p37p38,2023,10340.1,9731,.0054,.0051,.37,.38
PW,p38p39,2023,10632.8,10036.6,.0055,.0052,.38,.39
