country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
PY,p0p1,2023,3798322.6,1581.3,.0006,0,0,.01
PY,p10p11,2023,5265784.5,1144873.3,.0008,.0002,.1,.11
PY,p11p12,2023,5685228.7,1563526.8,.0009,.0002,.11,.12
PY,p12p13,2023,6022444.5,1885720.1,.0009,.0003,.12,.13
PY,p13p14,2023,6320918,2161264.5,.001,.0003,.13,.14
PY,p14p15,2023,6859751.7,2704051.5,.001,.0004,.14,.15
PY,p15p16,2023,7498603.600000001,3353972.6,.0011,.0005,.15,.16
PY,p16p17,2023,8044553.2,4029590.2,.0012,.0006,.16,.17
PY,p17p18,2023,8690521,4810760.600000001,.0013,.0007,.17,.18
PY,p18p19,2023,9406462.200000001,5660718.300000001,.0014,.0009,.18,.19
PY,p19p20,2023,10355647.5,6758942.7,.0016,.001,.19,.2
PY,p1p2,2023,3846948.1,3953.3,.0006,0,.01,.02
PY,p20p21,2023,11362155.5,7908560,.0017,.0012,.2,.21
PY,p21p22,2023,12514935.4,9240819.200000001,.0019,.0014,.21,.22
PY,p22p23,2023,13470446,10355252.2,.002,.0016,.22,.23
PY,p23p24,2023,14333449.6,11366108.8,.0022,.0017,.23,.24
PY,p24p25,2023,15079831,12248088.2,.0023,.0018,.24,.25
PY,p25p26,2023,15851908.9,13155764,.0024,.002,.25,.26
PY,p26p27,2023,16701075.9,14021930.2,.0025,.0021,.26,.27
PY,p27p28,2023,17711141.9,15059669.2,.0027,.0023,.27,.28
PY,p28p29,2023,18605376.5,15969717,.0028,.0024,.28,.29
PY,p29p30,2023,19305109.1,16666682.3,.0029,.0025,.29,.3
PY,p2p3,2023,3895573.6,7115.900000000001,.0006,0,.02,.03
PY,p30p31,2023,20178391.3,17549847.6,.003,.0026,.3,.31
PY,p31p32,2023,21080927.7,18476103.9,.0032,.0028,.31,.32
PY,p32p33,2023,21977929.6,19395639.5,.0033,.0029,.32,.33
PY,p33p34,2023,22770959.9,20201715.7,.0034,.003,.33,.34
PY,p34p35,2023,23608662.4,21055231.4,.0036,.0032,.34,.35
PY,p35p36,2023,24459015.5,21921397.6,.0037,.0033,.35,.36
PY,p36p37,2023,25229116.7,22779657.2,.0038,.0034,.36,.37
PY,p37p38,2023,25994473.9,23631196.2,.0039,.0036,.37,.38
PY,p38p39,2023,26697369.2,24414738.6,.004,.0037,.38,.39
PY,p39p40,2023,27379707.3,25174561.3,.0041,.0038,.39,.4
PY,p3p4,2023,3944199.1,9883.200000000001,.0006,0,.03,.04
PY,p40p41,2023,28033186.5,25903152.9,.0042,.0039,.4,.41
PY,p41p42,2023,28736477,26695392.6,.0043,.004,.41,.42
PY,p42p43,2023,29486021.1,27537048.3,.0044,.0042,.42,.43
PY,p43p44,2023,30162824.7,28300824.3,.0045,.0043,.43,.44
PY,p44p45,2023,30816699.1,29038903.8,.0046,.0044,.44,.45
PY,p45p46,2023,31514850.4,29824027.6,.0048,.0045,.45,.46
PY,p46p47,2023,32253720.6,30598477.4,.0049,.0046,.46,.47
PY,p47p48,2023,33025007.8,31406925.5,.005,.0047,.47,.48
PY,p48p49,2023,33869430.9,32293648.9,.0051,.0049,.48,.49
PY,p49p50,2023,34674321.1,33137281.3,.0052,.005,.49,.5
PY,p4p5,2023,3993219.9,12650.5,.0006,0,.04,.05
PY,p50p51,2023,35398564.1,33893941.3,.0053,.0051,.5,.51
PY,p51p52,2023,36133085.7,34668391.2,.0054,.0052,.51,.52
PY,p52p53,2023,36945882.5,35526650.8,.0056,.0054,.52,.53
PY,p53p54,2023,37712425.7,36334703.6,.0057,.0055,.53,.54
PY,p54p55,2023,38541431,37210357.7,.0058,.0056,.54,.55
PY,p55p56,2023,39403248.6,38120800.8,.0059,.0057,.55,.5600000000000001
PY,p56p57,2023,40261508.2,39037964.4,.0061,.0059,.5600000000000001,.57
PY,p57p58,2023,41091699.40000001,39925083.1,.0062,.006,.57,.58
PY,p58p59,2023,42155134.90000001,41062049.8,.0064,.0062,.58,.59
PY,p59p60,2023,43118947.40000001,42091882.2,.0065,.0063,.59,.6
PY,p5p6,2023,4042240.7,15813.2,.0006,0,.05,.06
PY,p60p61,2023,44185545.5,43232011.5,.0067,.0065,.6,.61
PY,p61p62,2023,45212215.3,44332607.90000001,.0068,.0067,.61,.62
PY,p62p63,2023,46348786.7,45551407.8,.007,.0069,.62,.63
PY,p63p64,2023,47473498.2,46757557,.0072,.007,.63,.64
PY,p64p65,2023,48474866.90000001,47830875.7,.0073,.0072,.64,.65
PY,p65p66,2023,49497188.2,48926332.8,.0075,.0074,.65,.66
PY,p66p67,2023,50616760.40000001,50179921.6,.0076,.0076,.66,.67
PY,p67p68,2023,51964042.2,51677823.8,.0078,.0078,.67,.68
PY,p68p69,2023,53295115.5,53158726.90000001,.008,.008,.68,.6899999999999999
PY,p69p70,2023,54606027,54617096.2,.0082,.0082,.6899999999999999,.7
PY,p6p7,2023,4090866.2,18185.1,.0006,0,.06,.07
PY,p70p71,2023,55844593.2,55997981,.0084,.0084,.7,.71
PY,p71p72,2023,57411282.7,57721220.8,.0087,.0087,.71,.72
PY,p72p73,2023,59012365.8,59480435.6,.0089,.009,.72,.73
PY,p73p74,2023,60543871,61163747.2,.0091,.0092,.73,.74
PY,p74p75,2023,62249321.1,63033258.8,.0094,.0095,.74,.75
PY,p75p76,2023,64120018.7,65079087.2,.0097,.0098,.75,.76
PY,p76p77,2023,66251238.2,67287000.60000001,.01,.0101,.76,.77
PY,p77p78,2023,68408549.40000001,69522191.7,.0103,.0105,.77,.78
PY,p78p79,2023,70907029.8,72122271.60000001,.0107,.0109,.78,.79
PY,p79p80,2023,73622941.10000001,74954014.40000001,.0111,.0113,.79,.8
PY,p7p8,2023,4144631,26091.7,.0006,0,.07,.08
PY,p80p81,2023,76604513.7,78069998.90000001,.0115,.0118,.8,.8100000000000001
PY,p81p82,2023,79838306.3,81437808.10000001,.012,.0123,.8100000000000001,.82
PY,p82p83,2023,83387176.2,85140065.7,.0126,.0128,.82,.83
PY,p83p84,2023,87652382.60000001,89606099.30000001,.0132,.0135,.83,.84
PY,p84p85,2023,92339405.2,94520436.2,.0139,.0143,.84,.85
PY,p85p86,2023,97567633.40000001,100009186.3,.0147,.0151,.85,.86
PY,p86p87,2023,102829859.9,105586490.2,.0155,.0159,.86,.87
PY,p87p88,2023,109248424.2,112394849,.0165,.0169,.87,.88
PY,p88p89,2023,116425625.2,120008493.4,.0176,.0181,.88,.89
PY,p89p90,2023,123943204.6,127979120.1,.0187,.0193,.89,.9
PY,p8p9,2023,4444685.8,328518.5,.0007,0,.08,.09
PY,p90p91,2023,130251274.5,134650695.1,.0196,.0203,.9,.91
PY,p91p92,2023,136200187.7,140796679.9,.0205,.0212,.91,.92
PY,p92p93,2023,142199505.5,146975477.1,.0214,.0222,.92,.93
PY,p93p94,2023,149272141.9,154274044.2,.0225,.0233,.93,.9399999999999999
PY,p94p95,2023,160466677.9,165924987.7,.0242,.025,.9399999999999999,.95
PY,p95p96,2023,193434165.3,200624016.9,.0292,.0302,.95,.96
PY,p96p97,2023,257272907.3,267507386.4,.0388,.0403,.96,.97
PY,p97p98,2023,321679341.9,334563712.4,.0485,.0504,.97,.98
PY,p98p99,2023,436696607,454353292.3,.0658,.0685,.98,.99
PY,p99.1p99.2,2023,691913012,720672220.4000001,.0104,.0109,.991,.992
PY,p99.2p99.3,2023,736047560,767265715.9000001,.0111,.0116,.992,.993
PY,p99.3p99.4,2023,772907063.1,806251101.5,.0117,.0122,.993,.9940000000000001
PY,p99.4p99.5,2023,803100328.1,838231254.4000001,.0121,.0126,.9940000000000001,.995
PY,p99.5p99.6,2023,828990435.1,865690818.2,.0125,.0131,.995,.996
PY,p99.6p99.7,2023,855320345.9000001,893581290.8000001,.0129,.0135,.996,.997
PY,p99.7p99.8,2023,925938488.9000001,967894279,.014,.0146,.997,.998
PY,p99.8p99.9,2023,1309634105.3,1370885417.9,.0197,.0207,.998,.9990000000000001
PY,p99.9p100,2023,6359354893,6674054204.3,.0959,.1006,.9990000000000001,1
PY,p99p99.1,2023,640879970,666870886,.0097,.0101,.99,.991
PY,p9p10,2023,4762530.5,637270.6000000001,.0007,.0001,.09,.1
