country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
QA,p0p1,2023,8654.300000000001,0,.0003,0,0,.01
QA,p10p11,2023,38433.5,17428.4,.0014,.0007,.1,.11
QA,p11p12,2023,40205.9,20597.1,.0015,.0008,.11,.12
QA,p12p13,2023,42240.2,23765.9,.0016,.0009,.12,.13
QA,p13p14,2023,44087.2,26934.7,.0017,.001,.13,.14
QA,p14p15,2023,45751.7,30103.5,.0017,.0011,.14,.15
QA,p15p16,2023,47059.2,33272.3,.0018,.0012,.15,.16
QA,p16p17,2023,48495.3,36441.1,.0018,.0014,.16,.17
QA,p17p18,2023,49617.10000000001,39609.9,.0019,.0015,.17,.18
QA,p18p19,2023,50743.7,42778.7,.0019,.0016,.18,.19
QA,p19p20,2023,51898.9,45947.5,.0019,.0017,.19,.2
QA,p1p2,2023,16013.8,0,.0006,0,.01,.02
QA,p20p21,2023,53439.7,47531.9,.002,.0018,.2,.21
QA,p21p22,2023,55116.9,49191.5,.0021,.0018,.21,.22
QA,p22p23,2023,56645,50704.3,.0021,.0019,.22,.23
QA,p23p24,2023,58592,52628.7,.0022,.002,.23,.24
QA,p24p25,2023,60343.8,54362.4,.0023,.002,.24,.25
QA,p25p26,2023,62230.4,56226.3,.0023,.0021,.25,.26
QA,p26p27,2023,63858.5,57816,.0024,.0022,.26,.27
QA,p27p28,2023,65623,59535.9,.0025,.0022,.27,.28
QA,p28p29,2023,67128.8,61005.10000000001,.0025,.0023,.28,.29
QA,p29p30,2023,68912.40000000001,62744.9,.0026,.0024,.29,.3
QA,p2p3,2023,21745.3,0,.0008,0,.02,.03
QA,p30p31,2023,70583.3,64375.7,.0027,.0024,.3,.31
QA,p31p32,2023,72298.60000000001,66036.60000000001,.0027,.0025,.31,.32
QA,p32p33,2023,74036.10000000001,67718.8,.0028,.0025,.32,.33
QA,p33p34,2023,75695.90000000001,69324.5,.0028,.0026,.33,.34
QA,p34p35,2023,77677.8,71246.7,.0029,.0027,.34,.35
QA,p35p36,2023,79313.70000000001,72830.8,.003,.0027,.35,.36
QA,p36p37,2023,81197.3,74687.8,.0031,.0028,.36,.37
QA,p37p38,2023,83339.40000000001,76797.2,.0031,.0029,.37,.38
QA,p38p39,2023,85446.70000000001,78874.60000000001,.0032,.003,.38,.39
QA,p39p40,2023,87536.5,80932.40000000001,.0033,.003,.39,.4
QA,p3p4,2023,26177.2,0,.001,0,.03,.04
QA,p40p41,2023,89900.8,83262.70000000001,.0034,.0031,.4,.41
QA,p41p42,2023,92368.20000000001,85698,.0035,.0032,.41,.42
QA,p42p43,2023,94762.70000000001,88059.90000000001,.0036,.0033,.42,.43
QA,p43p44,2023,97393.60000000001,90656,.0037,.0034,.43,.44
QA,p44p45,2023,100083.1,93309.8,.0038,.0035,.44,.45
QA,p45p46,2023,103006,96193.90000000001,.0039,.0036,.45,.46
QA,p46p47,2023,105982.8,99111.90000000001,.004,.0037,.46,.47
QA,p47p48,2023,108877.1,101949.4,.0041,.0038,.47,.48
QA,p48p49,2023,111890.4,104904.5,.0042,.0039,.48,.49
QA,p49p50,2023,114800.6,107759.2,.0043,.004,.49,.5
