country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
RO,p0p1,2023,12412.9,0,.0013,0,0,.01
RO,p10p11,2023,19759.8,9455,.0021,.001,.1,.11
RO,p11p12,2023,21431.3,11174.1,.0023,.0012,.11,.12
RO,p12p13,2023,23177.6,12893.2,.0025,.0014,.12,.13
RO,p13p14,2023,24806.2,14612.3,.0026,.0016,.13,.14
RO,p14p15,2023,26956,16331.4,.0029,.0017,.14,.15
RO,p15p16,2023,28998.1,18050.5,.0031,.0019,.15,.16
RO,p16p17,2023,30711,19769.5,.0033,.0021,.16,.17
RO,p17p18,2023,32012.5,21488.6,.0034,.0023,.17,.18
RO,p18p19,2023,32656.5,23207.7,.0035,.0025,.18,.19
RO,p19p20,2023,33244.8,24926.8,.0036,.0027,.19,.2
RO,p1p2,2023,12595.4,0,.0013,0,.01,.02
RO,p20p21,2023,33830.8,25786.4,.0036,.0028,.2,.21
RO,p21p22,2023,34374.9,26685.5,.0037,.0028,.21,.22
RO,p22p23,2023,35048,27732.6,.0037,.003,.22,.23
RO,p23p24,2023,35985.1,29088.3,.0038,.0031,.23,.24
RO,p24p25,2023,36938.3,30453.7,.0039,.0033,.24,.25
RO,p25p26,2023,37911.7,31833.8,.004,.0034,.25,.26
RO,p26p27,2023,38739.3,32674.2,.0041,.0035,.26,.27
RO,p27p28,2023,39445.3,33365.8,.0042,.0036,.27,.28
RO,p28p29,2023,40355.10000000001,34292.4,.0043,.0037,.28,.29
RO,p29p30,2023,41413.2,35387.4,.0044,.0038,.29,.3
RO,p2p3,2023,12775.1,0,.0014,0,.02,.03
RO,p30p31,2023,42604.8,36631.4,.0046,.0039,.3,.31
RO,p31p32,2023,43605.5,37702,.0047,.004,.31,.32
RO,p32p33,2023,44631.8,38800,.0048,.0041,.32,.33
RO,p33p34,2023,45451.10000000001,39653.2,.0049,.0042,.33,.34
RO,p34p35,2023,46374.8,40625.8,.005,.0043,.34,.35
RO,p35p36,2023,47394.5,41708.2,.0051,.0045,.35,.36
RO,p36p37,2023,48411.9,42874.8,.0052,.0046,.36,.37
RO,p37p38,2023,49678.8,44327.4,.0053,.0047,.37,.38
RO,p38p39,2023,50730.8,45526.3,.0054,.0049,.38,.39
RO,p39p40,2023,51377.10000000001,46256,.0055,.0049,.39,.4
RO,p3p4,2023,12983.2,0,.0014,0,.03,.04
RO,p40p41,2023,52084.2,47052.3,.0056,.005,.4,.41
RO,p41p42,2023,52857.8,47959.3,.0056,.0051,.41,.42
RO,p42p43,2023,53779.2,49034.8,.0057,.0052,.42,.43
RO,p43p44,2023,54830.10000000001,50254.3,.0059,.0054,.43,.44
RO,p44p45,2023,55909.5,51504.2,.006,.0055,.44,.45
RO,p45p46,2023,57058.60000000001,52829.4,.0061,.0056,.45,.46
RO,p46p47,2023,58159.2,54127.3,.0062,.0058,.46,.47
RO,p47p48,2023,58962.3,55082.3,.0063,.0059,.47,.48
RO,p48p49,2023,60192.4,56520.2,.0064,.006,.48,.49
RO,p49p50,2023,61368.3,57892.5,.0066,.0062,.49,.5
RO,p4p5,2023,13270.7,0,.0014,0,.04,.05
RO,p50p51,2023,62360.10000000001,59051.2,.0067,.0063,.5,.51
RO,p51p52,2023,63706.8,60631.2,.0068,.0065,.51,.52
RO,p52p53,2023,64956.4,62097.5,.0069,.0066,.52,.53
RO,p53p54,2023,66315.40000000001,63687.2,.0071,.0068,.53,.54
RO,p54p55,2023,67774.90000000001,65388.60000000001,.0072,.007,.54,.55
RO,p55p56,2023,69257.7,67115.5,.0074,.0072,.55,.5600000000000001
RO,p56p57,2023,70665.3,68778.7,.0075,.0073,.5600000000000001,.57
RO,p57p58,2023,72059.40000000001,70426.2,.0077,.0075,.57,.58
RO,p58p59,2023,73614.90000000001,72256.90000000001,.0079,.0077,.58,.59
RO,p59p60,2023,75020.2,73918.10000000001,.008,.0079,.59,.6
RO,p5p6,2023,13676.4,859.5,.0015,.0001,.05,.06
RO,p60p61,2023,76220.10000000001,75349.2,.0081,.008,.6,.61
RO,p61p62,2023,77526.7,76911.5,.0083,.0082,.61,.62
RO,p62p63,2023,79061.5,78734.3,.0084,.0084,.62,.63
RO,p63p64,2023,80923.3,80930.40000000001,.0086,.0086,.63,.64
RO,p64p65,2023,82537.3,82849.20000000001,.0088,.0088,.64,.65
RO,p65p66,2023,84153.10000000001,84772,.009,.0091,.65,.66
RO,p66p67,2023,86181.20000000001,87166.8,.0092,.0093,.66,.67
RO,p67p68,2023,88102.20000000001,89443.20000000001,.0094,.0096,.67,.68
RO,p68p69,2023,90171.70000000001,91890,.0096,.0098,.68,.6899999999999999
RO,p69p70,2023,92041.90000000001,94113.5,.0098,.0101,.6899999999999999,.7
RO,p6p7,2023,14261.3,2578.6,.0015,.0003,.06,.07
RO,p70p71,2023,93818.90000000001,96233.10000000001,.01,.0103,.7,.71
RO,p71p72,2023,95952,98726.90000000001,.0102,.0105,.71,.72
RO,p72p73,2023,98547.20000000001,101740.9,.0105,.0109,.72,.73
RO,p73p74,2023,100975,104563.8,.0108,.0112,.73,.74
RO,p74p75,2023,103293.3,107260.3,.011,.0115,.74,.75
RO,p75p76,2023,105669.8,110020.6,.0113,.0117,.75,.76
RO,p76p77,2023,108112,112778.9,.0115,.012,.76,.77
RO,p77p78,2023,110207.2,115143.4,.0118,.0123,.77,.78
RO,p78p79,2023,112176.7,117362,.012,.0125,.78,.79
RO,p79p80,2023,113991.7,119404.2,.0122,.0128,.79,.8
RO,p7p8,2023,15147,4297.7,.0016,.0005,.07,.08
RO,p80p81,2023,116849.8,122617,.0125,.0131,.8,.8100000000000001
RO,p81p82,2023,129567.4,136871.7,.0138,.0146,.8100000000000001,.82
RO,p82p83,2023,130838.7,138243.9,.014,.0148,.82,.83
RO,p83p84,2023,134127.4,141878.9,.0143,.0152,.83,.84
RO,p84p85,2023,136895.6,144926.1,.0146,.0155,.84,.85
RO,p85p86,2023,140804.8,149249.6,.015,.0159,.85,.86
RO,p86p87,2023,145748.6,154743.7,.0156,.0165,.86,.87
RO,p87p88,2023,149875.2,159317.9,.016,.017,.87,.88
RO,p88p89,2023,154984.7,164988.3,.0166,.0176,.88,.89
RO,p89p90,2023,161521.2,172250.3,.0173,.0184,.89,.9
RO,p8p9,2023,16494.9,6016.8,.0018,.0006,.08,.09
RO,p90p91,2023,169358.7,180960,.0181,.0193,.9,.91
RO,p91p92,2023,179681.2,192159.6,.0192,.0205,.91,.92
RO,p92p93,2023,192054.1,205600.4,.0205,.022,.92,.93
RO,p93p94,2023,207257.3,222136.3,.0221,.0237,.93,.9399999999999999
RO,p94p95,2023,226556.6,243155.5,.0242,.026,.9399999999999999,.95
RO,p95p96,2023,252180.7,271101.6,.0269,.029,.95,.96
RO,p96p97,2023,289140.4,310809.6,.0309,.0332,.96,.97
RO,p97p98,2023,347486.8,373697.6,.0371,.0399,.97,.98
RO,p98p99,2023,461830.7,497353.8,.0493,.0531,.98,.99
RO,p99.1p99.2,2023,616790.7000000001,664729.1000000001,.0066,.0071,.991,.992
RO,p99.2p99.3,2023,658684.3,711003.7000000001,.007,.0076,.992,.993
RO,p99.3p99.4,2023,710186.4,767792.3,.0076,.0082,.993,.9940000000000001
