country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
RS,p0p1,2023,191303.1,0,.0015,0,0,.01
RS,p10p11,2023,204009.9,108128.2,.0016,.0009,.1,.11
RS,p11p12,2023,210613.2,135039.1,.0017,.0011,.11,.12
RS,p12p13,2023,233228.8,163364.5,.0019,.0013,.12,.13
RS,p13p14,2023,275975.2,192974.2,.0022,.0015,.13,.14
RS,p14p15,2023,315035.7,223764.5,.0025,.0018,.14,.15
RS,p15p16,2023,356804.6,255650.3,.0029,.002,.15,.16
RS,p16p17,2023,385717.6,288560.5,.0031,.0023,.16,.17
RS,p17p18,2023,411026.7,322434.4,.0033,.0026,.17,.18
RS,p18p19,2023,440782.8,357219.6,.0035,.0029,.18,.19
RS,p19p20,2023,468725.8,392870.2,.0037,.0031,.19,.2
RS,p1p2,2023,191497.1,0,.0015,0,.01,.02
RS,p20p21,2023,491378.6,410973.7,.0039,.0033,.2,.21
RS,p21p22,2023,493773.7,410974.7,.0039,.0033,.21,.22
RS,p22p23,2023,511658.7,429933,.0041,.0034,.22,.23
RS,p23p24,2023,549129.9,472603.7,.0044,.0038,.23,.24
RS,p24p25,2023,578080.2000000001,504574.9,.0046,.004,.24,.25
RS,p25p26,2023,597576.9,524844.7000000001,.0048,.0042,.25,.26
RS,p26p27,2023,614842.6,543397.2000000001,.0049,.0043,.26,.27
RS,p27p28,2023,633511,563474.6,.0051,.0045,.27,.28
RS,p28p29,2023,656335.5,588365.3,.0052,.0047,.28,.29
RS,p29p30,2023,681055.1000000001,615290.9,.0054,.0049,.29,.3
RS,p2p3,2023,192399.9,0,.0015,0,.02,.03
RS,p30p31,2023,693597.8,627598.4,.0055,.005,.3,.31
RS,p31p32,2023,694664.7000000001,627599.4,.0055,.005,.31,.32
RS,p32p33,2023,695709.3,627600.4,.0056,.005,.32,.33
RS,p33p34,2023,696731.5,627601.4,.0056,.005,.33,.34
RS,p34p35,2023,697731.4,627602.4,.0056,.005,.34,.35
RS,p35p36,2023,698716.3,627603.4,.0056,.005,.35,.36
RS,p36p37,2023,699268.4,628457.1,.0056,.005,.36,.37
RS,p37p38,2023,705073.4,635472.5,.0056,.0051,.37,.38
RS,p38p39,2023,724443.2000000001,658310.2000000001,.0058,.0053,.38,.39
RS,p39p40,2023,752878.7000000001,694725.9,.006,.0055,.39,.4
RS,p3p4,2023,193034.1,0,.0015,0,.03,.04
RS,p40p41,2023,753699.4,694726.9,.006,.0055,.4,.41
RS,p41p42,2023,754527.6000000001,694727.9,.006,.0055,.41,.42
RS,p42p43,2023,755370.8,694728.9,.006,.0055,.42,.43
