country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
RU,p0p1,2023,75893.3,0,.0005,0,0,.01
RU,p10p11,2023,211549.5,167900.4,.0015,.0012,.1,.11
RU,p11p12,2023,237156.2,198433.1,.0017,.0014,.11,.12
RU,p12p13,2023,263380.7,228957.4,.0019,.0016,.12,.13
RU,p13p14,2023,290248.2,259481.7,.0021,.0019,.13,.14
RU,p14p15,2023,317750.1,290014.4,.0023,.0021,.14,.15
RU,p15p16,2023,345903.3,320538.7,.0025,.0023,.15,.16
RU,p16p17,2023,373413.6,351071.4,.0027,.0025,.16,.17
RU,p17p18,2023,401575.1,381595.7,.0029,.0027,.17,.18
RU,p18p19,2023,430396.2,412128.4,.0031,.0029,.18,.19
RU,p19p20,2023,459868.5,442652.7,.0033,.0032,.19,.2
RU,p1p2,2023,78297.90000000001,0,.0006,0,.01,.02
RU,p20p21,2023,476992.5,457914.8,.0034,.0033,.2,.21
RU,p21p22,2023,489783.3,472016.5,.0035,.0034,.21,.22
RU,p22p23,2023,500745.7,483905.6,.0036,.0035,.22,.23
RU,p23p24,2023,510522.5,494266.8,.0036,.0035,.23,.24
RU,p24p25,2023,519689.8,503859.9,.0037,.0036,.24,.25
RU,p25p26,2023,528790.3,513236,.0038,.0037,.25,.26
RU,p26p27,2023,538525.4,522812.4,.0038,.0037,.26,.27
RU,p27p28,2023,548702.9,532797.9,.0039,.0038,.27,.28
RU,p28p29,2023,559439.9,543317.8,.004,.0039,.28,.29
RU,p29p30,2023,570744.6,554380.4,.0041,.004,.29,.3
RU,p2p3,2023,80694.10000000001,0,.0006,0,.02,.03
RU,p30p31,2023,582550.2000000001,565927.2000000001,.0042,.004,.3,.31
RU,p31p32,2023,593846.5,577791.2000000001,.0042,.0041,.31,.32
RU,p32p33,2023,605301.5,589813.9,.0043,.0042,.32,.33
RU,p33p34,2023,616789.9,601778.2000000001,.0044,.0043,.33,.34
RU,p34p35,2023,628111.2000000001,613550.4,.0045,.0044,.34,.35
RU,p35p36,2023,639223.9,624988.7000000001,.0046,.0045,.35,.36
RU,p36p37,2023,650528.6000000001,636101.4,.0046,.0045,.36,.37
RU,p37p38,2023,661674.6000000001,646988.6000000001,.0047,.0046,.37,.38
RU,p38p39,2023,672787.3,657792.3,.0048,.0047,.38,.39
RU,p39p40,2023,683925,668579.4,.0049,.0048,.39,.4
RU,p3p4,2023,83098.60000000001,0,.0006,0,.03,.04
RU,p40p41,2023,695087.7000000001,679366.4,.005,.0049,.4,.41
RU,p41p42,2023,705641,690111.7000000001,.005,.0049,.41,.42
RU,p42p43,2023,716169.2000000001,700773.5,.0051,.005,.42,.43
RU,p43p44,2023,726588.9,711310.1000000001,.0052,.0051,.43,.44
RU,p44p45,2023,736933.4,721746.4,.0053,.0052,.44,.45
RU,p45p46,2023,747252.9,732116,.0053,.0052,.45,.46
RU,p46p47,2023,757564.1000000001,742569.1000000001,.0054,.0053,.46,.47
RU,p47p48,2023,768075.6000000001,753222.6000000001,.0055,.0054,.47,.48
RU,p48p49,2023,778929.4,764193.3,.0056,.0055,.48,.49
RU,p49p50,2023,790234.1000000001,775639.9,.0056,.0055,.49,.5
RU,p4p5,2023,85503.10000000001,0,.0006,0,.04,.05
RU,p50p51,2023,802106.5,787696,.0057,.0056,.5,.51
RU,p51p52,2023,814354.6000000001,800470.1000000001,.0058,.0057,.51,.52
RU,p52p53,2023,827379.2000000001,814037.4,.0059,.0058,.52,.53
RU,p53p54,2023,841188.6000000001,828481.4,.006,.0059,.53,.54
RU,p54p55,2023,855833,843793.6000000001,.0061,.006,.54,.55
RU,p55p56,2023,871187,859874,.0062,.0061,.55,.5600000000000001
RU,p56p57,2023,887092,876513.7000000001,.0063,.0063,.5600000000000001,.57
RU,p57p58,2023,903180.7000000001,893337.2000000001,.0064,.0064,.57,.58
RU,p58p59,2023,919160.9,910027,.0066,.0065,.58,.59
RU,p59p60,2023,934865.6000000001,926391.3,.0067,.0066,.59,.6
RU,p5p6,2023,90354,15262.2,.0006,.0001,.05,.06
RU,p60p61,2023,950378.2000000001,942521.7000000001,.0068,.0067,.6,.61
RU,p61p62,2023,965682.1000000001,958585.4,.0069,.0068,.61,.62
RU,p62p63,2023,981161.3,974849.5,.007,.007,.62,.63
RU,p63p64,2023,997041.3,991547.7000000001,.0071,.0071,.63,.64
RU,p64p65,2023,1013522.4,1008872.1,.0072,.0072,.64,.65
RU,p65p66,2023,1030604.7,1026889.4,.0074,.0073,.65,.66
RU,p66p67,2023,1047979.2,1045449.5,.0075,.0075,.66,.67
RU,p67p68,2023,1065554,1064243.3,.0076,.0076,.67,.68
RU,p68p69,2023,1083204,1083095.6,.0077,.0077,.68,.6899999999999999
RU,p69p70,2023,1100837.3,1101931.1,.0079,.0079,.6899999999999999,.7
RU,p6p7,2023,108496.6,45786.5,.0008,.0003,.06,.07
RU,p70p71,2023,1118712.8,1120975.4,.008,.008,.7,.71
RU,p71p72,2023,1137448.2,1140612.5,.0081,.0081,.71,.72
RU,p72p73,2023,1157177.1,1161251.5,.0083,.0083,.72,.73
RU,p73p74,2023,1178450.6,1183460.1,.0084,.0084,.73,.74
RU,p74p75,2023,1201744.6,1207781.1,.0086,.0086,.74,.75
RU,p75p76,2023,1227551.7,1234698.6,.0088,.0088,.75,.76
RU,p76p77,2023,1256022.1,1264747,.009,.009,.76,.77
RU,p77p78,2023,1287456.5,1297851.2,.0092,.0093,.77,.78
RU,p78p79,2023,1320736,1332800.5,.0094,.0095,.78,.79
RU,p79p80,2023,1354316.1,1367933.5,.0097,.0098,.79,.8
RU,p7p8,2023,129711.6,76327.5,.0009,.0005,.07,.08
RU,p80p81,2023,1387336.8,1402306.8,.0099,.01,.8,.8100000000000001
RU,p81p82,2023,1420332.4,1436103.9,.0101,.0103,.8100000000000001,.82
RU,p82p83,2023,1453653.7,1470084.8,.0104,.0105,.82,.83
RU,p83p84,2023,1488385.9,1505426.5,.0106,.0107,.83,.84
RU,p84p85,2023,1526032,1543698.8,.0109,.011,.84,.85
RU,p85p86,2023,1568595.7,1586972.2,.0112,.0113,.85,.86
RU,p86p87,2023,1619049.4,1637559.4,.0116,.0117,.86,.87
RU,p87p88,2023,1679154.5,1698032,.012,.0121,.87,.88
RU,p88p89,2023,1754480.1,1774276,.0125,.0127,.88,.89
RU,p89p90,2023,1868971.4,1891530.7,.0133,.0135,.89,.9
RU,p8p9,2023,153949.1,106843.5,.0011,.0008,.08,.09
RU,p90p91,2023,2076066.6,2106098.5,.0148,.015,.9,.91
RU,p91p92,2023,2382654,2422183,.017,.0173,.91,.92
RU,p92p93,2023,2747622.4,2797349.8,.0196,.02,.92,.93
RU,p93p94,2023,3163428.5,3223074.7,.0226,.023,.93,.9399999999999999
RU,p94p95,2023,3655641.5,3725619.7,.0261,.0266,.9399999999999999,.95
RU,p95p96,2023,4262216.2,4343845.600000001,.0304,.031,.95,.96
RU,p96p97,2023,5040774.100000001,5133553.7,.036,.0366,.96,.97
RU,p97p98,2023,6097661.7,6205198.5,.0435,.0443,.97,.98
RU,p98p99,2023,7741295,7873726.800000001,.0553,.0562,.98,.99
RU,p99.1p99.2,2023,10502459.7,10676142.5,.0075,.0076,.991,.992
RU,p99.2p99.3,2023,12129407.3,12341287.4,.0087,.0088,.992,.993
RU,p99.3p99.4,2023,14550250.1,14820490.5,.0104,.0106,.993,.9940000000000001
RU,p99.4p99.5,2023,17955639.8,18306344.8,.0128,.0131,.9940000000000001,.995
RU,p99.5p99.6,2023,22529736.6,22989836.1,.0161,.0164,.995,.996
RU,p99.6p99.7,2023,28309882,28906844.5,.0202,.0206,.996,.997
RU,p99.7p99.8,2023,34788596.7,35531815,.0248,.0254,.997,.998
RU,p99.8p99.9,2023,41042084,41910768.7,.0293,.0299,.998,.9990000000000001
RU,p99.9p100,2023,134801280.4,137679912.6,.0962,.0983,.9990000000000001,1
RU,p99p99.1,2023,9488273.5,9637326.4,.0068,.0069,.99,.991
RU,p9p10,2023,181242.3,137376.1,.0013,.001,.09,.1
