country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
RW,p0p1,2023,143854.8,0,.0007,0,0,.01
RW,p10p11,2023,464484,211802,.0022,.001,.1,.11
RW,p11p12,2023,484819.7,250311.5,.0023,.0012,.11,.12
RW,p12p13,2023,503638.3,288820.9,.0024,.0014,.12,.13
RW,p13p14,2023,521921.3,327330.4,.0024,.0015,.13,.14
RW,p14p15,2023,539082.4,365839.9,.0025,.0017,.14,.15
RW,p15p16,2023,556498.5,404349.3,.0026,.0019,.15,.16
RW,p16p17,2023,573685.1,442858.8,.0027,.0021,.16,.17
RW,p17p18,2023,591827.9,481368.3,.0028,.0023,.17,.18
RW,p18p19,2023,608058.2000000001,519877.7,.0028,.0024,.18,.19
RW,p19p20,2023,624008.1,558387.2000000001,.0029,.0026,.19,.2
RW,p1p2,2023,187981.4,0,.0009,0,.01,.02
RW,p20p21,2023,639422.5,577641.9,.003,.0027,.2,.21
RW,p21p22,2023,653663.9,592891.6,.0031,.0028,.21,.22
RW,p22p23,2023,667777.8,607983.1,.0031,.0028,.22,.23
RW,p23p24,2023,681063,622223.7000000001,.0032,.0029,.23,.24
RW,p24p25,2023,694450.1000000001,636522,.0032,.003,.24,.25
RW,p25p26,2023,709609.5,652534.5,.0033,.0031,.25,.26
RW,p26p27,2023,726120.4,669688.4,.0034,.0031,.26,.27
RW,p27p28,2023,741738.7000000001,685913,.0035,.0032,.27,.28
RW,p28p29,2023,757318.9,702067.3,.0035,.0033,.28,.29
RW,p29p30,2023,772325.3,717580.7000000001,.0036,.0034,.29,.3
RW,p2p3,2023,237488.5,0,.0011,0,.02,.03
RW,p30p31,2023,787114.9,732855.2000000001,.0037,.0034,.3,.31
RW,p31p32,2023,802440,748254.5,.0038,.0035,.31,.32
RW,p32p33,2023,817956.4,763857.1000000001,.0038,.0036,.32,.33
RW,p33p34,2023,833192.3,779200.1000000001,.0039,.0036,.33,.34
RW,p34p35,2023,849384.4,795492,.004,.0037,.34,.35
RW,p35p36,2023,866979,813216.1000000001,.0041,.0038,.35,.36
RW,p36p37,2023,884203.8,830801.5,.0041,.0039,.36,.37
RW,p37p38,2023,900446.9,847436,.0042,.004,.37,.38
RW,p38p39,2023,917531.5,864957.9,.0043,.004,.38,.39
RW,p39p40,2023,933800.1000000001,881698.1000000001,.0044,.0041,.39,.4
RW,p3p4,2023,275087.3,0,.0013,0,.03,.04
RW,p40p41,2023,950655.2000000001,899035.2000000001,.0044,.0042,.4,.41
RW,p41p42,2023,968275.3,917528.5,.0045,.0043,.41,.42
RW,p42p43,2023,986150.3,936295.6000000001,.0046,.0044,.42,.43
RW,p43p44,2023,1003515.4,954600.3,.0047,.0045,.43,.44
RW,p44p45,2023,1021454.2,973493.8,.0048,.0046,.44,.45
RW,p45p46,2023,1040132.5,993145.4,.0049,.0046,.45,.46
RW,p46p47,2023,1059142.3,1012983.4,.005,.0047,.46,.47
RW,p47p48,2023,1078445.3,1033107.6,.005,.0048,.47,.48
RW,p48p49,2023,1097136.4,1052653.8,.0051,.0049,.48,.49
RW,p49p50,2023,1118135.1,1074484.9,.0052,.005,.49,.5
RW,p4p5,2023,307076.3,0,.0014,0,.04,.05
RW,p50p51,2023,1137820.6,1095016.8,.0053,.0051,.5,.51
RW,p51p52,2023,1160948.6,1118981.7,.0054,.0052,.51,.52
RW,p52p53,2023,1181832.6,1140686.4,.0055,.0053,.52,.53
RW,p53p54,2023,1205037,1164761.8,.0056,.0054,.53,.54
RW,p54p55,2023,1228037.4,1188643.9,.0057,.0056,.54,.55
RW,p55p56,2023,1251458.6,1212971.6,.0059,.0057,.55,.5600000000000001
RW,p56p57,2023,1274510.1,1237128.1,.006,.0058,.5600000000000001,.57
RW,p57p58,2023,1298951.2,1262725,.0061,.0059,.57,.58
RW,p58p59,2023,1324195.6,1289190.1,.0062,.006,.58,.59
RW,p59p60,2023,1347298.1,1313563.4,.0063,.0061,.59,.6
RW,p5p6,2023,335380.6,19254.7,.0016,.0001,.05,.06
RW,p60p61,2023,1372899.4,1340554,.0064,.0063,.6,.61
RW,p61p62,2023,1398424.3,1367751.1,.0065,.0064,.61,.62
RW,p62p63,2023,1426907.1,1398089.6,.0067,.0065,.62,.63
RW,p63p64,2023,1453898.2,1427067.2,.0068,.0067,.63,.64
RW,p64p65,2023,1482470.3,1457841.7,.0069,.0068,.64,.65
RW,p65p66,2023,1512406.5,1490234.3,.0071,.007,.65,.66
RW,p66p67,2023,1543847.3,1524345.3,.0072,.0071,.66,.67
RW,p67p68,2023,1579291.4,1562816.5,.0074,.0073,.67,.68
RW,p68p69,2023,1612440.6,1599211.1,.0075,.0075,.68,.6899999999999999
RW,p69p70,2023,1644008.9,1634256.2,.0077,.0076,.6899999999999999,.7
RW,p6p7,2023,362830.7,57764.2,.0017,.0003,.06,.07
RW,p70p71,2023,1677961.3,1672013.1,.0078,.0078,.7,.71
RW,p71p72,2023,1715050.1,1712955.8,.008,.008,.71,.72
RW,p72p73,2023,1752496,1754510.6,.0082,.0082,.72,.73
RW,p73p74,2023,1792542.7,1799032.5,.0084,.0084,.73,.74
RW,p74p75,2023,1831658.8,1842814.4,.0086,.0086,.74,.75
RW,p75p76,2023,1879266.1,1895658.4,.0088,.0089,.75,.76
RW,p76p77,2023,1929040.9,1950892.1,.009,.0091,.76,.77
RW,p77p78,2023,1987268.8,2015145.7,.0093,.0094,.77,.78
RW,p78p79,2023,2051820.5,2086199.6,.0096,.0098,.78,.79
RW,p79p80,2023,2120031.3,2161266.8,.0099,.0101,.79,.8
RW,p7p8,2023,389248.1,96273.60000000001,.0018,.0005,.07,.08
RW,p80p81,2023,2194221.7,2242696.2,.0103,.0105,.8,.8100000000000001
RW,p81p82,2023,2269699.9,2325410.7,.0106,.0109,.8100000000000001,.82
RW,p82p83,2023,2351387.2,2414617.5,.011,.0113,.82,.83
RW,p83p84,2023,2445530.9,2516889.1,.0114,.0118,.83,.84
RW,p84p85,2023,2545756.2,2625405.1,.0119,.0123,.84,.85
RW,p85p86,2023,2676109.1,2765577.6,.0125,.0129,.85,.86
RW,p86p87,2023,2822781.5,2922577.9,.0132,.0137,.86,.87
RW,p87p88,2023,2987851.7,3098702.9,.014,.0145,.87,.88
RW,p88p89,2023,3200899.1,3325225.6,.015,.0155,.88,.89
RW,p89p90,2023,3437794.7,3576511.3,.0161,.0167,.89,.9
RW,p8p9,2023,414632.7,134783.1,.0019,.0006,.08,.09
RW,p90p91,2023,3739318.5,3895700.2,.0175,.0182,.9,.91
RW,p91p92,2023,4101887.8,4278539.5,.0192,.02,.91,.92
RW,p92p93,2023,4577610.7,4780251.8,.0214,.0223,.92,.93
RW,p93p94,2023,5228629,5466401.5,.0244,.0256,.93,.9399999999999999
RW,p94p95,2023,6073684.800000001,6356351,.0284,.0297,.9399999999999999,.95
RW,p95p96,2023,7147661.4,7486428.600000001,.0334,.035,.95,.96
RW,p96p97,2023,8678013.1,9103709.300000001,.0406,.0426,.96,.97
RW,p97p98,2023,11402462.6,11982371,.0533,.056,.97,.98
RW,p98p99,2023,16918278.4,17809864.1,.0791,.0833,.98,.99
RW,p99.1p99.2,2023,21948592.3,23130753.3,.0103,.0108,.991,.992
RW,p99.2p99.3,2023,23275994.5,24539253.5,.0109,.0115,.992,.993
RW,p99.3p99.4,2023,24886089.2,26256063,.0116,.0123,.993,.9940000000000001
RW,p99.4p99.5,2023,26929466.1,28414862.5,.0126,.0133,.9940000000000001,.995
RW,p99.5p99.6,2023,29590103.4,31248640.6,.0138,.0146,.995,.996
RW,p99.6p99.7,2023,33313969.3,35211716.5,.0156,.0165,.996,.997
RW,p99.7p99.8,2023,39150235.8,41359210.90000001,.0183,.0193,.997,.998
RW,p99.8p99.9,2023,50334224.5,53079574.90000001,.0235,.0248,.998,.9990000000000001
RW,p99.9p100,2023,113829197.6,119935237.7,.0532,.0561,.9990000000000001,1
RW,p99p99.1,2023,20844979.1,21947554.2,.0097,.0103,.99,.991
RW,p9p10,2023,439430.8,173292.6,.0021,.0008,.09,.1
