country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SA,p0p1,2023,9457.800000000001,0,.0006,0,0,.01
SA,p10p11,2023,23596.6,12035.5,.0015,.0008,.1,.11
SA,p11p12,2023,24741.8,14223.8,.0016,.0009,.11,.12
SA,p12p13,2023,26161.8,16412.1,.0016,.001,.12,.13
SA,p13p14,2023,27698.5,18600.3,.0017,.0012,.13,.14
SA,p14p15,2023,29373.5,20788.6,.0018,.0013,.14,.15
SA,p15p16,2023,30859,22976.9,.0019,.0014,.15,.16
SA,p16p17,2023,32307.4,25165.2,.002,.0016,.16,.17
SA,p17p18,2023,33384.3,27353.5,.0021,.0017,.17,.18
SA,p18p19,2023,34265.9,29541.7,.0022,.0019,.18,.19
SA,p19p20,2023,34823.3,31730,.0022,.002,.19,.2
SA,p1p2,2023,12466.6,0,.0008,0,.01,.02
SA,p20p21,2023,35333.3,32824.1,.0022,.0021,.2,.21
SA,p21p22,2023,35731.5,33252.1,.0022,.0021,.21,.22
SA,p22p23,2023,35996.9,33531.9,.0023,.0021,.22,.23
SA,p23p24,2023,36506.9,34080.5,.0023,.0021,.23,.24
SA,p24p25,2023,37073.8,34692.3,.0023,.0022,.24,.25
SA,p25p26,2023,37936.4,35628.1,.0024,.0022,.25,.26
SA,p26p27,2023,38896.7,36634.1,.0024,.0023,.26,.27
SA,p27p28,2023,40199.2,38014.2,.0025,.0024,.27,.28
SA,p28p29,2023,41643.9,39545.5,.0026,.0025,.28,.29
SA,p29p30,2023,42904.7,40871.4,.0027,.0026,.29,.3
SA,p2p3,2023,15273.5,0,.001,0,.02,.03
SA,p30p31,2023,43955,41961.7,.0028,.0026,.3,.31
SA,p31p32,2023,44705.8,42715.8,.0028,.0027,.31,.32
SA,p32p33,2023,45729.60000000001,43766.5,.0029,.0028,.32,.33
SA,p33p34,2023,46657.7,44711.4,.0029,.0028,.33,.34
SA,p34p35,2023,47527.9,45591.9,.003,.0029,.34,.35
SA,p35p36,2023,48535.60000000001,46618.60000000001,.0031,.0029,.35,.36
SA,p36p37,2023,49477.9,47609,.0031,.003,.36,.37
SA,p37p38,2023,50498.8,48682.4,.0032,.0031,.37,.38
SA,p38p39,2023,51530.2,49764,.0032,.0031,.38,.39
