country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SB,p0p1,2023,0,0,0,0,0,.01
SB,p10p11,2023,9285.4,2732.8,.003,.0009,.1,.11
SB,p11p12,2023,9542.700000000001,3229.6,.0031,.0011,.11,.12
SB,p12p13,2023,10014.8,3726.5,.0033,.0012,.12,.13
SB,p13p14,2023,10391.9,4223.5,.0034,.0014,.13,.14
SB,p14p15,2023,10502.9,4720.3,.0034,.0015,.14,.15
SB,p15p16,2023,10512.8,5217,.0034,.0017,.15,.16
SB,p16p17,2023,10642.9,5714,.0035,.0019,.16,.17
SB,p17p18,2023,10683,6210.900000000001,.0035,.002,.17,.18
SB,p18p19,2023,11263.1,6707.700000000001,.0037,.0022,.18,.19
SB,p19p20,2023,11281.3,7204.700000000001,.0037,.0023,.19,.2
SB,p1p2,2023,0,0,0,0,.01,.02
SB,p20p21,2023,11352.7,7453.1,.0037,.0024,.2,.21
SB,p21p22,2023,11500.7,7899.1,.0037,.0026,.21,.22
SB,p22p23,2023,11736.1,8351.200000000001,.0038,.0027,.22,.23
SB,p23p24,2023,11893.2,8809.300000000001,.0039,.0029,.23,.24
SB,p24p25,2023,12344.8,9273.1,.004,.003,.24,.25
SB,p25p26,2023,12500.5,9742.200000000001,.0041,.0032,.25,.26
SB,p26p27,2023,12550.3,10215.9,.0041,.0033,.26,.27
SB,p27p28,2023,12740.8,10694.2,.0041,.0035,.27,.28
SB,p28p29,2023,12755.3,11176.3,.0042,.0036,.28,.29
SB,p29p30,2023,12804.2,11661.9,.0042,.0038,.29,.3
SB,p2p3,2023,0,0,0,0,.02,.03
SB,p30p31,2023,13268.9,12150.6,.0043,.004,.3,.31
SB,p31p32,2023,13738.9,12641.5,.0045,.0041,.31,.32
SB,p32p33,2023,14211,13134.4,.0046,.0043,.32,.33
SB,p33p34,2023,14683.9,13628.7,.0048,.0044,.33,.34
SB,p34p35,2023,15160,14123,.0049,.0046,.34,.35
SB,p35p36,2023,15638.5,14618,.0051,.0048,.35,.36
SB,p36p37,2023,16112.1,15111.6,.0052,.0049,.36,.37
SB,p37p38,2023,16581.3,15604.2,.0054,.0051,.37,.38
SB,p38p39,2023,17050.4,16094.6,.0055,.0052,.38,.39
SB,p39p40,2023,17515.1,16581.6,.0057,.0054,.39,.4
SB,p3p4,2023,0,0,0,0,.03,.04
SB,p40p41,2023,17974.7,17065.2,.0058,.0056,.4,.41
SB,p41p42,2023,18420,17544.2,.006,.0057,.41,.42
SB,p42p43,2023,18860.3,18017.9,.0061,.0059,.42,.43
SB,p43p44,2023,19293,18485.4,.0063,.006,.43,.44
SB,p44p45,2023,19716.9,18945.7,.0064,.0062,.44,.45
SB,p45p46,2023,20130.3,19398.5,.0066,.0063,.45,.46
SB,p46p47,2023,20539.3,19842.5,.0067,.0065,.46,.47
SB,p47p48,2023,20935,20277.2,.0068,.0066,.47,.48
SB,p48p49,2023,21319.1,20702,.0069,.0067,.48,.49
SB,p49p50,2023,21695.5,21116,.0071,.0069,.49,.5
SB,p4p5,2023,0,0,0,0,.04,.05
SB,p50p51,2023,22056.8,21518.8,.0072,.007,.5,.51
SB,p51p52,2023,22404.2,21909.7,.0073,.0071,.51,.52
SB,p52p53,2023,22739.8,22288.7,.0074,.0073,.52,.53
SB,p53p54,2023,23059.3,22654.8,.0075,.0074,.53,.54
SB,p54p55,2023,23365.2,23008,.0076,.0075,.54,.55
SB,p55p56,2023,23657.9,23347.8,.0077,.0076,.55,.5600000000000001
SB,p56p57,2023,23931.9,23674,.0078,.0077,.5600000000000001,.57
SB,p57p58,2023,24193.7,23985.8,.0079,.0078,.57,.58
SB,p58p59,2023,24440.6,24283.4,.008,.0079,.58,.59
SB,p59p60,2023,24672,24566.4,.008,.008,.59,.6
SB,p5p6,2023,8188.900000000001,248.4,.0027,.0001,.05,.06
SB,p60p61,2023,24888.5,24834.6,.0081,.0081,.6,.61
SB,p61p62,2023,25085,25087.4,.0082,.0082,.61,.62
SB,p62p63,2023,25267.3,25325.5,.0082,.0082,.62,.63
SB,p63p64,2023,25436,25548.6,.0083,.0083,.63,.64
SB,p64p65,2023,25589.5,25756.5,.0083,.0084,.64,.65
SB,p65p66,2023,25728,25949.8,.0084,.0084,.65,.66
SB,p66p67,2023,25850.9,26129.1,.0084,.0085,.66,.67
SB,p67p68,2023,25963.2,26294.7,.0084,.0086,.67,.68
SB,p68p69,2023,26062.6,26447.7,.0085,.0086,.68,.6899999999999999
SB,p69p70,2023,26150.2,26589.1,.0085,.0087,.6899999999999999,.7
SB,p6p7,2023,8268.6,745.3000000000001,.0027,.0002,.06,.07
SB,p70p71,2023,26224.7,26720.6,.0085,.0087,.7,.71
SB,p71p72,2023,26296.5,26844.4,.0086,.0087,.71,.72
SB,p72p73,2023,26361,26962.9,.0086,.0088,.72,.73
SB,p73p74,2023,26427,27079.8,.0086,.0088,.73,.74
SB,p74p75,2023,26494.6,27199.2,.0086,.0089,.74,.75
SB,p75p76,2023,26568.2,27326.7,.0086,.0089,.75,.76
SB,p76p77,2023,26657.2,27469.6,.0087,.0089,.76,.77
SB,p77p78,2023,26768.2,27636.8,.0087,.009,.77,.78
SB,p78p79,2023,26911.8,27839.8,.0088,.0091,.78,.79
SB,p79p80,2023,27104.2,28093.5,.0088,.0091,.79,.8
SB,p7p8,2023,8502.800000000001,1242.1,.0028,.0004,.07,.08
SB,p80p81,2023,27361,28417.2,.0089,.0092,.8,.8100000000000001
SB,p81p82,2023,27707.9,28835.4,.009,.0094,.8100000000000001,.82
SB,p82p83,2023,28172.4,29380.1,.0092,.0096,.82,.83
SB,p83p84,2023,28794.9,30093.6,.0094,.0098,.83,.84
SB,p84p85,2023,29626.9,31030.2,.0096,.0101,.84,.85
SB,p85p86,2023,30738.5,32262.4,.01,.0105,.85,.86
SB,p86p87,2023,32213.8,33885.9,.0105,.011,.86,.87
SB,p87p88,2023,34175.5,36027.4,.0111,.0117,.87,.88
SB,p88p89,2023,36774.7,38855.5,.012,.0126,.88,.89
SB,p89p90,2023,40237.9,42592.4,.0131,.0139,.89,.9
SB,p8p9,2023,8503.9,1739.1,.0028,.0006,.08,.09
SB,p90p91,2023,44866.5,47529.3,.0146,.0155,.9,.91
SB,p91p92,2023,51010.9,54051,.0166,.0176,.91,.92
SB,p92p93,2023,59182,62690.8,.0193,.0204,.92,.93
SB,p93p94,2023,70089.60000000001,74207,.0228,.0241,.93,.9399999999999999
SB,p94p95,2023,84653.40000000001,89696.60000000001,.0275,.0292,.9399999999999999,.95
SB,p95p96,2023,104187.4,110779.5,.0339,.036,.95,.96
SB,p96p97,2023,130693.8,139891,.0425,.0455,.96,.97
SB,p97p98,2023,167558.5,180738.6,.0545,.0588,.97,.98
SB,p98p99,2023,220770,239151.6,.0718,.0778,.98,.99
SB,p99.1p99.2,2023,264557.2,290805.9,.0086,.0095,.991,.992
SB,p99.2p99.3,2023,273786.1,301551.4,.0089,.0098,.992,.993
SB,p99.3p99.4,2023,285073.2,314308.5,.0093,.0102,.993,.9940000000000001
SB,p99.4p99.5,2023,300019.4,330562.8,.0098,.0108,.9940000000000001,.995
SB,p99.5p99.6,2023,321230.2,353247.8,.0105,.0115,.995,.996
SB,p99.6p99.7,2023,354902.3,388789.9,.0115,.0127,.996,.997
SB,p99.7p99.8,2023,414969.1,453411.1,.0135,.0148,.997,.998
SB,p99.8p99.9,2023,539345,595363.6,.0176,.0194,.998,.9990000000000001
SB,p99.9p100,2023,1452270.8,1635042.3,.0473,.0532,.9990000000000001,1
SB,p99p99.1,2023,256746.6,281262.4,.0084,.0092,.99,.991
SB,p9p10,2023,9112.1,2236,.003,.0007,.09,.1
