country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SC,p0p1,2023,49276.60000000001,0,.0018,0,0,.01
SC,p10p11,2023,82487.90000000001,33727.7,.0029,.0012,.1,.11
SC,p11p12,2023,85016.10000000001,39860,.003,.0014,.11,.12
SC,p12p13,2023,87351.60000000001,45992.4,.0031,.0016,.12,.13
SC,p13p14,2023,90700.70000000001,52124.7,.0032,.0019,.13,.14
SC,p14p15,2023,93158.5,58257,.0033,.0021,.14,.15
SC,p15p16,2023,95879.40000000001,64389.3,.0034,.0023,.15,.16
SC,p16p17,2023,98923.5,70521.60000000001,.0035,.0025,.16,.17
SC,p17p18,2023,102497.2,76653.90000000001,.0036,.0027,.17,.18
SC,p18p19,2023,105045.4,82786.3,.0037,.0029,.18,.19
SC,p19p20,2023,107886.9,88918.60000000001,.0038,.0032,.19,.2
SC,p1p2,2023,50548.3,0,.0018,0,.01,.02
SC,p20p21,2023,110054.9,91984.70000000001,.0039,.0033,.2,.21
SC,p21p22,2023,111936.3,94741.10000000001,.004,.0034,.21,.22
SC,p22p23,2023,113581.6,97166.90000000001,.004,.0035,.22,.23
SC,p23p24,2023,115979,100458.2,.0041,.0036,.23,.24
SC,p24p25,2023,119489,105034.3,.0043,.0037,.24,.25
SC,p25p26,2023,122710.8,109220.1,.0044,.0039,.25,.26
SC,p26p27,2023,125625.9,112752.9,.0045,.004,.26,.27
SC,p27p28,2023,128594.7,116318,.0046,.0041,.27,.28
SC,p28p29,2023,130938.6,119115.3,.0047,.0042,.28,.29
SC,p29p30,2023,133481.9,122122.3,.0047,.0043,.29,.3
SC,p2p3,2023,52250.5,0,.0019,0,.02,.03
SC,p30p31,2023,136769,125968.8,.0049,.0045,.3,.31
SC,p31p32,2023,140103,129617.9,.005,.0046,.31,.32
SC,p32p33,2023,142349.7,131996.2,.0051,.0047,.32,.33
SC,p33p34,2023,144490.9,134245.6,.0051,.0048,.33,.34
SC,p34p35,2023,147375.9,137341.5,.0052,.0049,.34,.35
SC,p35p36,2023,150090,140229.8,.0053,.005,.35,.36
SC,p36p37,2023,152787.4,143143.1,.0054,.0051,.36,.37
SC,p37p38,2023,155134.6,145647.4,.0055,.0052,.37,.38
SC,p38p39,2023,157269.1,147892,.0056,.0053,.38,.39
SC,p39p40,2023,160661.8,151555.8,.0057,.0054,.39,.4
SC,p3p4,2023,54493.8,0,.0019,0,.03,.04
SC,p40p41,2023,164682.7,155914.1,.0059,.0055,.4,.41
SC,p41p42,2023,168435.6,160120.6,.006,.0057,.41,.42
SC,p42p43,2023,171607.1,163658.1,.0061,.0058,.42,.43
SC,p43p44,2023,175569.4,168075.9,.0062,.006,.43,.44
SC,p44p45,2023,178719.1,171564.9,.0064,.0061,.44,.45
SC,p45p46,2023,182299.4,175524.8,.0065,.0062,.45,.46
SC,p46p47,2023,186583.4,180226.7,.0066,.0064,.46,.47
SC,p47p48,2023,190227.4,184194.7,.0068,.0066,.47,.48
SC,p48p49,2023,193866.4,188140.1,.0069,.0067,.48,.49
SC,p49p50,2023,197083.1,191601.9,.007,.0068,.49,.5
SC,p4p5,2023,57429.10000000001,0,.002,0,.04,.05
SC,p50p51,2023,200412.1,195172.6,.0071,.0069,.5,.51
SC,p51p52,2023,205456.7,200730.2,.0073,.0071,.51,.52
SC,p52p53,2023,209010.2,204608.5,.0074,.0073,.52,.53
SC,p53p54,2023,213649.4,209694.9,.0076,.0075,.53,.54
SC,p54p55,2023,218167.9,214639.3,.0078,.0076,.54,.55
SC,p55p56,2023,220955.8,217653.4,.0079,.0077,.55,.5600000000000001
SC,p56p57,2023,224562.9,221614.9,.008,.0079,.5600000000000001,.57
SC,p57p58,2023,228362.7,225788.3,.0081,.008,.57,.58
SC,p58p59,2023,232519.3,230366.9,.0083,.0082,.58,.59
SC,p59p60,2023,237116.6,235436.5,.0084,.0084,.59,.6
SC,p5p6,2023,60717.9,3066.2,.0022,.0001,.05,.06
SC,p60p61,2023,241561.4,240339.2,.0086,.0086,.6,.61
SC,p61p62,2023,246113.5,245438,.0088,.0087,.61,.62
SC,p62p63,2023,250302,250136.9,.0089,.0089,.62,.63
SC,p63p64,2023,255006.5,255408.9,.0091,.0091,.63,.64
SC,p64p65,2023,259818.2,260794.9,.0092,.0093,.64,.65
SC,p65p66,2023,264304.9,265819.6,.0094,.0095,.65,.66
SC,p66p67,2023,269059.6,271101.3,.0096,.0096,.66,.67
SC,p67p68,2023,273884.8,276452.9,.0097,.0098,.67,.68
SC,p68p69,2023,278426.8,281487,.0099,.01,.68,.6899999999999999
SC,p69p70,2023,284091.3,287761,.0101,.0102,.6899999999999999,.7
SC,p6p7,2023,64526.10000000001,9198.5,.0023,.0003,.06,.07
SC,p70p71,2023,290196.4,294515.4,.0103,.0105,.7,.71
SC,p71p72,2023,296184.2,300968.3,.0105,.0107,.71,.72
SC,p72p73,2023,301396.4,306566.6,.0107,.0109,.72,.73
SC,p73p74,2023,306791.2,312373.4,.0109,.0111,.73,.74
SC,p74p75,2023,312130.6,318130.6,.0111,.0113,.74,.75
SC,p75p76,2023,318343,324859.4,.0113,.0116,.75,.76
