country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SD,p0p1,2023,117355.3,0,.0004,0,0,.01
SD,p10p11,2023,603400.5,323284.2,.0021,.0012,.1,.11
SD,p11p12,2023,637167.3,382063.2,.0023,.0014,.11,.12
SD,p12p13,2023,667217.7000000001,440842.1,.0024,.0016,.12,.13
SD,p13p14,2023,693903,499621,.0025,.0018,.13,.14
SD,p14p15,2023,723735.7000000001,558400,.0026,.002,.14,.15
SD,p15p16,2023,753501.4,617179,.0027,.0022,.15,.16
SD,p16p17,2023,780705.8,675957.9,.0028,.0024,.16,.17
SD,p17p18,2023,806554.1000000001,734736.9,.0029,.0026,.17,.18
SD,p18p19,2023,832921.4,793515.9,.003,.0028,.18,.19
SD,p19p20,2023,856727.2000000001,852294.8,.0031,.003,.19,.2
SD,p1p2,2023,190932.6,0,.0007,0,.01,.02
SD,p20p21,2023,879897,881684.2000000001,.0031,.0031,.2,.21
SD,p21p22,2023,905276.5,907702.5,.0032,.0032,.21,.22
SD,p22p23,2023,931141.6000000001,934209.7000000001,.0033,.0033,.22,.23
SD,p23p24,2023,956403.9,960091,.0034,.0034,.23,.24
SD,p24p25,2023,981683,985972.8,.0035,.0035,.24,.25
SD,p25p26,2023,1005589.4,1010443.2,.0036,.0036,.25,.26
SD,p26p27,2023,1028122.9,1033456.9,.0037,.0037,.26,.27
SD,p27p28,2023,1051091.7,1056883.8,.0037,.0038,.27,.28
SD,p28p29,2023,1073424.4,1079667.5,.0038,.0038,.28,.29
SD,p29p30,2023,1097431.2,1104138.1,.0039,.0039,.29,.3
SD,p2p3,2023,268611.4,0,.001,0,.02,.03
SD,p30p31,2023,1123011.6,1130210.9,.004,.004,.3,.31
SD,p31p32,2023,1148022.9,1155522.4,.0041,.0041,.31,.32
SD,p32p33,2023,1169803.1,1177504.7,.0042,.0042,.32,.33
SD,p33p34,2023,1193675.9,1201652.7,.0042,.0043,.33,.34
SD,p34p35,2023,1218486.3,1226729.5,.0043,.0044,.34,.35
SD,p35p36,2023,1242794.4,1251298.2,.0044,.0045,.35,.36
SD,p36p37,2023,1270886,1279804.1,.0045,.0046,.36,.37
SD,p37p38,2023,1300635,1309983.1,.0046,.0047,.37,.38
SD,p38p39,2023,1327521.2,1337269.2,.0047,.0048,.38,.39
SD,p39p40,2023,1353202.1,1363259.6,.0048,.0049,.39,.4
SD,p3p4,2023,325464.3,0,.0012,0,.03,.04
SD,p40p41,2023,1379921,1390346.2,.0049,.005,.4,.41
SD,p41p42,2023,1410021.5,1421025.2,.005,.0051,.41,.42
SD,p42p43,2023,1438514.9,1450055.9,.0051,.0052,.42,.43
SD,p43p44,2023,1467744.9,1479845.3,.0052,.0053,.43,.44
SD,p44p45,2023,1495468.2,1508113.8,.0053,.0054,.44,.45
SD,p45p46,2023,1526841.1,1540080.8,.0054,.0055,.45,.46
SD,p46p47,2023,1560323.4,1574210.4,.0056,.0056,.46,.47
SD,p47p48,2023,1593889.3,1608416.1,.0057,.0057,.47,.48
SD,p48p49,2023,1626149.5,1641280.7,.0058,.0058,.48,.49
SD,p49p50,2023,1659330.4,1675101.9,.0059,.006,.49,.5
SD,p4p5,2023,374699.9,0,.0013,0,.04,.05
SD,p50p51,2023,1691389.7,1707770,.006,.0061,.5,.51
SD,p51p52,2023,1723080.6,1740837,.0061,.0062,.51,.52
SD,p52p53,2023,1759408.9,1778658,.0063,.0063,.52,.53
SD,p53p54,2023,1792054.1,1812713.9,.0064,.0065,.53,.54
SD,p54p55,2023,1828214.9,1850390.1,.0065,.0066,.54,.55
SD,p55p56,2023,1864459.5,1888141,.0066,.0067,.55,.5600000000000001
SD,p56p57,2023,1900218.5,1925462,.0068,.0069,.5600000000000001,.57
SD,p57p58,2023,1940229.8,1967125,.0069,.007,.57,.58
SD,p58p59,2023,1977863.9,2006369.9,.007,.0071,.58,.59
SD,p59p60,2023,2015648.6,2045763.8,.0072,.0073,.59,.6
SD,p5p6,2023,415297.2,29389.5,.0015,.0001,.05,.06
SD,p60p61,2023,2056028.2,2087816.6,.0073,.0074,.6,.61
SD,p61p62,2023,2092791.7,2126213.9,.0075,.0076,.61,.62
SD,p62p63,2023,2132501.7,2167611.7,.0076,.0077,.62,.63
SD,p63p64,2023,2177083.3,2214041.8,.0078,.0079,.63,.64
SD,p64p65,2023,2218584.5,2257290.4,.0079,.008,.64,.65
SD,p65p66,2023,2261910.6,2302420.6,.0081,.0082,.65,.66
SD,p66p67,2023,2305069.2,2347391.4,.0082,.0084,.66,.67
SD,p67p68,2023,2351341.7,2395534.2,.0084,.0085,.67,.68
SD,p68p69,2023,2403791.6,2450067.4,.0086,.0087,.68,.6899999999999999
SD,p69p70,2023,2457865.5,2506255.6,.0088,.0089,.6899999999999999,.7
SD,p6p7,2023,455676.8,88168.40000000001,.0016,.0003,.06,.07
SD,p70p71,2023,2501693.8,2551902.9,.0089,.0091,.7,.71
SD,p71p72,2023,2558931.7,2610591.3,.0091,.0093,.71,.72
SD,p72p73,2023,2614428.5,2667468.7,.0093,.0095,.72,.73
SD,p73p74,2023,2676169.8,2730776.1,.0095,.0097,.73,.74
SD,p74p75,2023,2741276,2797525.9,.0098,.01,.74,.75
SD,p75p76,2023,2809914.7,2867902.4,.01,.0102,.75,.76
SD,p76p77,2023,2890506.5,2950519.4,.0103,.0105,.76,.77
SD,p77p78,2023,2975802.5,3037995.2,.0106,.0108,.77,.78
SD,p78p79,2023,3059223.6,3123547,.0109,.0111,.78,.79
SD,p79p80,2023,3142242.8,3208657.9,.0112,.0114,.79,.8
SD,p7p8,2023,494666.9,146947.4,.0018,.0005,.07,.08
SD,p80p81,2023,3245384.9,3314482.5,.0116,.0118,.8,.8100000000000001
SD,p81p82,2023,3340323.8,3411506.2,.0119,.0121,.8100000000000001,.82
SD,p82p83,2023,3444370,3517889.1,.0123,.0125,.82,.83
SD,p83p84,2023,3578232,3654885.4,.0127,.013,.83,.84
SD,p84p85,2023,3729471.4,3809675.7,.0133,.0136,.84,.85
SD,p85p86,2023,3908685.1,3993175.7,.0139,.0142,.85,.86
SD,p86p87,2023,4099726.5,4188710.5,.0146,.0149,.86,.87
SD,p87p88,2023,4316030.3,4410141.8,.0154,.0157,.87,.88
SD,p88p89,2023,4569566.3,4669731.3,.0163,.0166,.88,.89
SD,p89p90,2023,4873752.600000001,4981248.7,.0174,.0177,.89,.9
SD,p8p9,2023,532133.5,205726.3,.0019,.0007,.08,.09
SD,p90p91,2023,5236415.7,5352686.7,.0186,.0191,.9,.91
SD,p91p92,2023,5665440.600000001,5788765.4,.0202,.0206,.91,.92
SD,p92p93,2023,6192066.2,6324177.100000001,.022,.0225,.92,.93
SD,p93p94,2023,6863159.5,7006708.7,.0244,.0249,.93,.9399999999999999
SD,p94p95,2023,7783804.300000001,7943544.9,.0277,.0283,.9399999999999999,.95
SD,p95p96,2023,8887128.4,9065667.700000001,.0316,.0323,.95,.96
SD,p96p97,2023,10419192.7,10610969.2,.0371,.0378,.96,.97
SD,p97p98,2023,12933408.9,13150142.2,.046,.0468,.97,.98
SD,p98p99,2023,17846971.9,18117519.8,.0635,.0645,.98,.99
SD,p99.1p99.2,2023,22954807.3,23268058.5,.0082,.0083,.991,.992
SD,p99.2p99.3,2023,24443386.6,24783954.6,.0087,.0088,.992,.993
SD,p99.3p99.4,2023,26265972.3,26639651.2,.0094,.0095,.993,.9940000000000001
SD,p99.4p99.5,2023,28570263,28984785.2,.0102,.0103,.9940000000000001,.995
SD,p99.5p99.6,2023,31613967.5,32081530.5,.0113,.0114,.995,.996
SD,p99.6p99.7,2023,35903567.8,36444402.2,.0128,.013,.996,.997
SD,p99.7p99.8,2023,42625821.3,43278282.8,.0152,.0154,.997,.998
SD,p99.8p99.9,2023,55636356.6,56500232.90000001,.0198,.0201,.998,.9990000000000001
SD,p99.9p100,2023,135301401,137465062.8,.0482,.0489,.9990000000000001,1
SD,p99p99.1,2023,21709476.6,21999468,.0077,.0078,.99,.991
SD,p9p10,2023,567189.4,264505.3,.002,.0009,.09,.1
