country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SE,p0p1,2023,232262.8,0,.0033,0,0,.01
SE,p10p11,2023,378362.6,130865.7,.0053,.0018,.1,.11
SE,p11p12,2023,391484.2,154659.4,.0055,.0022,.11,.12
SE,p12p13,2023,403147.8,178453.2,.0057,.0025,.12,.13
SE,p13p14,2023,412922.5,202246.9,.0058,.0029,.13,.14
SE,p14p15,2023,426039.9,226040.7,.006,.0032,.14,.15
SE,p15p16,2023,435446.8,249834.5,.0061,.0035,.15,.16
SE,p16p17,2023,441709.7,273628.2,.0062,.0039,.16,.17
SE,p17p18,2023,448319.1,297422,.0063,.0042,.17,.18
SE,p18p19,2023,471866.1,321215.8,.0067,.0045,.18,.19
SE,p19p20,2023,476261.1,345009.5,.0067,.0049,.19,.2
SE,p1p2,2023,234122.2,0,.0033,0,.01,.02
SE,p20p21,2023,481378.8,356906.4,.0068,.005,.2,.21
SE,p21p22,2023,486614.7,367223,.0069,.0052,.21,.22
SE,p22p23,2023,491601.4,377211.3,.0069,.0053,.22,.23
SE,p23p24,2023,496000.6,386466.2,.007,.0055,.23,.24
SE,p24p25,2023,499884.2,395059.7,.0071,.0056,.24,.25
SE,p25p26,2023,501908.5,401381.1,.0071,.0057,.25,.26
SE,p26p27,2023,507714.9,408817.7,.0072,.0058,.26,.27
SE,p27p28,2023,514721.6,417680.2,.0073,.0059,.27,.28
SE,p28p29,2023,521909.9,426703,.0074,.006,.28,.29
SE,p29p30,2023,532035.3,439219.7,.0075,.0062,.29,.3
SE,p2p3,2023,234709.7,0,.0033,0,.02,.03
SE,p30p31,2023,538809.5,447604.3,.0076,.0063,.3,.31
SE,p31p32,2023,544776.6,455485.8,.0077,.0064,.31,.32
SE,p32p33,2023,550430.9,462912.7,.0078,.0065,.32,.33
SE,p33p34,2023,557213.6,471621.7,.0079,.0067,.33,.34
SE,p34p35,2023,564389.2000000001,480714.4,.008,.0068,.34,.35
SE,p35p36,2023,572794.7000000001,491219.4,.0081,.0069,.35,.36
SE,p36p37,2023,579040.6,500611.3,.0082,.0071,.36,.37
SE,p37p38,2023,584225.9,508676.4,.0082,.0072,.37,.38
SE,p38p39,2023,592098.8,519926.4,.0084,.0073,.38,.39
SE,p39p40,2023,603339.9,535210.5,.0085,.0075,.39,.4
SE,p3p4,2023,243939.1,0,.0034,0,.03,.04
SE,p40p41,2023,610042.3,545017.1,.0086,.0077,.4,.41
SE,p41p42,2023,614090.7000000001,552003,.0087,.0078,.41,.42
SE,p42p43,2023,618819.6,559833.9,.0087,.0079,.42,.43
SE,p43p44,2023,621625.6,565359,.0088,.008,.43,.44
SE,p44p45,2023,626257.2000000001,573086.9,.0088,.0081,.44,.45
SE,p45p46,2023,631408.7000000001,581442.4,.0089,.0082,.45,.46
SE,p46p47,2023,636809.5,589466.6,.009,.0083,.46,.47
SE,p47p48,2023,642341.2000000001,597628.8,.0091,.0084,.47,.48
SE,p48p49,2023,648244.9,606212.6,.0091,.0086,.48,.49
SE,p49p50,2023,655479.7000000001,616353.3,.0092,.0087,.49,.5
SE,p4p5,2023,260902.1,0,.0037,0,.04,.05
SE,p50p51,2023,662596.3,626322.2000000001,.0093,.0088,.5,.51
SE,p51p52,2023,668821.1000000001,635389.7000000001,.0094,.009,.51,.52
SE,p52p53,2023,674872.7000000001,644236.7000000001,.0095,.0091,.52,.53
SE,p53p54,2023,679897.3,651842.3,.0096,.0092,.53,.54
SE,p54p55,2023,686958.9,661900.4,.0097,.0093,.54,.55
SE,p55p56,2023,694747.3,672831.9,.0098,.0095,.55,.5600000000000001
SE,p56p57,2023,701944.1000000001,681872.2000000001,.0099,.0096,.5600000000000001,.57
SE,p57p58,2023,709491.7000000001,691354.4,.01,.0098,.57,.58
SE,p58p59,2023,717483,701391.3,.0101,.0099,.58,.59
SE,p59p60,2023,725039,710917.2000000001,.0102,.01,.59,.6
SE,p5p6,2023,275883.2,11896.9,.0039,.0002,.05,.06
SE,p60p61,2023,730752.5,718254.7000000001,.0103,.0101,.6,.61
