country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SG,p0p1,2023,11943.3,0,.0009,0,0,.01
SG,p10p11,2023,40086.2,17934.3,.0029,.0013,.1,.11
SG,p11p12,2023,41327.8,21195.1,.0029,.0015,.11,.12
SG,p12p13,2023,42300.4,24455.9,.003,.0017,.12,.13
SG,p13p14,2023,42994.7,27716.6,.0031,.002,.13,.14
SG,p14p15,2023,43449.2,30977.4,.0031,.0022,.14,.15
SG,p15p16,2023,44384.2,34238.2,.0032,.0024,.15,.16
SG,p16p17,2023,45704.4,37499,.0033,.0027,.16,.17
SG,p17p18,2023,47159.10000000001,40759.8,.0034,.0029,.17,.18
SG,p18p19,2023,48832.7,44020.60000000001,.0035,.0031,.18,.19
SG,p19p20,2023,50504.60000000001,47281.3,.0036,.0034,.19,.2
SG,p1p2,2023,19092.2,0,.0014,0,.01,.02
SG,p20p21,2023,51926.7,48911.7,.0037,.0035,.2,.21
SG,p21p22,2023,53134.9,50194.7,.0038,.0036,.21,.22
SG,p22p23,2023,54290.4,51420.3,.0039,.0037,.22,.23
SG,p23p24,2023,55288.9,52476,.0039,.0037,.23,.24
SG,p24p25,2023,56206.4,53443.60000000001,.004,.0038,.24,.25
SG,p25p26,2023,57135.5,54421.2,.0041,.0039,.25,.26
SG,p26p27,2023,58111.4,55416.9,.0041,.004,.26,.27
SG,p27p28,2023,59124.9,56449.2,.0042,.004,.27,.28
SG,p28p29,2023,60201.9,57544.2,.0043,.0041,.28,.29
SG,p29p30,2023,61346.60000000001,58706.4,.0044,.0042,.29,.3
SG,p2p3,2023,22050.9,0,.0016,0,.02,.03
SG,p30p31,2023,62513.10000000001,59889.7,.0045,.0043,.3,.31
SG,p31p32,2023,63711.2,61097,.0045,.0044,.31,.32
SG,p32p33,2023,64921.9,62316.10000000001,.0046,.0044,.32,.33
SG,p33p34,2023,66120.90000000001,63522.60000000001,.0047,.0045,.33,.34
SG,p34p35,2023,67299.90000000001,64707.7,.0048,.0046,.34,.35
SG,p35p36,2023,68471.3,65882.60000000001,.0049,.0047,.35,.36
SG,p36p37,2023,69601,67029.2,.005,.0048,.36,.37
SG,p37p38,2023,70726.5,68170.2,.005,.0049,.37,.38
SG,p38p39,2023,71863.7,69322.5,.0051,.0049,.38,.39
SG,p39p40,2023,73005.8,70479.60000000001,.0052,.005,.39,.4
SG,p3p4,2023,24378.7,0,.0017,0,.03,.04
SG,p40p41,2023,74168.90000000001,71656.8,.0053,.0051,.4,.41
SG,p41p42,2023,75362.90000000001,72886.2,.0054,.0052,.41,.42
SG,p42p43,2023,76590.3,74149.3,.0055,.0053,.42,.43
SG,p43p44,2023,77842.8,75438.10000000001,.0056,.0054,.43,.44
SG,p44p45,2023,79123.70000000001,76756.3,.0056,.0055,.44,.45
SG,p45p46,2023,80433.90000000001,78102.3,.0057,.0056,.45,.46
SG,p46p47,2023,81783.3,79479.8,.0058,.0057,.46,.47
SG,p47p48,2023,83174.40000000001,80898.3,.0059,.0058,.47,.48
SG,p48p49,2023,84592.40000000001,82343.90000000001,.006,.0059,.48,.49
SG,p49p50,2023,86013.60000000001,83792.3,.0061,.006,.49,.5
SG,p4p5,2023,27788.6,0,.002,0,.04,.05
SG,p50p51,2023,87455.8,85262.70000000001,.0062,.0061,.5,.51
SG,p51p52,2023,88887.10000000001,86732.8,.0063,.0062,.51,.52
SG,p52p53,2023,90290.8,88175,.0064,.0063,.52,.53
SG,p53p54,2023,91699.5,89624.20000000001,.0065,.0064,.53,.54
SG,p54p55,2023,93144.20000000001,91112,.0066,.0065,.54,.55
SG,p55p56,2023,94597.20000000001,92611.3,.0067,.0066,.55,.5600000000000001
SG,p56p57,2023,96127.90000000001,94201.20000000001,.0069,.0067,.5600000000000001,.57
SG,p57p58,2023,97767.3,95905.5,.007,.0068,.57,.58
SG,p58p59,2023,99471.8,97678,.0071,.007,.58,.59
SG,p59p60,2023,101240.6,99517.8,.0072,.0071,.59,.6
SG,p5p6,2023,32304.7,1630.4,.0023,.0001,.05,.06
SG,p60p61,2023,103045.4,101394.7,.0074,.0072,.6,.61
SG,p61p62,2023,104821.8,103258.9,.0075,.0074,.61,.62
SG,p62p63,2023,106577.3,105100.3,.0076,.0075,.62,.63
SG,p63p64,2023,108339.4,106948.3,.0077,.0076,.63,.64
SG,p64p65,2023,110102.4,108796.6,.0079,.0078,.64,.65
SG,p65p66,2023,111897.2,110676.6,.008,.0079,.65,.66
SG,p66p67,2023,113807.2,112670.8,.0081,.008,.66,.67
SG,p67p68,2023,115829.3,114782.1,.0083,.0082,.67,.68
SG,p68p69,2023,117963.2,117010.5,.0084,.0083,.68,.6899999999999999
