country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SI,p0p1,2023,8414.300000000001,0,.0027,0,0,.01
SI,p10p11,2023,14439.4,5496.5,.0047,.0018,.1,.11
SI,p11p12,2023,14588.5,6495.900000000001,.0048,.0021,.11,.12
SI,p12p13,2023,14967.2,7495.200000000001,.0049,.0024,.12,.13
SI,p13p14,2023,15471,8494.6,.005,.0028,.13,.14
SI,p14p15,2023,16169.4,9493.9,.0053,.0031,.14,.15
SI,p15p16,2023,16419,10493.3,.0053,.0034,.15,.16
SI,p16p17,2023,16692.6,11492.7,.0054,.0037,.16,.17
SI,p17p18,2023,16969.4,12492,.0055,.0041,.17,.18
SI,p18p19,2023,17354,13491.4,.0057,.0044,.18,.19
SI,p19p20,2023,17613.5,14490.7,.0057,.0047,.19,.2
SI,p1p2,2023,8453.1,0,.0028,0,.01,.02
SI,p20p21,2023,17817.7,14990.4,.0058,.0049,.2,.21
SI,p21p22,2023,18039.4,15263,.0059,.005,.21,.22
SI,p22p23,2023,18245.6,15512.4,.0059,.0051,.22,.23
SI,p23p24,2023,18400.9,15695.4,.006,.0051,.23,.24
SI,p24p25,2023,18674.4,16022.2,.0061,.0052,.24,.25
SI,p25p26,2023,19016.5,16430.5,.0062,.0054,.25,.26
SI,p26p27,2023,19393.7,16911.2,.0063,.0055,.26,.27
SI,p27p28,2023,19646.7,17234.1,.0064,.0056,.27,.28
SI,p28p29,2023,19813.3,17448.3,.0065,.0057,.28,.29
SI,p29p30,2023,19951.4,17625.3,.0065,.0057,.29,.3
SI,p2p3,2023,8582.9,0,.0028,0,.02,.03
SI,p30p31,2023,20169.5,17898.8,.0066,.0058,.3,.31
SI,p31p32,2023,20448.8,18268.9,.0067,.006,.31,.32
SI,p32p33,2023,20761.1,18678.2,.0068,.0061,.32,.33
SI,p33p34,2023,21122,19145.8,.0069,.0062,.33,.34
SI,p34p35,2023,21281.2,19367.1,.0069,.0063,.34,.35
SI,p35p36,2023,21449.1,19598.4,.007,.0064,.35,.36
SI,p36p37,2023,21766.5,19954.4,.0071,.0065,.36,.37
SI,p37p38,2023,22081,20306.4,.0072,.0066,.37,.38
SI,p38p39,2023,22475.8,20754.9,.0073,.0068,.38,.39
SI,p39p40,2023,22778.9,21091.8,.0074,.0069,.39,.4
SI,p3p4,2023,8625.9,0,.0028,0,.03,.04
SI,p40p41,2023,23119.3,21472.9,.0075,.007,.4,.41
SI,p41p42,2023,23528.7,21951.6,.0077,.0072,.41,.42
SI,p42p43,2023,23798.4,22261.4,.0078,.0073,.42,.43
SI,p43p44,2023,24120.4,22633.5,.0079,.0074,.43,.44
SI,p44p45,2023,24456.2,23021.7,.008,.0075,.44,.45
SI,p45p46,2023,24808.4,23429,.0081,.0076,.45,.46
SI,p46p47,2023,25098.3,23848.3,.0082,.0078,.46,.47
SI,p47p48,2023,25369.1,24244.5,.0083,.0079,.47,.48
SI,p48p49,2023,25571.2,24558.3,.0083,.008,.48,.49
SI,p49p50,2023,25866.7,24984.7,.0084,.0081,.49,.5
SI,p4p5,2023,8696.200000000001,0,.0028,0,.04,.05
SI,p50p51,2023,26146.2,25392,.0085,.0083,.5,.51
SI,p51p52,2023,26367.5,25739,.0086,.0084,.51,.52
SI,p52p53,2023,26729.4,26254.9,.0087,.0086,.52,.53
SI,p53p54,2023,26967.6,26622.9,.0088,.0087,.53,.54
SI,p54p55,2023,27205.2,26991,.0089,.0088,.54,.55
SI,p55p56,2023,27486.5,27411.4,.009,.0089,.55,.5600000000000001
SI,p56p57,2023,27772.1,27842.8,.009,.0091,.5600000000000001,.57
SI,p57p58,2023,28043.2,28256.1,.0091,.0092,.57,.58
SI,p58p59,2023,28374.5,28740.9,.0092,.0094,.58,.59
SI,p59p60,2023,28815.7,29356.3,.0094,.0096,.59,.6
SI,p5p6,2023,9644.5,499.7,.0031,.0002,.05,.06
SI,p60p61,2023,29210,29914.5,.0095,.0097,.6,.61
SI,p61p62,2023,29504.1,30357,.0096,.0099,.61,.62
SI,p62p63,2023,29779.6,30776.3,.0097,.01,.62,.63
SI,p63p64,2023,30158.9,31320.4,.0098,.0102,.63,.64
SI,p64p65,2023,30579.8,31914.8,.01,.0104,.64,.65
SI,p65p66,2023,30938.2,32434.7,.0101,.0106,.65,.66
SI,p66p67,2023,31362.4,32975.7,.0102,.0107,.66,.67
SI,p67p68,2023,31757.9,33483.6,.0103,.0109,.67,.68
SI,p68p69,2023,32089.4,33917,.0105,.0111,.68,.6899999999999999
SI,p69p70,2023,32265,34165.4,.0105,.0111,.6899999999999999,.7
SI,p6p7,2023,11524.9,1499,.0038,.0005,.06,.07
SI,p70p71,2023,32657.2,34675.3,.0106,.0113,.7,.71
SI,p71p72,2023,33159.2,35313.9,.0108,.0115,.71,.72
SI,p72p73,2023,33750.7,36061.1,.011,.0117,.72,.73
SI,p73p74,2023,34281.4,36735.9,.0112,.012,.73,.74
SI,p74p75,2023,34907.3,37525.3,.0114,.0122,.74,.75
SI,p75p76,2023,35545.7,38329.9,.0116,.0125,.75,.76
SI,p76p77,2023,36323,39205.8,.0118,.0128,.76,.77
SI,p77p78,2023,36966.1,39920.8,.012,.013,.77,.78
SI,p78p79,2023,37688.9,40732.4,.0123,.0133,.78,.79
SI,p79p80,2023,38217.9,41312.7,.0125,.0135,.79,.8
SI,p7p8,2023,11970.7,2498.4,.0039,.0008,.07,.08
SI,p80p81,2023,39140.3,42368.60000000001,.0128,.0138,.8,.8100000000000001
SI,p81p82,2023,40050.5,43408.5,.013,.0141,.8100000000000001,.82
SI,p82p83,2023,40989.3,44488.60000000001,.0134,.0145,.82,.83
SI,p83p84,2023,42213.5,45919.60000000001,.0138,.015,.83,.84
SI,p84p85,2023,43241.3,47124.4,.0141,.0154,.84,.85
SI,p85p86,2023,44447.10000000001,48555.5,.0145,.0158,.85,.86
SI,p86p87,2023,46139.2,50570.8,.015,.0165,.86,.87
SI,p87p88,2023,47564.5,52281.5,.0155,.017,.87,.88
SI,p88p89,2023,48575.3,53528.5,.0158,.0174,.88,.89
SI,p89p90,2023,48591.5,53529.5,.0158,.0174,.89,.9
SI,p8p9,2023,12831.8,3497.8,.0042,.0011,.08,.09
SI,p90p91,2023,51353.7,56938.7,.0167,.0186,.9,.91
SI,p91p92,2023,53301.2,59358.3,.0174,.0193,.91,.92
SI,p92p93,2023,55605.60000000001,62239.5,.0181,.0203,.92,.93
