country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SK,p0p1,2023,6029.5,0,.0025,0,0,.01
SK,p10p11,2023,12767.8,4663.6,.0053,.0019,.1,.11
SK,p11p12,2023,13217.6,5511.5,.0055,.0023,.11,.12
SK,p12p13,2023,13542,6359.5,.0056,.0026,.12,.13
SK,p13p14,2023,13805.4,7207.400000000001,.0057,.003,.13,.14
SK,p14p15,2023,14023.8,8055.3,.0058,.0033,.14,.15
SK,p15p16,2023,14252,8903.200000000001,.0059,.0037,.15,.16
SK,p16p17,2023,14494.1,9751.200000000001,.006,.004,.16,.17
SK,p17p18,2023,14702,10599.1,.0061,.0044,.17,.18
SK,p18p19,2023,14917.4,11447,.0062,.0047,.18,.19
SK,p19p20,2023,15152.4,12295,.0063,.0051,.19,.2
SK,p1p2,2023,6034.400000000001,0,.0025,0,.01,.02
SK,p20p21,2023,15400.1,12718.9,.0064,.0053,.2,.21
SK,p21p22,2023,15574.2,12954.8,.0064,.0054,.21,.22
SK,p22p23,2023,15752.7,13194.6,.0065,.0055,.22,.23
SK,p23p24,2023,15950.1,13455.7,.0066,.0056,.23,.24
SK,p24p25,2023,16109.4,13669.2,.0067,.0057,.24,.25
SK,p25p26,2023,16274,13887.6,.0067,.0057,.25,.26
SK,p26p27,2023,16435.8,14142.9,.0068,.0059,.26,.27
SK,p27p28,2023,16558.9,14350.6,.0069,.0059,.27,.28
SK,p28p29,2023,16727,14610.8,.0069,.006,.28,.29
SK,p29p30,2023,16852.9,14819.5,.007,.0061,.29,.3
SK,p2p3,2023,6079,0,.0025,0,.02,.03
SK,p30p31,2023,16999.2,15051.5,.007,.0062,.3,.31
SK,p31p32,2023,17133.6,15286.4,.0071,.0063,.31,.32
SK,p32p33,2023,17362.5,15632.9,.0072,.0065,.32,.33
SK,p33p34,2023,17524.8,15899.9,.0073,.0066,.33,.34
SK,p34p35,2023,17677.6,16155.1,.0073,.0067,.34,.35
SK,p35p36,2023,17891.5,16482.3,.0074,.0068,.35,.36
SK,p36p37,2023,18084.1,16758.9,.0075,.0069,.36,.37
SK,p37p38,2023,18286.1,17046.2,.0076,.0071,.37,.38
SK,p38p39,2023,18469.9,17311.2,.0076,.0072,.38,.39
SK,p39p40,2023,18650.1,17571.4,.0077,.0073,.39,.4
SK,p3p4,2023,6243.8,0,.0026,0,.03,.04
SK,p40p41,2023,18863,17869.4,.0078,.0074,.4,.41
SK,p41p42,2023,19138.9,18252.8,.0079,.0076,.41,.42
SK,p42p43,2023,19380.7,18595.5,.008,.0077,.42,.43
SK,p43p44,2023,19602,18913.8,.0081,.0078,.43,.44
SK,p44p45,2023,19831.8,19241.9,.0082,.008,.44,.45
SK,p45p46,2023,20183.1,19712.7,.0084,.0082,.45,.46
SK,p46p47,2023,20478.4,20067,.0085,.0083,.46,.47
SK,p47p48,2023,20803.7,20456.3,.0086,.0085,.47,.48
SK,p48p49,2023,21091.2,20800.9,.0087,.0086,.48,.49
SK,p49p50,2023,21455.3,21234.8,.0089,.0088,.49,.5
SK,p4p5,2023,6650.400000000001,0,.0028,0,.04,.05
SK,p50p51,2023,21738.8,21573.5,.009,.0089,.5,.51
SK,p51p52,2023,22078.2,21984.1,.0091,.0091,.51,.52
SK,p52p53,2023,22414,22389.9,.0093,.0093,.52,.53
SK,p53p54,2023,22742.9,22786.9,.0094,.0094,.53,.54
SK,p54p55,2023,23025.2,23128.6,.0095,.0096,.54,.55
SK,p55p56,2023,23368.2,23540.1,.0097,.0097,.55,.5600000000000001
SK,p56p57,2023,23688.6,23879.9,.0098,.0099,.5600000000000001,.57
SK,p57p58,2023,23939.1,24137.1,.0099,.01,.57,.58
SK,p58p59,2023,24265.2,24481.7,.01,.0101,.58,.59
SK,p59p60,2023,24647.1,24891.3,.0102,.0103,.59,.6
SK,p5p6,2023,8008,424,.0033,.0002,.05,.06
SK,p60p61,2023,24962.3,25222.3,.0103,.0104,.6,.61
SK,p61p62,2023,25326.2,25615.5,.0105,.0106,.61,.62
SK,p62p63,2023,25744.9,26072.7,.0107,.0108,.62,.63
SK,p63p64,2023,26110.8,26467.7,.0108,.011,.63,.64
SK,p64p65,2023,26460.6,26844.4,.011,.0111,.64,.65
SK,p65p66,2023,26790.7,27197.7,.0111,.0113,.65,.66
SK,p66p67,2023,27063.5,27606.3,.0112,.0114,.66,.67
SK,p67p68,2023,27322.7,27999.5,.0113,.0116,.67,.68
SK,p68p69,2023,27495.4,28291.7,.0114,.0117,.68,.6899999999999999
SK,p69p70,2023,27723,28648.9,.0115,.0119,.6899999999999999,.7
SK,p6p7,2023,9076.5,1271.9,.0038,.0005,.06,.07
SK,p70p71,2023,28051.4,29124.5,.0116,.0121,.7,.71
SK,p71p72,2023,28265,29471,.0117,.0122,.71,.72
SK,p72p73,2023,28460.8,29798.2,.0118,.0123,.72,.73
SK,p73p74,2023,28784.4,30275.7,.0119,.0125,.73,.74
