country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SL,p0p1,2023,2268.2,0,.0006,0,0,.01
SL,p10p11,2023,8055.3,3907.7,.0023,.0011,.1,.11
SL,p11p12,2023,8371.800000000001,4618.2,.0024,.0013,.11,.12
SL,p12p13,2023,8702.6,5328.700000000001,.0025,.0015,.12,.13
SL,p13p14,2023,9010.1,6039.200000000001,.0025,.0017,.13,.14
SL,p14p15,2023,9313.700000000001,6749.700000000001,.0026,.0019,.14,.15
SL,p15p16,2023,9640.9,7460.200000000001,.0027,.0021,.15,.16
SL,p16p17,2023,9921.6,8170.700000000001,.0028,.0023,.16,.17
SL,p17p18,2023,10226.7,8881.1,.0029,.0025,.17,.18
SL,p18p19,2023,10517.5,9591.6,.003,.0027,.18,.19
SL,p19p20,2023,10856.5,10302.1,.0031,.0029,.19,.2
SL,p1p2,2023,3003.6,0,.0008,0,.01,.02
SL,p20p21,2023,11211.2,10657.4,.0032,.003,.2,.21
SL,p21p22,2023,11458.5,10919.7,.0032,.0031,.21,.22
SL,p22p23,2023,11724.4,11200.6,.0033,.0032,.22,.23
SL,p23p24,2023,12014.1,11505.1,.0034,.0033,.23,.24
SL,p24p25,2023,12319.4,11825.5,.0035,.0033,.24,.25
SL,p25p26,2023,12622.6,12143.5,.0036,.0034,.25,.26
SL,p26p27,2023,12940.2,12475.7,.0037,.0035,.26,.27
SL,p27p28,2023,13206.7,12755.9,.0037,.0036,.27,.28
SL,p28p29,2023,13493.7,13056.4,.0038,.0037,.28,.29
SL,p29p30,2023,13745.7,13320.9,.0039,.0038,.29,.3
SL,p2p3,2023,3875.1,0,.0011,0,.02,.03
SL,p30p31,2023,14036.6,13624.3,.004,.0039,.3,.31
SL,p31p32,2023,14341.3,13935.5,.0041,.0039,.31,.32
SL,p32p33,2023,14624.5,14225.1,.0041,.004,.32,.33
SL,p33p34,2023,14954.3,14561.4,.0042,.0041,.33,.34
SL,p34p35,2023,15238.3,14850.9,.0043,.0042,.34,.35
SL,p35p36,2023,15465.4,15082.7,.0044,.0043,.35,.36
SL,p36p37,2023,15716.3,15337.1,.0044,.0043,.36,.37
SL,p37p38,2023,16025.8,15650.6,.0045,.0044,.37,.38
SL,p38p39,2023,16313.2,15941.5,.0046,.0045,.38,.39
SL,p39p40,2023,16665.2,16297.6,.0047,.0046,.39,.4
SL,p3p4,2023,4572.2,0,.0013,0,.03,.04
SL,p40p41,2023,17006.9,16642.9,.0048,.0047,.4,.41
SL,p41p42,2023,17324.9,16971.1,.0049,.0048,.41,.42
SL,p42p43,2023,17607.5,17263.5,.005,.0049,.42,.43
SL,p43p44,2023,17906.7,17573.6,.0051,.005,.43,.44
SL,p44p45,2023,18222.7,17901.1,.0052,.0051,.44,.45
SL,p45p46,2023,18542.4,18233,.0052,.0052,.45,.46
SL,p46p47,2023,18856.6,18559.7,.0053,.0052,.46,.47
SL,p47p48,2023,19203.2,18920.4,.0054,.0053,.47,.48
SL,p48p49,2023,19587.4,19319.6,.0055,.0055,.48,.49
SL,p49p50,2023,19975.8,19723.9,.0056,.0056,.49,.5
SL,p4p5,2023,5179.700000000001,0,.0015,0,.04,.05
SL,p50p51,2023,20400.5,20165.8,.0058,.0057,.5,.51
SL,p51p52,2023,20777.7,20562.2,.0059,.0058,.51,.52
SL,p52p53,2023,21146.5,20951.1,.006,.0059,.52,.53
SL,p53p54,2023,21554.3,21379.7,.0061,.006,.53,.54
SL,p54p55,2023,21940.1,21786.9,.0062,.0062,.54,.55
SL,p55p56,2023,22311,22178.9,.0063,.0063,.55,.5600000000000001
SL,p56p57,2023,22691.8,22581.5,.0064,.0064,.5600000000000001,.57
SL,p57p58,2023,23163.1,23077.4,.0065,.0065,.57,.58
SL,p58p59,2023,23629.1,23568.7,.0067,.0067,.58,.59
SL,p59p60,2023,24051.6,24016,.0068,.0068,.59,.6
SL,p5p6,2023,5723.5,355.2,.0016,.0001,.05,.06
SL,p60p61,2023,24541.9,24533,.0069,.0069,.6,.61
SL,p61p62,2023,25047.5,25068.1,.0071,.0071,.61,.62
SL,p62p63,2023,25602.3,25654.4,.0072,.0073,.62,.63
SL,p63p64,2023,26107.7,26190.5,.0074,.0074,.63,.64
SL,p64p65,2023,26698.5,26815.1,.0075,.0076,.64,.65
SL,p65p66,2023,27264.4,27414.9,.0077,.0077,.65,.66
SL,p66p67,2023,27905.4,28096.1,.0079,.0079,.66,.67
SL,p67p68,2023,28510.4,28740.8,.0081,.0081,.67,.68
SL,p68p69,2023,29129.2,29401.2,.0082,.0083,.68,.6899999999999999
SL,p69p70,2023,29820,30137.3,.0084,.0085,.6899999999999999,.7
SL,p6p7,2023,6234.1,1065.7,.0018,.0003,.06,.07
SL,p70p71,2023,30453.2,30814.8,.0086,.0087,.7,.71
SL,p71p72,2023,31235.2,31652.1,.0088,.0089,.71,.72
SL,p72p73,2023,31862.3,32330.2,.009,.0091,.72,.73
SL,p73p74,2023,32690.2,33217.4,.0092,.0094,.73,.74
SL,p74p75,2023,33490.3,34077.6,.0095,.0096,.74,.75
