country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SM,p0p1,2023,0,0,0,0,0,.01
SM,p10p11,2023,14887.1,5761,.0031,.0012,.1,.11
SM,p11p12,2023,16386.2,6808.5,.0034,.0014,.11,.12
SM,p12p13,2023,18274.4,7855.900000000001,.0038,.0016,.12,.13
SM,p13p14,2023,20482.2,8903.6,.0043,.0019,.13,.14
SM,p14p15,2023,20998.9,9950.800000000001,.0044,.0021,.14,.15
SM,p15p16,2023,21362,10998.5,.0044,.0023,.15,.16
SM,p16p17,2023,22201.4,12045.7,.0046,.0025,.16,.17
SM,p17p18,2023,22307.4,13093.4,.0046,.0027,.17,.18
SM,p18p19,2023,22597.7,14140.8,.0047,.0029,.18,.19
SM,p19p20,2023,22725.5,15188.3,.0047,.0032,.19,.2
SM,p1p2,2023,0,0,0,0,.01,.02
SM,p20p21,2023,23149.7,15711.8,.0048,.0033,.2,.21
SM,p21p22,2023,23239.4,16455.8,.0048,.0034,.21,.22
SM,p22p23,2023,23664.9,17272.5,.0049,.0036,.22,.23
SM,p23p24,2023,23755.5,18002.5,.0049,.0037,.23,.24
SM,p24p25,2023,24282.5,18823.5,.0051,.0039,.24,.25
SM,p25p26,2023,24811.5,19513.3,.0052,.0041,.25,.26
SM,p26p27,2023,25247.4,20299.9,.0053,.0042,.26,.27
SM,p27p28,2023,25392.7,21051.6,.0053,.0044,.27,.28
SM,p28p29,2023,25771.8,21750,.0054,.0045,.28,.29
SM,p29p30,2023,26281.7,22366.2,.0055,.0047,.29,.3
SM,p2p3,2023,0,0,0,0,.02,.03
SM,p30p31,2023,26354.4,22977.4,.0055,.0048,.3,.31
SM,p31p32,2023,26726.7,23493.8,.0056,.0049,.31,.32
SM,p32p33,2023,26741.6,24089.3,.0056,.005,.32,.33
SM,p33p34,2023,27037.9,24668.2,.0056,.0051,.33,.34
SM,p34p35,2023,27386.7,25194.7,.0057,.0052,.34,.35
SM,p35p36,2023,27544.6,25889,.0057,.0054,.35,.36
SM,p36p37,2023,28026.9,26583.7,.0058,.0055,.36,.37
SM,p37p38,2023,28633.9,27252.3,.006,.0057,.37,.38
SM,p38p39,2023,29160,27836,.0061,.0058,.38,.39
SM,p39p40,2023,29682.5,28418.4,.0062,.0059,.39,.4
SM,p3p4,2023,0,0,0,0,.03,.04
SM,p40p41,2023,30245.9,29040.2,.0063,.006,.4,.41
SM,p41p42,2023,30815.9,29682.7,.0064,.0062,.41,.42
SM,p42p43,2023,31342,30280.8,.0065,.0063,.42,.43
SM,p43p44,2023,31920,30929.6,.0066,.0064,.43,.44
SM,p44p45,2023,32476.9,31559.8,.0068,.0066,.44,.45
SM,p45p46,2023,32986.4,32146.7,.0069,.0067,.45,.46
SM,p46p47,2023,33573.3,32801.3,.007,.0068,.46,.47
SM,p47p48,2023,34226.7,33526,.0071,.007,.47,.48
SM,p48p49,2023,34878.7,34252.5,.0073,.0071,.48,.49
SM,p49p50,2023,35488.8,34931.1,.0074,.0073,.49,.5
SM,p4p5,2023,0,0,0,0,.04,.05
SM,p50p51,2023,36136.2,35653.9,.0075,.0074,.5,.51
SM,p51p52,2023,36718.5,36314.1,.0076,.0076,.51,.52
SM,p52p53,2023,37360.7,37033.1,.0078,.0077,.52,.53
SM,p53p54,2023,38020.4,37776,.0079,.0079,.53,.54
SM,p54p55,2023,38710.5,38550.6,.0081,.008,.54,.55
SM,p55p56,2023,39466.2,39389.7,.0082,.0082,.55,.5600000000000001
SM,p56p57,2023,40175.2,40191.2,.0084,.0084,.5600000000000001,.57
SM,p57p58,2023,40846.60000000001,40954.10000000001,.0085,.0085,.57,.58
SM,p58p59,2023,41543.3,41743.3,.0086,.0087,.58,.59
SM,p59p60,2023,42225.3,42520.5,.0088,.0088,.59,.6
SM,p5p6,2023,3373.3,523.9,.0007,.0001,.05,.06
SM,p60p61,2023,43088.8,43481.7,.009,.009,.6,.61
SM,p61p62,2023,43776,44275.5,.0091,.0092,.61,.62
SM,p62p63,2023,44636,45244.7,.0093,.0094,.62,.63
SM,p63p64,2023,45385.7,46102.4,.0094,.0096,.63,.64
SM,p64p65,2023,46271.8,47100.60000000001,.0096,.0098,.64,.65
SM,p65p66,2023,47033.5,47976.10000000001,.0098,.01,.65,.66
SM,p66p67,2023,48006.7,49072.2,.01,.0102,.66,.67
SM,p67p68,2023,48894.8,50079,.0102,.0104,.67,.68
SM,p68p69,2023,49757.10000000001,51063.60000000001,.0103,.0106,.68,.6899999999999999
SM,p69p70,2023,50599.7,52030.8,.0105,.0108,.6899999999999999,.7
SM,p6p7,2023,8041.900000000001,1571,.0017,.0003,.06,.07
