country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SN,p0p1,2023,86603.20000000001,0,.0005,0,0,.01
SN,p10p11,2023,354182.4,185079.6,.0021,.0011,.1,.11
SN,p11p12,2023,370788.8,218730.4,.0022,.0013,.11,.12
SN,p12p13,2023,387651.6,252381.3,.0023,.0015,.12,.13
SN,p13p14,2023,404699.3,286032.1,.0024,.0017,.13,.14
SN,p14p15,2023,423717.5,319682.9,.0025,.0019,.14,.15
SN,p15p16,2023,440590.7,353333.8,.0026,.0021,.15,.16
SN,p16p17,2023,455811.4,386984.6,.0026,.0022,.16,.17
SN,p17p18,2023,473649.3,420635.5,.0028,.0024,.17,.18
SN,p18p19,2023,491784.9,454286.3,.0029,.0026,.18,.19
SN,p19p20,2023,508114.1,487937.1,.003,.0028,.19,.2
SN,p1p2,2023,117989,0,.0007,0,.01,.02
SN,p20p21,2023,525038.6,504762.6,.003,.0029,.2,.21
SN,p21p22,2023,541501.2000000001,522236.2,.0031,.003,.21,.22
SN,p22p23,2023,556270.4,537982.2000000001,.0032,.0031,.22,.23
SN,p23p24,2023,570392.9,553023.4,.0033,.0032,.23,.24
SN,p24p25,2023,585541.8,569045.7000000001,.0034,.0033,.24,.25
SN,p25p26,2023,597950.4,582279.4,.0035,.0034,.25,.26
SN,p26p27,2023,611939.5,597417.3,.0036,.0035,.26,.27
SN,p27p28,2023,626421.3,613007.2000000001,.0036,.0036,.27,.28
SN,p28p29,2023,638378.2000000001,626014.6,.0037,.0036,.28,.29
SN,p29p30,2023,652552.1000000001,641194.8,.0038,.0037,.29,.3
SN,p2p3,2023,159781.9,0,.0009,0,.02,.03
SN,p30p31,2023,666017.8,655616.3,.0039,.0038,.3,.31
SN,p31p32,2023,680715.1000000001,670623.9,.004,.0039,.31,.32
SN,p32p33,2023,699938.6000000001,690199.4,.0041,.004,.32,.33
SN,p33p34,2023,715446.7000000001,706022.5,.0042,.0041,.33,.34
SN,p34p35,2023,728614.7000000001,719458.2000000001,.0042,.0042,.34,.35
SN,p35p36,2023,742573.1000000001,733695.2000000001,.0043,.0043,.35,.36
SN,p36p37,2023,760883.1000000001,751686.9,.0044,.0044,.36,.37
SN,p37p38,2023,779593.4,770091.4,.0045,.0045,.37,.38
SN,p38p39,2023,794845,784991.6000000001,.0046,.0046,.38,.39
SN,p39p40,2023,813206.3,803062.3,.0047,.0047,.39,.4
SN,p3p4,2023,191547.3,0,.0011,0,.03,.04
SN,p40p41,2023,831198.2000000001,820740.4,.0048,.0048,.4,.41
SN,p41p42,2023,849990.6000000001,839709.5,.0049,.0049,.41,.42
SN,p42p43,2023,869101.2000000001,859012.2000000001,.005,.005,.42,.43
SN,p43p44,2023,888294,878456.4,.0052,.0051,.43,.44
SN,p44p45,2023,907045.3,897479.7000000001,.0053,.0052,.44,.45
SN,p45p46,2023,923384.8,914106.8,.0054,.0053,.45,.46
SN,p46p47,2023,939139.2000000001,930268.2000000001,.0055,.0054,.46,.47
SN,p47p48,2023,956156.1000000001,947751,.0056,.0055,.47,.48
SN,p48p49,2023,973634.8,965712.7000000001,.0057,.0056,.48,.49
SN,p49p50,2023,990651.6000000001,983251.7000000001,.0058,.0057,.49,.5
SN,p4p5,2023,221917,0,.0013,0,.04,.05
SN,p50p51,2023,1008889.8,1002037.1,.0059,.0058,.5,.51
SN,p51p52,2023,1026142.8,1020451,.006,.0059,.51,.52
SN,p52p53,2023,1047552.4,1043122.1,.0061,.0061,.52,.53
SN,p53p54,2023,1069444.4,1066324.9,.0062,.0062,.53,.54
SN,p54p55,2023,1091921.4,1090131,.0063,.0063,.54,.55
SN,p55p56,2023,1117292.7,1116899.9,.0065,.0065,.55,.5600000000000001
SN,p56p57,2023,1141032.2,1142176.7,.0066,.0066,.5600000000000001,.57
SN,p57p58,2023,1161097.3,1163684.3,.0067,.0068,.57,.58
SN,p58p59,2023,1188603.4,1192805.4,.0069,.0069,.58,.59
SN,p59p60,2023,1208771.1,1214396.8,.007,.0071,.59,.6
SN,p5p6,2023,246066.9,16825.4,.0014,.0001,.05,.06
SN,p60p61,2023,1230345,1237415.2,.0071,.0072,.6,.61
SN,p61p62,2023,1252534.6,1261237.3,.0073,.0073,.61,.62
SN,p62p63,2023,1277351.7,1287792,.0074,.0075,.62,.63
SN,p63p64,2023,1307115.8,1319471.7,.0076,.0077,.63,.64
SN,p64p65,2023,1338429.7,1352830,.0078,.0079,.64,.65
SN,p65p66,2023,1365556,1381916.2,.0079,.008,.65,.66
SN,p66p67,2023,1394694.1,1413007.6,.0081,.0082,.66,.67
SN,p67p68,2023,1428471.2,1448999.9,.0083,.0084,.67,.68
SN,p68p69,2023,1464239.4,1487188.9,.0085,.0086,.68,.6899999999999999
SN,p69p70,2023,1499258.4,1524700.9,.0087,.0089,.6899999999999999,.7
SN,p6p7,2023,267948.7,50476.3,.0016,.0003,.06,.07
SN,p70p71,2023,1532686.6,1560699.4,.0089,.0091,.7,.71
SN,p71p72,2023,1574941.3,1604681.5,.0091,.0093,.71,.72
SN,p72p73,2023,1610606.9,1641900.4,.0094,.0095,.72,.73
