country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SO,p0p1,2023,1080804.6,0,.0003,0,0,.01
SO,p10p11,2023,6196586,3393726.2,.0018,.001,.1,.11
SO,p11p12,2023,6520405.300000001,4010767.2,.0019,.0012,.11,.12
SO,p12p13,2023,6829752.100000001,4627808.2,.002,.0014,.12,.13
SO,p13p14,2023,7145933.2,5244849.2,.0021,.0016,.13,.14
SO,p14p15,2023,7447842.9,5861890.9,.0022,.0017,.14,.15
SO,p15p16,2023,7753973.7,6478931.9,.0023,.0019,.15,.16
SO,p16p17,2023,8062315.600000001,7095972.5,.0024,.0021,.16,.17
SO,p17p18,2023,8361813.2,7713014.300000001,.0025,.0023,.17,.18
SO,p18p19,2023,8666336,8330055.300000001,.0026,.0025,.18,.19
SO,p19p20,2023,8962215.5,8947096.300000001,.0027,.0027,.19,.2
SO,p1p2,2023,1774473.2,0,.0005,0,.01,.02
SO,p20p21,2023,9267341.300000001,9255617.1,.0027,.0027,.2,.21
SO,p21p22,2023,9538698.200000001,9531492.700000001,.0028,.0028,.21,.22
SO,p22p23,2023,9816688.300000001,9813377.300000001,.0029,.0029,.22,.23
SO,p23p24,2023,10090256.3,10090594.8,.003,.003,.23,.24
SO,p24p25,2023,10375683.5,10379323.7,.0031,.0031,.24,.25
SO,p25p26,2023,10654879.7,10661190.2,.0032,.0032,.25,.26
SO,p26p27,2023,10937492.9,10945431.9,.0032,.0032,.26,.27
SO,p27p28,2023,11221111.1,11230180.8,.0033,.0033,.27,.28
SO,p28p29,2023,11501714.3,11511116.9,.0034,.0034,.28,.29
SO,p29p30,2023,11771664.1,11780819.4,.0035,.0035,.29,.3
SO,p2p3,2023,2539096.7,0,.0008,0,.02,.03
SO,p30p31,2023,12059302.5,12067892.4,.0036,.0036,.3,.31
SO,p31p32,2023,12339704.6,12353068.5,.0037,.0037,.31,.32
SO,p32p33,2023,12612669.6,12630469.7,.0037,.0037,.32,.33
SO,p33p34,2023,12901916,12924230.8,.0038,.0038,.33,.34
SO,p34p35,2023,13187142.2,13213704.9,.0039,.0039,.34,.35
SO,p35p36,2023,13481614.7,13512329.4,.004,.004,.35,.36
SO,p36p37,2023,13779504.3,13814570.5,.0041,.0041,.36,.37
SO,p37p38,2023,14067946.7,14106780.1,.0042,.0042,.37,.38
SO,p38p39,2023,14369655.4,14412446.1,.0043,.0043,.38,.39
SO,p39p40,2023,14669756,14715946.5,.0044,.0044,.39,.4
SO,p3p4,2023,3128644.8,0,.0009,0,.03,.04
SO,p40p41,2023,14970459.7,15019987.2,.0044,.0045,.4,.41
SO,p41p42,2023,15290057.9,15348742.1,.0045,.0046,.41,.42
SO,p42p43,2023,15606439.9,15674555.7,.0046,.0046,.42,.43
SO,p43p44,2023,15942922.5,16020336.3,.0047,.0048,.43,.44
SO,p44p45,2023,16275586,16362849.1,.0048,.0049,.44,.45
SO,p45p46,2023,16607646.4,16704250,.0049,.005,.45,.46
SO,p46p47,2023,16927445.6,17033538.8,.005,.0051,.46,.47
SO,p47p48,2023,17264531.2,17380195.7,.0051,.0052,.47,.48
SO,p48p49,2023,17620913.3,17746183.6,.0052,.0053,.48,.49
SO,p49p50,2023,17999003.9,18133999.5,.0053,.0054,.49,.5
SO,p4p5,2023,3640805.8,0,.0011,0,.04,.05
SO,p50p51,2023,18379104.6,18524137.9,.0055,.0055,.5,.51
SO,p51p52,2023,18735687.7,18894161.6,.0056,.0056,.51,.52
SO,p52p53,2023,19112773.3,19285052.2,.0057,.0057,.52,.53
SO,p53p54,2023,19506140.3,19692392.2,.0058,.0058,.53,.54
SO,p54p55,2023,19904331.5,20105005.5,.0059,.006,.54,.55
SO,p55p56,2023,20308753.8,20524071.4,.006,.0061,.55,.5600000000000001
SO,p56p57,2023,20715588.2,20945640.3,.0061,.0062,.5600000000000001,.57
SO,p57p58,2023,21151568.3,21396890.6,.0063,.0063,.57,.58
SO,p58p59,2023,21608251.9,21869097.2,.0064,.0065,.58,.59
SO,p59p60,2023,22058302.4,22334983.1,.0065,.0066,.59,.6
SO,p5p6,2023,4110956.8,308520.5,.0012,.0001,.05,.06
SO,p60p61,2023,22538905.7,22832123.7,.0067,.0068,.6,.61
SO,p61p62,2023,23033981.3,23346309,.0068,.0069,.61,.62
SO,p62p63,2023,23539509.2,23871590.3,.007,.0071,.62,.63
SO,p63p64,2023,24076996.9,24429660.6,.0071,.0072,.63,.64
SO,p64p65,2023,24642022.3,25015753.9,.0073,.0074,.64,.65
SO,p65p66,2023,25242826.6,25638690.8,.0075,.0076,.65,.66
SO,p66p67,2023,25850666.1,26268862.3,.0077,.0078,.66,.67
SO,p67p68,2023,26490867.4,26932221.6,.0079,.008,.67,.68
SO,p68p69,2023,27152174.3,27617331.9,.0081,.0082,.68,.6899999999999999
SO,p69p70,2023,27834988.7,28324383.1,.0083,.0084,.6899999999999999,.7
SO,p6p7,2023,4545730.9,925561.6000000001,.0013,.0003,.06,.07
SO,p70p71,2023,28532275.5,29046993.4,.0085,.0086,.7,.71
SO,p71p72,2023,29278205.5,29815279,.0087,.0088,.71,.72
SO,p72p73,2023,30065542.6,30625618.6,.0089,.0091,.72,.73
SO,p73p74,2023,30890668.6,31474774.2,.0092,.0093,.73,.74
SO,p74p75,2023,31780317.3,32389306.7,.0094,.0096,.74,.75
SO,p75p76,2023,32687654.4,33321882.5,.0097,.0099,.75,.76
SO,p76p77,2023,33674589.6,34335755.5,.01,.0102,.76,.77
SO,p77p78,2023,34741122.8,35430294.4,.0103,.0105,.77,.78
SO,p78p79,2023,35855897.2,36574277.4,.0106,.0108,.78,.79
SO,p79p80,2023,37060721.9,37809893.6,.011,.0112,.79,.8
SO,p7p8,2023,4968042.7,1542602.8,.0015,.0005,.07,.08
SO,p80p81,2023,38374893.4,39156810.1,.0114,.0116,.8,.8100000000000001
SO,p81p82,2023,39721225.8,40530626.7,.0118,.012,.8100000000000001,.82
SO,p82p83,2023,41270372.3,42110897.6,.0122,.0125,.82,.83
SO,p83p84,2023,43046453.6,43921376,.0128,.013,.83,.84
SO,p84p85,2023,44993992.2,45905843,.0133,.0136,.84,.85
SO,p85p86,2023,47264948.1,48219072.90000001,.014,.0143,.85,.86
SO,p86p87,2023,49782738.3,50782375,.0148,.0151,.86,.87
SO,p87p88,2023,52714800.1,53766616.5,.0156,.0159,.87,.88
SO,p88p89,2023,56049173.6,57159350.6,.0166,.0169,.88,.89
SO,p89p90,2023,60209376.7,61391670.6,.0179,.0182,.89,.9
SO,p8p9,2023,5376083.100000001,2159643.8,.0016,.0006,.08,.09
SO,p90p91,2023,65166163,66433356.6,.0193,.0197,.9,.91
SO,p91p92,2023,71336919.90000001,72670765.60000001,.0212,.0215,.91,.92
SO,p92p93,2023,78933908.60000001,80346397.60000001,.0234,.0238,.92,.93
SO,p93p94,2023,88517028.90000001,90024731.7,.0262,.0267,.93,.9399999999999999
SO,p94p95,2023,100981658.2,102609241.8,.0299,.0304,.9399999999999999,.95
SO,p95p96,2023,117657043.4,119439156.1,.0349,.0354,.95,.96
SO,p96p97,2023,141827306.7,143786166,.0421,.0426,.96,.97
SO,p97p98,2023,177979083.4,180176536.2,.0528,.0534,.97,.98
SO,p98p99,2023,245375247.6,248013819.4,.0728,.0735,.98,.99
SO,p99.1p99.2,2023,309159450.2,311957382.1,.0092,.0093,.991,.992
SO,p99.2p99.3,2023,326924283.1,329895330.9,.0097,.0098,.992,.993
SO,p99.3p99.4,2023,348504947.1,351684506.5,.0103,.0104,.993,.9940000000000001
SO,p99.4p99.5,2023,375533352.5,378973967.6,.0111,.0112,.9940000000000001,.995
SO,p99.5p99.6,2023,410846184.1,414625807.3,.0122,.0123,.995,.996
SO,p99.6p99.7,2023,459943696,464192541,.0136,.0138,.996,.997
SO,p99.7p99.8,2023,535515844.1,540484131.3000001,.0159,.016,.997,.998
SO,p99.8p99.9,2023,677921568.2,684238915.4000001,.0201,.0203,.998,.9990000000000001
SO,p99.9p100,2023,1447482754.7,1461072508.2,.0429,.0433,.9990000000000001,1
SO,p99p99.1,2023,294191101,296842990,.0087,.0088,.99,.991
SO,p9p10,2023,5789751.600000001,2776685.2,.0017,.0008,.09,.1
