country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SR,p0p1,2023,32154.3,7.600000000000001,.001,0,0,.01
SR,p10p11,2023,36577.9,5467.6,.0012,.0002,.1,.11
SR,p11p12,2023,36787.5,7467,.0012,.0002,.11,.12
SR,p12p13,2023,37546.4,9005.700000000001,.0012,.0003,.12,.13
SR,p13p14,2023,38222.3,10321.6,.0012,.0003,.13,.14
SR,p14p15,2023,40014,12913.8,.0013,.0004,.14,.15
SR,p15p16,2023,42279.60000000001,16017.7,.0013,.0005,.15,.16
SR,p16p17,2023,44666,19244.3,.0014,.0006,.16,.17
SR,p17p18,2023,47532,22974.9,.0015,.0007,.17,.18
SR,p18p19,2023,50734,27034.1,.0016,.0009,.18,.19
SR,p19p20,2023,55042.4,32278.9,.0017,.001,.19,.2
SR,p1p2,2023,32728.3,18.9,.001,0,.01,.02
SR,p20p21,2023,59639.7,37769.2,.0019,.0012,.2,.21
SR,p21p22,2023,64890.2,44131.7,.002,.0014,.21,.22
SR,p22p23,2023,69223.10000000001,49454,.0022,.0016,.22,.23
SR,p23p24,2023,73125.60000000001,54281.60000000001,.0023,.0017,.23,.24
SR,p24p25,2023,76488.10000000001,58493.7,.0024,.0018,.24,.25
SR,p25p26,2023,79973.3,62828.5,.0025,.002,.25,.26
SR,p26p27,2023,83447.20000000001,66965.10000000001,.0026,.0021,.26,.27
SR,p27p28,2023,87683.90000000001,71921.10000000001,.0028,.0023,.27,.28
SR,p28p29,2023,91380.60000000001,76267.2,.0029,.0024,.28,.29
SR,p29p30,2023,94161.60000000001,79595.70000000001,.003,.0025,.29,.3
SR,p2p3,2023,32786.8,34,.001,0,.02,.03
SR,p30p31,2023,97771.40000000001,83813.5,.0031,.0026,.3,.31
SR,p31p32,2023,101817.4,88237.10000000001,.0032,.0028,.31,.32
SR,p32p33,2023,105844.4,92628.5,.0033,.0029,.32,.33
SR,p33p34,2023,109378.8,96478.10000000001,.0035,.003,.33,.34
