country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SS,p0p1,2023,137462.6,0,.0002,0,0,.01
SS,p10p11,2023,789909,469754.7,.0013,.0008,.1,.11
SS,p11p12,2023,839846.6000000001,555164.6,.0014,.0009,.11,.12
SS,p12p13,2023,891251.9,640574.6000000001,.0015,.0011,.12,.13
SS,p13p14,2023,950174.7000000001,725984.5,.0016,.0012,.13,.14
SS,p14p15,2023,1013035.2,811394.5,.0017,.0014,.14,.15
SS,p15p16,2023,1069989.1,896804.4,.0018,.0015,.15,.16
SS,p16p17,2023,1126978.9,982214.4,.0019,.0016,.16,.17
SS,p17p18,2023,1170401.3,1067624.4,.0019,.0018,.17,.18
SS,p18p19,2023,1225493.7,1153034.3,.002,.0019,.18,.19
SS,p19p20,2023,1282125.5,1238444.2,.0021,.0021,.19,.2
SS,p1p2,2023,226670.2,0,.0004,0,.01,.02
SS,p20p21,2023,1338256.1,1281149.2,.0022,.0021,.2,.21
SS,p21p22,2023,1384613.9,1328417.1,.0023,.0022,.21,.22
SS,p22p23,2023,1431938.3,1376556.3,.0024,.0023,.22,.23
SS,p23p24,2023,1477365.4,1422684.5,.0025,.0024,.23,.24
SS,p24p25,2023,1530524.8,1476636.3,.0025,.0025,.24,.25
SS,p25p26,2023,1588588.4,1535544.1,.0026,.0026,.25,.26
SS,p26p27,2023,1641712,1589108,.0027,.0026,.26,.27
SS,p27p28,2023,1693117.3,1640815.1,.0028,.0027,.27,.28
SS,p28p29,2023,1740871.3,1688711.4,.0029,.0028,.28,.29
SS,p29p30,2023,1789341.2,1737211.9,.003,.0029,.29,.3
SS,p2p3,2023,270772.8,0,.0005,0,.02,.03
SS,p30p31,2023,1843359.7,1791253.5,.0031,.003,.3,.31
SS,p31p32,2023,1901494.9,1850101.6,.0032,.0031,.31,.32
SS,p32p33,2023,1965143,1914500.2,.0033,.0032,.32,.33
SS,p33p34,2023,2031511.7,1981712.3,.0034,.0033,.33,.34
SS,p34p35,2023,2091257.8,2042087.8,.0035,.0034,.34,.35
SS,p35p36,2023,2142340.9,2093634.8,.0036,.0035,.35,.36
SS,p36p37,2023,2195357.1,2147313.2,.0037,.0036,.36,.37
SS,p37p38,2023,2242001.3,2194433.3,.0037,.0037,.37,.38
SS,p38p39,2023,2290149.1,2243030.4,.0038,.0037,.38,.39
SS,p39p40,2023,2342699.9,2296098.9,.0039,.0038,.39,.4
SS,p3p4,2023,351997.4,0,.0006,0,.03,.04
SS,p40p41,2023,2393783,2347624.1,.004,.0039,.4,.41
SS,p41p42,2023,2445940,2401325.4,.0041,.004,.41,.42
SS,p42p43,2023,2502679.2,2459717.7,.0042,.0041,.42,.43
SS,p43p44,2023,2558952.9,2517714.2,.0043,.0042,.43,.44
SS,p44p45,2023,2622851.6,2583451.1,.0044,.0043,.44,.45
SS,p45p46,2023,2690365.8,2652924.7,.0045,.0044,.45,.46
SS,p46p47,2023,2759455.1,2723935.5,.0046,.0045,.46,.47
SS,p47p48,2023,2828437,2794756,.0047,.0047,.47,.48
SS,p48p49,2023,2901034.5,2869353.3,.0048,.0048,.48,.49
SS,p49p50,2023,2980111.3,2950583.6,.005,.0049,.49,.5
SS,p4p5,2023,418652.5,0,.0007,0,.04,.05
SS,p50p51,2023,3057076,3029669.6,.0051,.005,.5,.51
SS,p51p52,2023,3131642.3,3107281.5,.0052,.0052,.51,.52
SS,p52p53,2023,3206495.1,3185231.8,.0053,.0053,.52,.53
SS,p53p54,2023,3276658.3,3258419.1,.0055,.0054,.53,.54
SS,p54p55,2023,3355412.9,3340485.6,.0056,.0056,.54,.55
SS,p55p56,2023,3434704.5,3423119.8,.0057,.0057,.55,.5600000000000001
SS,p56p57,2023,3516967.3,3509010.7,.0059,.0058,.5600000000000001,.57
SS,p57p58,2023,3600984.2,3596807.3,.006,.006,.57,.58
SS,p58p59,2023,3690979.3,3690723.3,.0061,.0061,.58,.59
SS,p59p60,2023,3784983.7,3788840.5,.0063,.0063,.59,.6
SS,p5p6,2023,488672.5,42705,.0008,.0001,.05,.06
SS,p60p61,2023,3868606.8,3876281.3,.0064,.0065,.6,.61
SS,p61p62,2023,3955702.2,3967855.1,.0066,.0066,.61,.62
SS,p62p63,2023,4047415.6,4064265.5,.0067,.0068,.62,.63
SS,p63p64,2023,4149653.4,4171599.5,.0069,.0069,.63,.64
SS,p64p65,2023,4257439.9,4284680,.0071,.0071,.64,.65
SS,p65p66,2023,4375213.9,4408212.100000001,.0073,.0073,.65,.66
SS,p66p67,2023,4504908.4,4544038.100000001,.0075,.0076,.66,.67
SS,p67p68,2023,4644769.5,4690576.8,.0077,.0078,.67,.68
SS,p68p69,2023,4792864,4845610.7,.008,.0081,.68,.6899999999999999
SS,p69p70,2023,4941853.5,5001728.9,.0082,.0083,.6899999999999999,.7
SS,p6p7,2023,558406.2000000001,128114.9,.0009,.0002,.06,.07
SS,p70p71,2023,5095174.4,5162398.4,.0085,.0086,.7,.71
SS,p71p72,2023,5256872,5324296.2,.0088,.0089,.71,.72
SS,p72p73,2023,5433712,5501972.9,.009,.0092,.72,.73
SS,p73p74,2023,5621076.4,5690526.5,.0094,.0095,.73,.74
SS,p74p75,2023,5825838.5,5897121.5,.0097,.0098,.74,.75
SS,p75p76,2023,6050683,6124521,.0101,.0102,.75,.76
SS,p76p77,2023,6271518.100000001,6347628.7,.0104,.0106,.76,.77
SS,p77p78,2023,6480969.7,6558872.4,.0108,.0109,.77,.78
SS,p78p79,2023,6699836,6779817.7,.0112,.0113,.78,.79
SS,p79p80,2023,6964845.300000001,7048641.2,.0116,.0117,.79,.8
SS,p7p8,2023,616613,213524.9,.001,.0004,.07,.08
SS,p80p81,2023,7230320,7317856.7,.012,.0122,.8,.8100000000000001
SS,p81p82,2023,7541723,7633286.300000001,.0126,.0127,.8100000000000001,.82
SS,p82p83,2023,7845823.300000001,7940804.7,.0131,.0132,.82,.83
SS,p83p84,2023,8184253.5,8283656.4,.0136,.0138,.83,.84
SS,p84p85,2023,8520571.6,8624069.9,.0142,.0144,.84,.85
SS,p85p86,2023,8887568.200000001,8995897.5,.0148,.015,.85,.86
SS,p86p87,2023,9344989.4,9460943.6,.0156,.0158,.86,.87
SS,p87p88,2023,9878945.9,10004951.2,.0164,.0167,.87,.88
SS,p88p89,2023,10562428.7,10703466.8,.0176,.0178,.88,.89
SS,p89p90,2023,11344426.5,11503421.4,.0189,.0192,.89,.9
SS,p8p9,2023,670381,298934.8,.0011,.0005,.08,.09
SS,p90p91,2023,12284023,12465940.6,.0205,.0208,.9,.91
SS,p91p92,2023,13456053.1,13657032.7,.0224,.0227,.91,.92
SS,p92p93,2023,15020889.8,15250467.1,.025,.0254,.92,.93
SS,p93p94,2023,17042431.9,17310439.9,.0284,.0288,.93,.9399999999999999
SS,p94p95,2023,19706182.2,20025971.1,.0328,.0333,.9399999999999999,.95
SS,p95p96,2023,22800827.8,23176165.2,.038,.0386,.95,.96
SS,p96p97,2023,26584594.3,27000563.9,.0443,.045,.96,.97
SS,p97p98,2023,32683791.9,33174629.3,.0544,.0552,.97,.98
SS,p98p99,2023,44414572.6,45066705.90000001,.074,.075,.98,.99
SS,p99.1p99.2,2023,55518439.40000001,56249621.6,.0092,.0094,.991,.992
SS,p99.2p99.3,2023,58634975.2,59427952.7,.0098,.0099,.992,.993
SS,p99.3p99.4,2023,62416853.40000001,63284742.5,.0104,.0105,.993,.9940000000000001
SS,p99.4p99.5,2023,67148127.8,68109425.60000001,.0112,.0113,.9940000000000001,.995
SS,p99.5p99.6,2023,73320835.7,74403721.60000001,.0122,.0124,.995,.996
SS,p99.6p99.7,2023,81888355.80000001,83139506.2,.0136,.0138,.996,.997
SS,p99.7p99.8,2023,95045637.90000001,96554574.30000001,.0158,.0161,.997,.998
SS,p99.8p99.9,2023,119753406.3,121745171,.0199,.0203,.998,.9990000000000001
SS,p99.9p100,2023,251218276.1,255775018.7,.0418,.0426,.9990000000000001,1
SS,p99p99.1,2023,52890361.40000001,53569184.3,.0088,.0089,.99,.991
SS,p9p10,2023,726511.5,384344.8,.0012,.0006,.09,.1
