country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ST,p0p1,2023,5753.8,0,.0004,0,0,.01
ST,p10p11,2023,26361.8,13565,.0018,.0009,.1,.11
ST,p11p12,2023,27671.1,16031.4,.0019,.0011,.11,.12
ST,p12p13,2023,28886.3,18497.7,.002,.0013,.12,.13
ST,p13p14,2023,30340.8,20964.1,.0021,.0014,.13,.14
ST,p14p15,2023,31480.3,23430.5,.0021,.0016,.14,.15
ST,p15p16,2023,32792.3,25896.8,.0022,.0018,.15,.16
ST,p16p17,2023,33832.4,28363.2,.0023,.0019,.16,.17
ST,p17p18,2023,35229.7,30829.6,.0024,.0021,.17,.18
ST,p18p19,2023,36546.1,33295.9,.0025,.0023,.18,.19
ST,p19p20,2023,37884.4,35762.3,.0026,.0024,.19,.2
ST,p1p2,2023,8265.200000000001,0,.0006,0,.01,.02
ST,p20p21,2023,38843.5,36995.5,.0026,.0025,.2,.21
ST,p21p22,2023,39950.5,38125.1,.0027,.0026,.21,.22
ST,p22p23,2023,41112,39309,.0028,.0027,.22,.23
ST,p23p24,2023,42306.10000000001,40524.60000000001,.0029,.0027,.23,.24
ST,p24p25,2023,43363.7,41598.8,.0029,.0028,.24,.25
ST,p25p26,2023,44440.8,42688.2,.003,.0029,.25,.26
ST,p26p27,2023,45507.2,43747.9,.0031,.003,.26,.27
ST,p27p28,2023,46694.3,44927.10000000001,.0032,.003,.27,.28
ST,p28p29,2023,47779.2,45999.4,.0032,.0031,.28,.29
ST,p29p30,2023,48874.7,47081.7,.0033,.0032,.29,.3
ST,p2p3,2023,11134.6,0,.0008,0,.02,.03
ST,p30p31,2023,49914.8,48102,.0034,.0033,.3,.31
ST,p31p32,2023,51208.3,49414.7,.0035,.0033,.31,.32
ST,p32p33,2023,52310,50527.10000000001,.0035,.0034,.32,.33
ST,p33p34,2023,53720.5,51956.8,.0036,.0035,.33,.34
ST,p34p35,2023,55143.3,53400.4,.0037,.0036,.34,.35
ST,p35p36,2023,56533.60000000001,54807,.0038,.0037,.35,.36
ST,p36p37,2023,57930.10000000001,56250,.0039,.0038,.36,.37
ST,p37p38,2023,59300.10000000001,57665.7,.004,.0039,.37,.38
ST,p38p39,2023,60652.60000000001,59061.2,.0041,.004,.38,.39
ST,p39p40,2023,61763.9,60208,.0042,.0041,.39,.4
ST,p3p4,2023,13421.5,0,.0009,0,.03,.04
ST,p40p41,2023,63021.3,61503.2,.0043,.0042,.4,.41
ST,p41p42,2023,64317.5,62862.9,.0044,.0043,.41,.42
ST,p42p43,2023,65669,64278.8,.0044,.0044,.42,.43
ST,p43p44,2023,67322.40000000001,66004.40000000001,.0046,.0045,.43,.44
ST,p44p45,2023,68789.3,67540,.0047,.0046,.44,.45
ST,p45p46,2023,70445.3,69269.60000000001,.0048,.0047,.45,.46
ST,p46p47,2023,71832.90000000001,70699.5,.0049,.0048,.46,.47
ST,p47p48,2023,73553.2,72471.40000000001,.005,.0049,.47,.48
ST,p48p49,2023,75065.8,74030.10000000001,.0051,.005,.48,.49
ST,p49p50,2023,77379.10000000001,76413.5,.0052,.0052,.49,.5
ST,p4p5,2023,15669.8,0,.0011,0,.04,.05
ST,p50p51,2023,78740.40000000001,77815.8,.0053,.0053,.5,.51
ST,p51p52,2023,80037.40000000001,79166.10000000001,.0054,.0054,.51,.52
ST,p52p53,2023,81407.40000000001,80592,.0055,.0055,.52,.53
ST,p53p54,2023,82686,81925.60000000001,.0056,.0055,.53,.54
ST,p54p55,2023,84278.60000000001,83581.10000000001,.0057,.0057,.54,.55
ST,p55p56,2023,86248.8,85629.3,.0058,.0058,.55,.5600000000000001
ST,p56p57,2023,88028,87490.20000000001,.006,.0059,.5600000000000001,.57
ST,p57p58,2023,90198.8,89755.8,.0061,.0061,.57,.58
ST,p58p59,2023,92388.10000000001,92041.10000000001,.0063,.0062,.58,.59
ST,p59p60,2023,94553.60000000001,94304,.0064,.0064,.59,.6
ST,p5p6,2023,17583.6,1233.2,.0012,.0001,.05,.06
