country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SV,p0p1,2023,352.3,0,.0005,0,0,.01
SV,p10p11,2023,365,.5,.0005,0,.1,.11
SV,p11p12,2023,365.7,.6000000000000001,.0005,0,.11,.12
SV,p12p13,2023,367,.6000000000000001,.0005,0,.12,.13
SV,p13p14,2023,367.8,.6000000000000001,.0005,0,.13,.14
SV,p14p15,2023,368.6,.7000000000000001,.0005,0,.14,.15
SV,p15p16,2023,381.9,.7000000000000001,.0005,0,.15,.16
SV,p16p17,2023,427.7,.8,.0006,0,.16,.17
SV,p17p18,2023,490.5,.8,.0007,0,.17,.18
SV,p18p19,2023,571.7,.9,.0008,0,.18,.19
SV,p19p20,2023,692.7,10.3,.001,0,.19,.2
SV,p1p2,2023,353.1,.1,.0005,0,.01,.02
SV,p20p21,2023,905.8000000000001,161.4,.0012,.0002,.2,.21
SV,p21p22,2023,1186.1,303.5,.0016,.0004,.21,.22
SV,p22p23,2023,1486.5,456,.002,.0006,.22,.23
SV,p23p24,2023,1730.3,612.5,.0024,.0008,.23,.24
SV,p24p25,2023,1960,799,.0027,.0011,.24,.25
SV,p25p26,2023,2063.2,971.9000000000001,.0028,.0013,.25,.26
SV,p26p27,2023,2162.3,1157.8,.003,.0016,.26,.27
SV,p27p28,2023,2248.1,1364.9,.0031,.0019,.27,.28
SV,p28p29,2023,2361.6,1570.5,.0032,.0022,.28,.29
SV,p29p30,2023,2424.7,1723.6,.0033,.0024,.29,.3
SV,p2p3,2023,354,.1,.0005,0,.02,.03
SV,p30p31,2023,2541.9,1898.4,.0035,.0026,.3,.31
SV,p31p32,2023,2682.8,2081.9,.0037,.0029,.31,.32
SV,p32p33,2023,2845.7,2270.2,.0039,.0031,.32,.33
SV,p33p34,2023,3001.8,2446.6,.0041,.0034,.33,.34
SV,p34p35,2023,3157.7,2626.7,.0043,.0036,.34,.35
SV,p35p36,2023,3303.4,2792.8,.0045,.0038,.35,.36
SV,p36p37,2023,3386.8,2900.4,.0047,.004,.36,.37
SV,p37p38,2023,3519.7,3066.9,.0048,.0042,.37,.38
SV,p38p39,2023,3630.9,3192.7,.005,.0044,.38,.39
SV,p39p40,2023,3750.6,3332,.0052,.0046,.39,.4
SV,p3p4,2023,355.6,.1,.0005,0,.03,.04
SV,p40p41,2023,3858.9,3460.9,.0053,.0048,.4,.41
SV,p41p42,2023,3988.7,3604.3,.0055,.005,.41,.42
SV,p42p43,2023,4101.400000000001,3748.5,.0056,.0052,.42,.43
SV,p43p44,2023,4224,3878,.0058,.0053,.43,.44
SV,p44p45,2023,4386.900000000001,4048.7,.006,.0056,.44,.45
SV,p45p46,2023,4529.400000000001,4194.8,.0062,.0058,.45,.46
SV,p46p47,2023,4593,4262.3,.0063,.0059,.46,.47
SV,p47p48,2023,4676,4343.1,.0064,.006,.47,.48
SV,p48p49,2023,4788.400000000001,4473.8,.0066,.0062,.48,.49
SV,p49p50,2023,4918.400000000001,4607.3,.0068,.0063,.49,.5
SV,p4p5,2023,357.3,.2,.0005,0,.04,.05
SV,p50p51,2023,5024.3,4717.900000000001,.0069,.0065,.5,.51
SV,p51p52,2023,5110.8,4817.5,.007,.0066,.51,.52
SV,p52p53,2023,5277,4982.700000000001,.0073,.0069,.52,.53
SV,p53p54,2023,5443.400000000001,5145.3,.0075,.0071,.53,.54
SV,p54p55,2023,5558,5289,.0076,.0073,.54,.55
SV,p55p56,2023,5708.200000000001,5457.400000000001,.0078,.0075,.55,.5600000000000001
SV,p56p57,2023,5858.400000000001,5632.3,.0081,.0077,.5600000000000001,.57
SV,p57p58,2023,5914.6,5691.8,.0081,.0078,.57,.58
SV,p58p59,2023,6076.8,5870.900000000001,.0084,.0081,.58,.59
SV,p59p60,2023,6269.5,6067.6,.0086,.0083,.59,.6
SV,p5p6,2023,359.1,.3,.0005,0,.05,.06
SV,p60p61,2023,6451.5,6271.1,.0089,.0086,.6,.61
SV,p61p62,2023,6610.8,6442.200000000001,.0091,.0089,.61,.62
SV,p62p63,2023,6785.3,6631,.0093,.0091,.62,.63
SV,p63p64,2023,6952.8,6807.400000000001,.0096,.0094,.63,.64
SV,p64p65,2023,7165.5,7020.900000000001,.0099,.0097,.64,.65
SV,p65p66,2023,7284.3,7136.5,.01,.0098,.65,.66
SV,p66p67,2023,7490,7354.900000000001,.0103,.0101,.66,.67
SV,p67p68,2023,7680.8,7542.3,.0106,.0104,.67,.68
SV,p68p69,2023,7863.200000000001,7744.700000000001,.0108,.0106,.68,.6899999999999999
SV,p69p70,2023,8050.3,7939.1,.0111,.0109,.6899999999999999,.7
SV,p6p7,2023,360.9,.3,.0005,0,.06,.07
SV,p70p71,2023,8253.700000000001,8153.5,.0113,.0112,.7,.71
SV,p71p72,2023,8472.300000000001,8384.9,.0116,.0115,.71,.72
SV,p72p73,2023,8586.200000000001,8520.5,.0118,.0117,.72,.73
SV,p73p74,2023,8637,8555.700000000001,.0119,.0118,.73,.74
SV,p74p75,2023,8709.5,8662,.012,.0119,.74,.75
SV,p75p76,2023,8844.1,8803,.0122,.0121,.75,.76
SV,p76p77,2023,8997.300000000001,8972.5,.0124,.0123,.76,.77
SV,p77p78,2023,9172,9177.800000000001,.0126,.0126,.77,.78
SV,p78p79,2023,9331.300000000001,9377.5,.0128,.0129,.78,.79
SV,p79p80,2023,9451.700000000001,9513.300000000001,.013,.0131,.79,.8
SV,p7p8,2023,361.5,.3,.0005,0,.07,.08
SV,p80p81,2023,9664.800000000001,9780.6,.0133,.0134,.8,.8100000000000001
SV,p81p82,2023,9902.200000000001,10050.6,.0136,.0138,.8100000000000001,.82
SV,p82p83,2023,10218.2,10422.1,.014,.0143,.82,.83
SV,p83p84,2023,10590.5,10860.4,.0146,.0149,.83,.84
SV,p84p85,2023,10928,11278.8,.015,.0155,.84,.85
SV,p85p86,2023,11372.9,11794.9,.0156,.0162,.85,.86
SV,p86p87,2023,11866.4,12342.3,.0163,.017,.86,.87
SV,p87p88,2023,12410.1,12939.6,.0171,.0178,.87,.88
SV,p88p89,2023,13024.7,13618.7,.0179,.0187,.88,.89
SV,p89p90,2023,13738.6,14266.8,.0189,.0196,.89,.9
SV,p8p9,2023,362.7,.4,.0005,0,.08,.09
SV,p90p91,2023,14479.1,14815.2,.0199,.0204,.9,.91
SV,p91p92,2023,15403.6,15363.7,.0212,.0211,.91,.92
SV,p92p93,2023,16552.9,15912.1,.0228,.0219,.92,.93
SV,p93p94,2023,17937.3,16460.6,.0247,.0226,.93,.9399999999999999
SV,p94p95,2023,20400,18341.4,.028,.0252,.9399999999999999,.95
SV,p95p96,2023,24202.2,22580.8,.0333,.031,.95,.96
SV,p96p97,2023,25495.9,24755.4,.0351,.034,.96,.97
SV,p97p98,2023,28902.4,30175.6,.0397,.0415,.97,.98
SV,p98p99,2023,39251.1,40873.5,.054,.0562,.98,.99
SV,p99.1p99.2,2023,54695.9,66530.8,.0075,.0091,.991,.992
SV,p99.2p99.3,2023,60654.8,74448,.0083,.0102,.992,.993
SV,p99.3p99.4,2023,69378.90000000001,82212.20000000001,.0095,.0113,.993,.9940000000000001
SV,p99.4p99.5,2023,80009.5,89586,.011,.0123,.9940000000000001,.995
