country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SX,p0p1,2023,0,0,0,0,0,.01
SX,p10p11,2023,9908.1,4769.2,.0013,.0006,.1,.11
SX,p11p12,2023,11389.8,5786.700000000001,.0015,.0007,.11,.12
SX,p12p13,2023,13318,6830.400000000001,.0017,.0009,.12,.13
SX,p13p14,2023,16555,7896.200000000001,.0021,.001,.13,.14
SX,p14p15,2023,17624,8981.700000000001,.0023,.0012,.14,.15
SX,p15p16,2023,20785,10086.2,.0027,.0013,.15,.16
SX,p16p17,2023,21676,11207.2,.0028,.0015,.16,.17
SX,p17p18,2023,22796.6,12343.3,.003,.0016,.17,.18
SX,p18p19,2023,23615.3,13495.1,.0031,.0017,.18,.19
SX,p19p20,2023,23643.4,14659.4,.0031,.0019,.19,.2
SX,p1p2,2023,0,0,0,0,.01,.02
SX,p20p21,2023,23728.5,15246.3,.0031,.002,.2,.21
SX,p21p22,2023,24029.8,16467.1,.0031,.0021,.21,.22
SX,p22p23,2023,24078.5,17689.3,.0031,.0023,.22,.23
SX,p23p24,2023,25236.3,18913.3,.0033,.0025,.23,.24
SX,p24p25,2023,25344.9,20138.3,.0033,.0026,.24,.25
SX,p25p26,2023,25648.9,21363.2,.0033,.0028,.25,.26
SX,p26p27,2023,25983.4,22589.1,.0034,.0029,.26,.27
SX,p27p28,2023,27060.2,23813.6,.0035,.0031,.27,.28
SX,p28p29,2023,28258.5,25038.1,.0037,.0032,.28,.29
SX,p29p30,2023,29461.3,26261.6,.0038,.0034,.29,.3
SX,p2p3,2023,0,0,0,0,.02,.03
SX,p30p31,2023,30665.6,27483.4,.004,.0036,.3,.31
SX,p31p32,2023,31874,28702.8,.0041,.0037,.31,.32
SX,p32p33,2023,33076.4,29920.4,.0043,.0039,.32,.33
SX,p33p34,2023,34277.4,31135.2,.0044,.004,.33,.34
SX,p34p35,2023,35477.5,32347.3,.0046,.0042,.34,.35
SX,p35p36,2023,36679.5,33555.2,.0048,.0043,.35,.36
SX,p36p37,2023,37868.1,34759.9,.0049,.0045,.36,.37
SX,p37p38,2023,39043.8,35961,.0051,.0047,.37,.38
SX,p38p39,2023,40220.5,37156.9,.0052,.0048,.38,.39
SX,p39p40,2023,41389.3,38347.8,.0054,.005,.39,.4
SX,p3p4,2023,0,0,0,0,.03,.04
SX,p40p41,2023,42548,39534.60000000001,.0055,.0051,.4,.41
SX,p41p42,2023,43678.2,40715.4,.0057,.0053,.41,.42
SX,p42p43,2023,44803.8,41890.7,.0058,.0054,.42,.43
SX,p43p44,2023,45919.2,43059,.006,.0056,.43,.44
SX,p44p45,2023,47023.7,44222.4,.0061,.0057,.44,.45
SX,p45p46,2023,48114.8,45377.8,.0062,.0059,.45,.46
SX,p46p47,2023,49208.60000000001,46526.4,.0064,.006,.46,.47
SX,p47p48,2023,50285,47668.10000000001,.0065,.0062,.47,.48
SX,p48p49,2023,51349.9,48800.60000000001,.0067,.0063,.48,.49
SX,p49p50,2023,52412.4,49925.7,.0068,.0065,.49,.5
SX,p4p5,2023,0,0,0,0,.04,.05
SX,p50p51,2023,53456.2,51040.8,.0069,.0066,.5,.51
SX,p51p52,2023,54484.2,52147,.0071,.0068,.51,.52
SX,p52p53,2023,55504,53242.7,.0072,.0069,.52,.53
SX,p53p54,2023,56501.3,54327.4,.0073,.007,.53,.54
SX,p54p55,2023,57484.7,55400.5,.0074,.0072,.54,.55
SX,p55p56,2023,58456.7,56461.7,.0076,.0073,.55,.5600000000000001
SX,p56p57,2023,59403.3,57510.5,.0077,.0075,.5600000000000001,.57
SX,p57p58,2023,60338.5,58546.4,.0078,.0076,.57,.58
SX,p58p59,2023,61258.5,59568,.0079,.0077,.58,.59
