country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SY,p0p1,2023,3183464.9,0,.0009,0,0,.01
SY,p10p11,2023,6587473.7,2779217.4,.0018,.0007,.1,.11
SY,p11p12,2023,6798255.100000001,3284529.7,.0018,.0009,.11,.12
SY,p12p13,2023,6988624,3789841.9,.0019,.001,.12,.13
SY,p13p14,2023,7174777.300000001,4295154,.0019,.0012,.13,.14
SY,p14p15,2023,7378680.600000001,4800466.9,.002,.0013,.14,.15
SY,p15p16,2023,7568383.800000001,5305778.9,.002,.0014,.15,.16
SY,p16p17,2023,7787152.7,5811090.9,.0021,.0016,.16,.17
SY,p17p18,2023,7982181,6316403.4,.0021,.0017,.17,.18
SY,p18p19,2023,8173215.5,6821715.800000001,.0022,.0018,.18,.19
SY,p19p20,2023,8371350,7327027.9,.0022,.002,.19,.2
SY,p1p2,2023,3771656,0,.001,0,.01,.02
SY,p20p21,2023,8594334.6,7579683.9,.0023,.002,.2,.21
SY,p21p22,2023,8821312.9,7816566,.0024,.0021,.21,.22
SY,p22p23,2023,9025216.200000001,8031017.800000001,.0024,.0022,.22,.23
SY,p23p24,2023,9247978.800000001,8263582,.0025,.0022,.23,.24
SY,p24p25,2023,9461644.6,8487139.4,.0025,.0023,.24,.25
SY,p25p26,2023,9690619.800000001,8725944.700000001,.0026,.0023,.25,.26
SY,p26p27,2023,9930466.800000001,8970544.800000001,.0027,.0024,.26,.27
SY,p27p28,2023,10173642,9218593.4,.0027,.0025,.27,.28
SY,p28p29,2023,10399954.7,9449670.300000001,.0028,.0025,.28,.29
SY,p29p30,2023,10648454.9,9702414.700000001,.0029,.0026,.29,.3
SY,p2p3,2023,4304600.100000001,0,.0012,0,.02,.03
SY,p30p31,2023,10906495.7,9964882.700000001,.0029,.0027,.3,.31
SY,p31p32,2023,11192714.7,10248323.9,.003,.0028,.31,.32
SY,p32p33,2023,11470058.6,10523209.9,.0031,.0028,.32,.33
SY,p33p34,2023,11701252.6,10752706.8,.0031,.0029,.33,.34
SY,p34p35,2023,11960624.6,11010026.5,.0032,.003,.34,.35
SY,p35p36,2023,12197143.5,11244988.8,.0033,.003,.35,.36
SY,p36p37,2023,12455184.4,11502293,.0033,.0031,.36,.37
SY,p37p38,2023,12742290.8,11788502.4,.0034,.0032,.37,.38
SY,p38p39,2023,13007209.8,12052614.5,.0035,.0032,.38,.39
SY,p39p40,2023,13269688.1,12314587.5,.0036,.0033,.39,.4
SY,p3p4,2023,4700203.5,0,.0013,0,.03,.04
SY,p40p41,2023,13588522.7,12631704.3,.0037,.0034,.4,.41
SY,p41p42,2023,13897816.7,12941433.4,.0037,.0035,.41,.42
SY,p42p43,2023,14233957.6,13277838.6,.0038,.0036,.42,.43
SY,p43p44,2023,14599386,13642749.6,.0039,.0037,.43,.44
SY,p44p45,2023,14962817.5,14006205.4,.004,.0038,.44,.45
SY,p45p46,2023,15330242.8,14373623.7,.0041,.0039,.45,.46
SY,p46p47,2023,15688571.2,14731803.9,.0042,.004,.46,.47
SY,p47p48,2023,16056884,15099662.5,.0043,.0041,.47,.48
SY,p48p49,2023,16442724.9,15485354.4,.0044,.0042,.48,.49
SY,p49p50,2023,16826568.9,15868603.9,.0045,.0043,.49,.5
SY,p4p5,2023,5025916.3,0,.0014,0,.04,.05
SY,p50p51,2023,17227275.5,16269268.8,.0046,.0044,.5,.51
SY,p51p52,2023,17652166.4,16694780.3,.0047,.0045,.51,.52
SY,p52p53,2023,18108341.7,17151158.5,.0049,.0046,.52,.53
SY,p53p54,2023,18529238.9,17573522.1,.005,.0047,.53,.54
SY,p54p55,2023,18963004.9,18008466.8,.0051,.0048,.54,.55
SY,p55p56,2023,19406089.6,18453023.1,.0052,.005,.55,.5600000000000001
SY,p56p57,2023,19876908.7,18924956.8,.0053,.0051,.5600000000000001,.57
SY,p57p58,2023,20342624.7,19392484.2,.0055,.0052,.57,.58
SY,p58p59,2023,20824537.5,19876049,.0056,.0053,.58,.59
SY,p59p60,2023,21333297.3,20386316.8,.0057,.0055,.59,.6
SY,p5p6,2023,5323894.600000001,252656.1,.0014,.0001,.05,.06
SY,p60p61,2023,21837175.8,20892003.3,.0059,.0056,.6,.61
SY,p61p62,2023,22387870,21448138.6,.006,.0058,.61,.62
SY,p62p63,2023,22930132.9,21995981.3,.0062,.0059,.62,.63
SY,p63p64,2023,23432902,22505467.3,.0063,.006,.63,.64
SY,p64p65,2023,23936336.8,23016161.6,.0064,.0062,.64,.65
SY,p65p66,2023,24502118.4,23588620.3,.0066,.0063,.65,.66
SY,p66p67,2023,25133131.4,24227355.6,.0068,.0065,.66,.67
SY,p67p68,2023,25787219.4,24889412,.0069,.0067,.67,.68
SY,p68p69,2023,26514082.4,25624120.4,.0071,.0069,.68,.6899999999999999
SY,p69p70,2023,27244051.7,26362845.1,.0073,.0071,.6899999999999999,.7
SY,p6p7,2023,5603013.600000001,757968.3,.0015,.0002,.06,.07
SY,p70p71,2023,27966033.5,27094095.4,.0075,.0073,.7,.71
SY,p71p72,2023,28725956,27871232.3,.0077,.0075,.71,.72
SY,p72p73,2023,29538241,28701678.1,.0079,.0077,.72,.73
SY,p73p74,2023,30373601,29556407.1,.0082,.0079,.73,.74
SY,p74p75,2023,31232923.5,30436783.5,.0084,.0082,.74,.75
SY,p75p76,2023,32124861.7,31351047.8,.0086,.0084,.75,.76
SY,p76p77,2023,33191415.6,32439449.6,.0089,.0087,.76,.77
SY,p77p78,2023,34310997.7,33582727.2,.0092,.009,.77,.78
SY,p78p79,2023,35473845.4,34771343.7,.0095,.0093,.78,.79
SY,p79p80,2023,36714127.6,36040206.2,.0099,.0097,.79,.8
SY,p7p8,2023,5882798.2,1263280.6,.0016,.0003,.07,.08
SY,p80p81,2023,38346907,37704027.3,.0103,.0101,.8,.8100000000000001
SY,p81p82,2023,40189802.1,39600169,.0108,.0106,.8100000000000001,.82
SY,p82p83,2023,42389028.8,41859378.2,.0114,.0112,.82,.83
SY,p83p84,2023,44977202.6,44516114.90000001,.0121,.012,.83,.84
SY,p84p85,2023,47995370.5,47613759.2,.0129,.0128,.84,.85
SY,p85p86,2023,51546038.8,51257022.3,.0138,.0138,.85,.86
SY,p86p87,2023,55696213.8,55515305.90000001,.015,.0149,.86,.87
SY,p87p88,2023,60520445.5,60467022.3,.0163,.0162,.87,.88
SY,p88p89,2023,66123237.2,66221978.8,.0178,.0178,.88,.89
SY,p89p90,2023,72799904.8,73082303.5,.0196,.0196,.89,.9
SY,p8p9,2023,6133960.9,1768593,.0016,.0005,.08,.09
SY,p90p91,2023,80285307.3,80783410.30000001,.0216,.0217,.9,.91
SY,p91p92,2023,88178627.30000001,89209445.7,.0237,.024,.91,.92
SY,p92p93,2023,96716716.5,98373652.80000001,.026,.0264,.92,.93
SY,p93p94,2023,106544233.3,108949769.5,.0286,.0293,.93,.9399999999999999
SY,p94p95,2023,119385480.4,122740455.2,.0321,.033,.9399999999999999,.95
SY,p95p96,2023,135696078.6,140262977.2,.0365,.0377,.95,.96
SY,p96p97,2023,155232076.1,162798463.6,.0417,.0437,.96,.97
SY,p97p98,2023,187522012.9,199589401.7,.0504,.0536,.97,.98
SY,p98p99,2023,250463782.1,270637227.9,.0673,.0727,.98,.99
SY,p99.1p99.2,2023,433579576.1,476118732.7,.0116,.0128,.991,.992
SY,p99.2p99.3,2023,458152805.6,503303086.2,.0123,.0135,.992,.993
SY,p99.3p99.4,2023,486023100,534103727.6,.0131,.0143,.993,.9940000000000001
SY,p99.4p99.5,2023,526814849.4,579104241.1,.0142,.0156,.9940000000000001,.995
SY,p99.5p99.6,2023,576387308.6,633765060.7,.0155,.017,.995,.996
SY,p99.6p99.7,2023,634761000.9,698102827.1,.0171,.0188,.996,.997
SY,p99.7p99.8,2023,729303396.2,802220176.2,.0196,.0216,.997,.998
SY,p99.8p99.9,2023,908503925.6,999484811.6,.0244,.0269,.998,.9990000000000001
SY,p99.9p100,2023,2158792955.9,2375840374.5,.058,.0638,.9990000000000001,1
SY,p99p99.1,2023,413468811,453824057.1,.0111,.0122,.99,.991
SY,p9p10,2023,6376470.4,2273905.2,.0017,.0006,.09,.1
