country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
SZ,p0p1,2023,10076.8,0,.0009,0,0,.01
SZ,p10p11,2023,14807,5456,.0014,.0005,.1,.11
SZ,p11p12,2023,15201,6447.900000000001,.0014,.0006,.11,.12
SZ,p12p13,2023,15552.7,7439.900000000001,.0015,.0007,.12,.13
SZ,p13p14,2023,15866.9,8431.9,.0015,.0008,.13,.14
SZ,p14p15,2023,16105.1,9423.9,.0015,.0009,.14,.15
SZ,p15p16,2023,16360.5,10415.9,.0015,.001,.15,.16
SZ,p16p17,2023,17106.2,11407.9,.0016,.0011,.16,.17
SZ,p17p18,2023,17917.7,12399.9,.0017,.0012,.17,.18
SZ,p18p19,2023,18716.7,13391.9,.0018,.0013,.18,.19
SZ,p19p20,2023,19478.8,14383.9,.0018,.0014,.19,.2
SZ,p1p2,2023,10361.9,0,.001,0,.01,.02
SZ,p20p21,2023,20379.1,14879.9,.0019,.0014,.2,.21
SZ,p21p22,2023,21107.1,15454.5,.002,.0015,.21,.22
SZ,p22p23,2023,21750.2,15937.6,.002,.0015,.22,.23
SZ,p23p24,2023,22470.5,16499.1,.0021,.0016,.23,.24
SZ,p24p25,2023,23187.7,17054.9,.0022,.0016,.24,.25
SZ,p25p26,2023,23995.5,17703,.0023,.0017,.25,.26
SZ,p26p27,2023,24507.4,18325.8,.0023,.0017,.26,.27
SZ,p27p28,2023,25006.7,18931.8,.0024,.0018,.27,.28
SZ,p28p29,2023,25469.2,19495,.0024,.0018,.28,.29
SZ,p29p30,2023,25928.5,20052.7,.0024,.0019,.29,.3
SZ,p2p3,2023,10822.5,0,.001,0,.02,.03
SZ,p30p31,2023,26468.9,20690.8,.0025,.0019,.3,.31
SZ,p31p32,2023,27061.9,21388.2,.0025,.002,.31,.32
SZ,p32p33,2023,27521.3,21944.1,.0026,.0021,.32,.33
SZ,p33p34,2023,27953.4,22471.7,.0026,.0021,.33,.34
SZ,p34p35,2023,28446.9,23063.4,.0027,.0022,.34,.35
SZ,p35p36,2023,28947.4,23663.7,.0027,.0022,.35,.36
SZ,p36p37,2023,29658.9,24394.1,.0028,.0023,.36,.37
SZ,p37p38,2023,30443.9,25203.8,.0029,.0024,.37,.38
SZ,p38p39,2023,31057.8,25833.9,.0029,.0024,.38,.39
SZ,p39p40,2023,31921.4,26728.9,.003,.0025,.39,.4
SZ,p3p4,2023,11171.6,0,.0011,0,.03,.04
