country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TC,p0p1,2023,0,0,0,0,0,.01
TC,p10p11,2023,5104.3,2456.6,.0013,.0006,.1,.11
TC,p11p12,2023,5867.8,2981.3,.0015,.0007,.11,.12
TC,p12p13,2023,6860.700000000001,3518.7,.0017,.0009,.12,.13
TC,p13p14,2023,8528.5,4067.8,.0021,.001,.13,.14
TC,p14p15,2023,9079.200000000001,4627,.0023,.0012,.14,.15
TC,p15p16,2023,10707.9,5196,.0027,.0013,.15,.16
TC,p16p17,2023,11166.4,5773.5,.0028,.0015,.16,.17
TC,p17p18,2023,11743.9,6358.8,.003,.0016,.17,.18
TC,p18p19,2023,12165.9,6952.200000000001,.0031,.0017,.18,.19
TC,p19p20,2023,12179.9,7551.900000000001,.0031,.0019,.19,.2
TC,p1p2,2023,0,0,0,0,.01,.02
TC,p20p21,2023,12224.7,7854.3,.0031,.002,.2,.21
TC,p21p22,2023,12379,8483.200000000001,.0031,.0021,.21,.22
TC,p22p23,2023,12404.3,9112.800000000001,.0031,.0023,.22,.23
TC,p23p24,2023,13000.8,9743.4,.0033,.0025,.23,.24
TC,p24p25,2023,13056.7,10374.5,.0033,.0026,.24,.25
TC,p25p26,2023,13212.9,11005.5,.0033,.0028,.25,.26
TC,p26p27,2023,13385.6,11636.8,.0034,.0029,.26,.27
TC,p27p28,2023,13940.6,12268.1,.0035,.0031,.27,.28
TC,p28p29,2023,14557.4,12898.6,.0037,.0032,.28,.29
TC,p29p30,2023,15177.1,13529,.0038,.0034,.29,.3
TC,p2p3,2023,0,0,0,0,.02,.03
TC,p30p31,2023,15798.2,14158.1,.004,.0036,.3,.31
TC,p31p32,2023,16420,14786.8,.0041,.0037,.31,.32
TC,p32p33,2023,17039.6,15413.8,.0043,.0039,.32,.33
TC,p33p34,2023,17658.4,16039.6,.0044,.004,.33,.34
TC,p34p35,2023,18276.6,16663.8,.0046,.0042,.34,.35
TC,p35p36,2023,18895.8,17286.6,.0048,.0043,.35,.36
TC,p36p37,2023,19508.4,17906.9,.0049,.0045,.36,.37
TC,p37p38,2023,20113.6,18525.7,.0051,.0047,.37,.38
TC,p38p39,2023,20720.2,19141.8,.0052,.0048,.38,.39
TC,p39p40,2023,21321.9,19755.3,.0054,.005,.39,.4
TC,p3p4,2023,0,0,0,0,.03,.04
TC,p40p41,2023,21919,20366.7,.0055,.0051,.4,.41
TC,p41p42,2023,22501,20975,.0057,.0053,.41,.42
TC,p42p43,2023,23081.4,21580.2,.0058,.0054,.42,.43
TC,p43p44,2023,23655.8,22182.6,.006,.0056,.43,.44
TC,p44p45,2023,24224.5,22781.6,.0061,.0057,.44,.45
TC,p45p46,2023,24787.1,23376.9,.0062,.0059,.45,.46
TC,p46p47,2023,25350.3,23968.6,.0064,.006,.46,.47
TC,p47p48,2023,25904.8,24556.7,.0065,.0062,.47,.48
TC,p48p49,2023,26453.4,25140.2,.0067,.0063,.48,.49
TC,p49p50,2023,27001.1,25719.8,.0068,.0065,.49,.5
TC,p4p5,2023,0,0,0,0,.04,.05
TC,p50p51,2023,27538.3,26294.2,.0069,.0066,.5,.51
TC,p51p52,2023,28068.4,26864.1,.0071,.0068,.51,.52
TC,p52p53,2023,28593.2,27428.6,.0072,.0069,.52,.53
TC,p53p54,2023,29107.2,27987.3,.0073,.007,.53,.54
TC,p54p55,2023,29614.1,28540.2,.0074,.0072,.54,.55
TC,p55p56,2023,30114.6,29086.9,.0076,.0073,.55,.5600000000000001
