country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TD,p0p1,2023,49153.2,0,.0004,0,0,.01
TD,p10p11,2023,274549.5,135236.7,.0021,.001,.1,.11
TD,p11p12,2023,286378.1,159825.2,.0021,.0012,.11,.12
TD,p12p13,2023,298628.6,184413.7,.0022,.0014,.12,.13
TD,p13p14,2023,312741.7,209002.2,.0023,.0016,.13,.14
TD,p14p15,2023,326321.6,233590.7,.0024,.0017,.14,.15
TD,p15p16,2023,338556.1,258179.2,.0025,.0019,.15,.16
TD,p16p17,2023,351515.1,282767.7,.0026,.0021,.16,.17
TD,p17p18,2023,364450.1,307356.2,.0027,.0023,.17,.18
TD,p18p19,2023,376143.4,331944.7,.0028,.0025,.18,.19
TD,p19p20,2023,388569,356533.1,.0029,.0027,.19,.2
TD,p1p2,2023,80810.3,0,.0006,0,.01,.02
TD,p20p21,2023,402180.7,368827.4,.003,.0028,.2,.21
TD,p21p22,2023,413675,380274,.0031,.0028,.21,.22
TD,p22p23,2023,425495.6,392042.6,.0032,.0029,.22,.23
TD,p23p24,2023,437228.7,403701,.0033,.003,.23,.24
TD,p24p25,2023,449232.4,415621.2,.0034,.0031,.24,.25
TD,p25p26,2023,461021.2,427327.7,.0035,.0032,.25,.26
TD,p26p27,2023,472889.6,438002.8,.0035,.0033,.26,.27
TD,p27p28,2023,484240.7,448150.1,.0036,.0034,.27,.28
TD,p28p29,2023,496228.5,458923.6,.0037,.0034,.28,.29
TD,p29p30,2023,507754.6,469212.1,.0038,.0035,.29,.3
TD,p2p3,2023,114743.9,0,.0009,0,.02,.03
TD,p30p31,2023,520681.7,480859.6,.0039,.0036,.3,.31
TD,p31p32,2023,532804.8,491995.2,.004,.0037,.31,.32
TD,p32p33,2023,543885.2000000001,502114.7,.0041,.0038,.32,.33
TD,p33p34,2023,558006.3,515186.1,.0042,.0039,.33,.34
TD,p34p35,2023,572740.3,528847.1,.0043,.004,.34,.35
TD,p35p36,2023,584640.6,539775.3,.0044,.004,.35,.36
TD,p36p37,2023,596572.6,552416.1,.0045,.0041,.36,.37
TD,p37p38,2023,612126.5,568562.4,.0046,.0043,.37,.38
TD,p38p39,2023,630848.5,587785.7000000001,.0047,.0044,.38,.39
TD,p39p40,2023,650772.5,608175.8,.0049,.0046,.39,.4
TD,p3p4,2023,142524.4,0,.0011,0,.03,.04
TD,p40p41,2023,673888.4,631658.8,.005,.0047,.4,.41
TD,p41p42,2023,698946.6000000001,657269.9,.0052,.0049,.41,.42
TD,p42p43,2023,716617.9,675755.7000000001,.0054,.0051,.42,.43
TD,p43p44,2023,735117,695050.8,.0055,.0052,.43,.44
TD,p44p45,2023,752000.3,712798,.0056,.0053,.44,.45
TD,p45p46,2023,764242.8,726026.8,.0057,.0054,.45,.46
TD,p46p47,2023,779183.8,740717.1000000001,.0058,.0055,.46,.47
TD,p47p48,2023,792309.9,753634,.0059,.0056,.47,.48
TD,p48p49,2023,807099.6000000001,768172.7000000001,.006,.0058,.48,.49
TD,p49p50,2023,824046.5,784805.4,.0062,.0059,.49,.5
TD,p4p5,2023,166038.3,0,.0012,0,.04,.05
TD,p50p51,2023,837602.4,798132.1000000001,.0063,.006,.5,.51
TD,p51p52,2023,851898.7000000001,812160.1000000001,.0064,.0061,.51,.52
TD,p52p53,2023,865375,825395.8,.0065,.0062,.52,.53
TD,p53p54,2023,878445.4,838254.6000000001,.0066,.0063,.53,.54
TD,p54p55,2023,892486.9,852079.5,.0067,.0064,.54,.55
TD,p55p56,2023,910428.8,869732.4,.0068,.0065,.55,.5600000000000001
TD,p56p57,2023,923531,883088.4,.0069,.0066,.5600000000000001,.57
TD,p57p58,2023,937747.6000000001,897577.5,.007,.0067,.57,.58
TD,p58p59,2023,954559.2000000001,914632.5,.0071,.0068,.58,.59
TD,p59p60,2023,973344.9,933673.4,.0073,.007,.59,.6
TD,p5p6,2023,187785.1,12294.2,.0014,.0001,.05,.06
TD,p60p61,2023,990164.4,950822.6000000001,.0074,.0071,.6,.61
TD,p61p62,2023,1007899.4,969180.5,.0075,.0073,.61,.62
TD,p62p63,2023,1029049.2,990941.6000000001,.0077,.0074,.62,.63
TD,p63p64,2023,1050358.2,1012912.7,.0079,.0076,.63,.64
TD,p64p65,2023,1074564.7,1037805.5,.008,.0078,.64,.65
TD,p65p66,2023,1092968.3,1057021.2,.0082,.0079,.65,.66
