country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TG,p0p1,2023,64218.4,0,.0006,0,0,.01
TG,p10p11,2023,210891,107882,.002,.001,.1,.11
TG,p11p12,2023,219777.1,127496.9,.002,.0012,.11,.12
TG,p12p13,2023,228740.5,147111.8,.0021,.0014,.12,.13
TG,p13p14,2023,238231.9,166726.7,.0022,.0015,.13,.14
TG,p14p15,2023,247137.4,186341.7,.0023,.0017,.14,.15
TG,p15p16,2023,256615.9,205956.6,.0024,.0019,.15,.16
TG,p16p17,2023,265701.7,225571.5,.0025,.0021,.16,.17
TG,p17p18,2023,274626.4,245186.4,.0025,.0023,.17,.18
TG,p18p19,2023,283776.6,264801.3,.0026,.0025,.18,.19
TG,p19p20,2023,291722.6,284416.2,.0027,.0026,.19,.2
TG,p1p2,2023,82673.20000000001,0,.0008,0,.01,.02
TG,p20p21,2023,301194.7,294223.7,.0028,.0027,.2,.21
TG,p21p22,2023,309642.9,304158,.0029,.0028,.21,.22
TG,p22p23,2023,316938.6,312904.7,.0029,.0029,.22,.23
TG,p23p24,2023,324594.8,321998.6,.003,.003,.23,.24
TG,p24p25,2023,330731.4,329545.6,.0031,.0031,.24,.25
TG,p25p26,2023,338831.9,339060.5,.0031,.0031,.25,.26
TG,p26p27,2023,349746.4,349267.7,.0032,.0032,.26,.27
TG,p27p28,2023,361143.8,359927.2,.0033,.0033,.27,.28
TG,p28p29,2023,371382.2,369404,.0034,.0034,.28,.29
TG,p29p30,2023,381910.3,379134.3,.0035,.0035,.29,.3
TG,p2p3,2023,104521.5,0,.001,0,.02,.03
TG,p30p31,2023,392940.7,389362.7,.0036,.0036,.3,.31
TG,p31p32,2023,402998.8,398876.7,.0037,.0037,.31,.32
TG,p32p33,2023,413514,408856.6,.0038,.0038,.32,.33
TG,p33p34,2023,425053.1,419868.4,.0039,.0039,.33,.34
TG,p34p35,2023,435639.2,429899.8,.004,.004,.34,.35
TG,p35p36,2023,445929.1,439616.9,.0041,.0041,.35,.36
TG,p36p37,2023,456998.1,449953.5,.0042,.0042,.36,.37
TG,p37p38,2023,469561,461799.7,.0043,.0043,.37,.38
TG,p38p39,2023,482233.4,473750.2,.0045,.0044,.38,.39
TG,p39p40,2023,494184.6,484972.4,.0046,.0045,.39,.4
TG,p3p4,2023,121025.2,0,.0011,0,.03,.04
TG,p40p41,2023,505949.1,495993.6,.0047,.0046,.4,.41
TG,p41p42,2023,519812.7,509386.9,.0048,.0047,.41,.42
TG,p42p43,2023,532092.3,521176.8,.0049,.0048,.42,.43
TG,p43p44,2023,544185.2000000001,532783.7000000001,.005,.0049,.43,.44
TG,p44p45,2023,555827.3,543934.3,.0051,.005,.44,.45
TG,p45p46,2023,568847.4,556493.4,.0053,.0052,.45,.46
TG,p46p47,2023,577843,567716.8,.0053,.0053,.46,.47
TG,p47p48,2023,587946.1,580080.6,.0054,.0054,.47,.48
TG,p48p49,2023,595763.4,590082.6,.0055,.0055,.48,.49
TG,p49p50,2023,606504,603085.6,.0056,.0056,.49,.5
TG,p4p5,2023,135822.5,0,.0013,0,.04,.05
TG,p50p51,2023,620103.6,618995.5,.0057,.0057,.5,.51
TG,p51p52,2023,629331,630580.3,.0058,.0058,.51,.52
TG,p52p53,2023,638841.8,642455.7000000001,.0059,.0059,.52,.53
TG,p53p54,2023,649885,655901.1000000001,.006,.0061,.53,.54
TG,p54p55,2023,661005.6000000001,669436,.0061,.0062,.54,.55
TG,p55p56,2023,672757.2000000001,683623.5,.0062,.0063,.55,.5600000000000001
TG,p56p57,2023,686311.7000000001,697038.1000000001,.0064,.0065,.5600000000000001,.57
TG,p57p58,2023,701437.5,712070.3,.0065,.0066,.57,.58
TG,p58p59,2023,715069.3,725605.8,.0066,.0067,.58,.59
TG,p59p60,2023,729808.7000000001,740288.8,.0068,.0069,.59,.6
TG,p5p6,2023,148585.1,9807.5,.0014,.0001,.05,.06
TG,p60p61,2023,744097.3,754545.6000000001,.0069,.007,.6,.61
TG,p61p62,2023,763073.7000000001,773733.3,.0071,.0072,.61,.62
TG,p62p63,2023,784625.8,795620,.0073,.0074,.62,.63
TG,p63p64,2023,803228.7000000001,814501.6000000001,.0074,.0075,.63,.64
TG,p64p65,2023,820415,831980.6000000001,.0076,.0077,.64,.65
TG,p65p66,2023,838064.9,849963.8,.0078,.0079,.65,.66
TG,p66p67,2023,854684.5,868288.4,.0079,.008,.66,.67
TG,p67p68,2023,874317.7000000001,889770.8,.0081,.0082,.67,.68
TG,p68p69,2023,894131.2000000001,911467.7000000001,.0083,.0084,.68,.6899999999999999
TG,p69p70,2023,915664,934983.2000000001,.0085,.0087,.6899999999999999,.7
TG,p6p7,2023,162532.4,29422.4,.0015,.0003,.06,.07
TG,p70p71,2023,939115.6000000001,960509.7000000001,.0087,.0089,.7,.71
TG,p71p72,2023,960538.9,983710.3,.0089,.0091,.71,.72
TG,p72p73,2023,988298.4,1013484.4,.0091,.0094,.72,.73
TG,p73p74,2023,1014139,1041291.1,.0094,.0096,.73,.74
TG,p74p75,2023,1041151.6,1070323.3,.0096,.0099,.74,.75
TG,p75p76,2023,1070224.6,1101514.4,.0099,.0102,.75,.76
TG,p76p77,2023,1106310,1137505.3,.0102,.0105,.76,.77
TG,p77p78,2023,1145512,1176759.6,.0106,.0109,.77,.78
TG,p78p79,2023,1187135.2,1218568.1,.011,.0113,.78,.79
TG,p79p80,2023,1227670.1,1259271,.0114,.0117,.79,.8
TG,p7p8,2023,176248,49037.3,.0016,.0005,.07,.08
TG,p80p81,2023,1265249.4,1296932.7,.0117,.012,.8,.8100000000000001
TG,p81p82,2023,1316821.1,1348734.9,.0122,.0125,.8100000000000001,.82
TG,p82p83,2023,1376441.9,1408928.1,.0127,.013,.82,.83
TG,p83p84,2023,1441484.5,1474775.5,.0133,.0137,.83,.84
TG,p84p85,2023,1507660.4,1541794.2,.014,.0143,.84,.85
TG,p85p86,2023,1581524.7,1616848,.0146,.015,.85,.86
TG,p86p87,2023,1653702,1691505.4,.0153,.0157,.86,.87
TG,p87p88,2023,1759411.5,1801142.6,.0163,.0167,.87,.88
TG,p88p89,2023,1865748.8,1911465.1,.0173,.0177,.88,.89
TG,p89p90,2023,2014057,2065574.4,.0186,.0191,.89,.9
TG,p8p9,2023,188282.9,68652.2,.0017,.0006,.08,.09
TG,p90p91,2023,2158363.2,2215555.7,.02,.0205,.9,.91
TG,p91p92,2023,2371433.9,2432777.3,.022,.0225,.91,.92
TG,p92p93,2023,2594231,2659236.1,.024,.0246,.92,.93
TG,p93p94,2023,2904920.3,2975930.2,.0269,.0275,.93,.9399999999999999
TG,p94p95,2023,3263433.7,3340841,.0302,.0309,.9399999999999999,.95
TG,p95p96,2023,3735960,3822058,.0346,.0354,.95,.96
TG,p96p97,2023,4412084.9,4495289.2,.0408,.0416,.96,.97
TG,p97p98,2023,5521344.100000001,5603155.5,.0511,.0519,.97,.98
TG,p98p99,2023,7455435.600000001,7536019.9,.069,.0698,.98,.99
TG,p99.1p99.2,2023,9217490.4,9305138.1,.0085,.0086,.991,.992
TG,p99.2p99.3,2023,9700544.800000001,9820064.700000001,.009,.0091,.992,.993
