country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TH,p0p1,2023,16463.8,0,.0007,0,0,.01
TH,p10p11,2023,35319.8,16873.8,.0014,.0007,.1,.11
TH,p11p12,2023,37506.6,19941.8,.0015,.0008,.11,.12
TH,p12p13,2023,39675.4,23009.8,.0016,.0009,.12,.13
TH,p13p14,2023,41847.2,26077.7,.0017,.001,.13,.14
TH,p14p15,2023,43988.9,29145.7,.0017,.0012,.14,.15
TH,p15p16,2023,46213.2,32213.7,.0018,.0013,.15,.16
TH,p16p17,2023,48452.5,35281.6,.0019,.0014,.16,.17
TH,p17p18,2023,50673.7,38349.6,.002,.0015,.17,.18
TH,p18p19,2023,52892,41417.60000000001,.0021,.0016,.18,.19
TH,p19p20,2023,55012.8,44485.5,.0022,.0018,.19,.2
TH,p1p2,2023,19157.5,0,.0008,0,.01,.02
TH,p20p21,2023,57109.60000000001,46019.5,.0023,.0018,.2,.21
TH,p21p22,2023,59144.9,48178.3,.0024,.0019,.21,.22
TH,p22p23,2023,61151.7,50296.9,.0024,.002,.22,.23
TH,p23p24,2023,63209.4,52460,.0025,.0021,.23,.24
TH,p24p25,2023,65313.7,54666.3,.0026,.0022,.24,.25
TH,p25p26,2023,67307,56741.3,.0027,.0023,.25,.26
TH,p26p27,2023,69231.3,58699.9,.0028,.0023,.26,.27
TH,p27p28,2023,71220.10000000001,60718.2,.0028,.0024,.27,.28
TH,p28p29,2023,73093.40000000001,62602.2,.0029,.0025,.28,.29
TH,p29p30,2023,75134.7,64657,.003,.0026,.29,.3
TH,p2p3,2023,20627.4,0,.0008,0,.02,.03
TH,p30p31,2023,77314,66846.2,.0031,.0027,.3,.31
TH,p31p32,2023,79445.3,69006.2,.0032,.0027,.31,.32
TH,p32p33,2023,81585.5,71171.40000000001,.0032,.0028,.32,.33
TH,p33p34,2023,83743.8,73350.7,.0033,.0029,.33,.34
TH,p34p35,2023,85894.60000000001,75516.8,.0034,.003,.34,.35
TH,p35p36,2023,88183.40000000001,77820.7,.0035,.0031,.35,.36
TH,p36p37,2023,90310.10000000001,79998,.0036,.0032,.36,.37
TH,p37p38,2023,92471.40000000001,82203.40000000001,.0037,.0033,.37,.38
TH,p38p39,2023,94541.20000000001,84308,.0038,.0034,.38,.39
TH,p39p40,2023,96990.40000000001,86803.40000000001,.0039,.0034,.39,.4
TH,p3p4,2023,21678.8,0,.0009,0,.03,.04
TH,p40p41,2023,99586.70000000001,89444.8,.004,.0036,.4,.41
TH,p41p42,2023,102226.4,92183.3,.0041,.0037,.41,.42
TH,p42p43,2023,104876.6,94930,.0042,.0038,.42,.43
TH,p43p44,2023,107276.4,97410.20000000001,.0043,.0039,.43,.44
TH,p44p45,2023,109680.6,99894.60000000001,.0044,.004,.44,.45
TH,p45p46,2023,112012.9,102299.6,.0045,.0041,.45,.46
TH,p46p47,2023,114612.1,104948.8,.0046,.0042,.46,.47
TH,p47p48,2023,117278.8,107664.8,.0047,.0043,.47,.48
TH,p48p49,2023,120055.1,110490.2,.0048,.0044,.48,.49
TH,p49p50,2023,122798.3,113278.1,.0049,.0045,.49,.5
TH,p4p5,2023,22812.6,0,.0009,0,.04,.05
TH,p50p51,2023,125534,116054.2,.005,.0046,.5,.51
TH,p51p52,2023,128443.7,119041.8,.0051,.0047,.51,.52
TH,p52p53,2023,131356.4,122032.2,.0052,.0048,.52,.53
TH,p53p54,2023,134401.1,125155.9,.0053,.005,.53,.54
TH,p54p55,2023,137417.3,128248.5,.0055,.0051,.54,.55
TH,p55p56,2023,140941.9,131863.5,.0056,.0052,.55,.5600000000000001
TH,p56p57,2023,144367.5,135402.6,.0057,.0054,.5600000000000001,.57
TH,p57p58,2023,148184.6,139342.8,.0059,.0055,.57,.58
TH,p58p59,2023,152189.2,143473.9,.006,.0057,.58,.59
TH,p59p60,2023,155860.8,147258.4,.0062,.0059,.59,.6
TH,p5p6,2023,24150.5,1534,.001,.0001,.05,.06
TH,p60p61,2023,159661.4,151173.3,.0063,.006,.6,.61
TH,p61p62,2023,164063.5,155732.4,.0065,.0062,.61,.62
TH,p62p63,2023,168489.5,160316.7,.0067,.0064,.62,.63
TH,p63p64,2023,173427,165422.9,.0069,.0066,.63,.64
TH,p64p65,2023,178666,170840.5,.0071,.0068,.64,.65
TH,p65p66,2023,184255.9,176616.7,.0073,.007,.65,.66
TH,p66p67,2023,189866.8,182411,.0075,.0072,.66,.67
TH,p67p68,2023,194711.3,187408.8,.0077,.0074,.67,.68
TH,p68p69,2023,200451.2,193331,.008,.0077,.68,.6899999999999999
TH,p69p70,2023,207065.5,200151.1,.0082,.008,.6899999999999999,.7
TH,p6p7,2023,25897.8,4602,.001,.0002,.06,.07
TH,p70p71,2023,213426.4,206708.8,.0085,.0082,.7,.71
TH,p71p72,2023,220696.1,214179.3,.0088,.0085,.71,.72
TH,p72p73,2023,228102.4,221790.6,.0091,.0088,.72,.73
TH,p73p74,2023,234952.1,228825.3,.0093,.0091,.73,.74
TH,p74p75,2023,242608.9,236689.3,.0096,.0094,.74,.75
TH,p75p76,2023,250625.5,244923.6,.01,.0097,.75,.76
TH,p76p77,2023,259119.1,253627.1,.0103,.0101,.76,.77
TH,p77p78,2023,269205.6,263975,.0107,.0105,.77,.78
TH,p78p79,2023,280595.4,275668.8,.0112,.011,.78,.79
TH,p79p80,2023,292307.7,287702.6,.0116,.0114,.79,.8
TH,p7p8,2023,27946.6,7669.900000000001,.0011,.0003,.07,.08
TH,p80p81,2023,305099.9,300859.7,.0121,.012,.8,.8100000000000001
TH,p81p82,2023,317560.6,313673.9,.0126,.0125,.8100000000000001,.82
TH,p82p83,2023,332281.6,328833.4,.0132,.0131,.82,.83
TH,p83p84,2023,351632.5,348789.8,.014,.0139,.83,.84
TH,p84p85,2023,369416.2,367170.8,.0147,.0146,.84,.85
TH,p85p86,2023,388494.2,386936,.0154,.0154,.85,.86
TH,p86p87,2023,408014.7,407184.6,.0162,.0162,.86,.87
TH,p87p88,2023,429395,429436,.0171,.0171,.87,.88
TH,p88p89,2023,453676,454792.5,.018,.0181,.88,.89
TH,p89p90,2023,484450.5,486995.9,.0193,.0194,.89,.9
TH,p8p9,2023,30172.4,10737.9,.0012,.0004,.08,.09
TH,p90p91,2023,521043.7,525409.1,.0207,.0209,.9,.91
TH,p91p92,2023,569778.2000000001,576757.9,.0226,.0229,.91,.92
TH,p92p93,2023,627696.9,637990.2000000001,.0249,.0254,.92,.93
TH,p93p94,2023,683779.9,697764.6000000001,.0272,.0277,.93,.9399999999999999
TH,p94p95,2023,755361.4,774221.4,.03,.0308,.9399999999999999,.95
TH,p95p96,2023,856407.5,882184.3,.034,.0351,.95,.96
TH,p96p97,2023,986098.3,1023217.3,.0392,.0407,.96,.97
TH,p97p98,2023,1194779.9,1249637.3,.0475,.0497,.97,.98
TH,p98p99,2023,1719860.1,1815648.9,.0683,.0722,.98,.99
TH,p99.1p99.2,2023,2198385.9,2363915,.0087,.0094,.991,.992
TH,p99.2p99.3,2023,2302842.5,2500350,.0092,.0099,.992,.993
TH,p99.3p99.4,2023,2514556.8,2759603.7,.01,.011,.993,.9940000000000001
TH,p99.4p99.5,2023,2878426.6,3193190.5,.0114,.0127,.9940000000000001,.995
TH,p99.5p99.6,2023,3162544,3547828.5,.0126,.0141,.995,.996
TH,p99.6p99.7,2023,3843137.9,4359760.100000001,.0153,.0173,.996,.997
TH,p99.7p99.8,2023,4658790.8,5333441.4,.0185,.0212,.997,.998
TH,p99.8p99.9,2023,5321114.7,6128930.300000001,.0211,.0244,.998,.9990000000000001
TH,p99.9p100,2023,14578543.2,17421208.5,.0579,.0692,.9990000000000001,1
TH,p99p99.1,2023,2156000.3,2297635.9,.0086,.0091,.99,.991
TH,p9p10,2023,32669.6,13805.9,.0013,.0005,.09,.1
