country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TJ,p0p1,2023,1304.1,0,.0005,0,0,.01
TJ,p10p11,2023,5528.400000000001,2876.3,.0021,.0011,.1,.11
TJ,p11p12,2023,5774,3399.3,.0022,.0013,.11,.12
TJ,p12p13,2023,6072.5,3922.3,.0023,.0015,.12,.13
TJ,p13p14,2023,6363.900000000001,4445.3,.0025,.0017,.13,.14
TJ,p14p15,2023,6606.200000000001,4968.200000000001,.0025,.0019,.14,.15
TJ,p15p16,2023,6919.8,5491.200000000001,.0027,.0021,.15,.16
TJ,p16p17,2023,7144.400000000001,6014.200000000001,.0028,.0023,.16,.17
TJ,p17p18,2023,7316,6537.1,.0028,.0025,.17,.18
TJ,p18p19,2023,7529.3,7060.1,.0029,.0027,.18,.19
TJ,p19p20,2023,7723.700000000001,7583.1,.003,.0029,.19,.2
TJ,p1p2,2023,1908.1,0,.0007,0,.01,.02
TJ,p20p21,2023,7942.900000000001,7844.6,.0031,.003,.2,.21
TJ,p21p22,2023,8125.1,8046.700000000001,.0031,.0031,.21,.22
TJ,p22p23,2023,8291.6,8232.5,.0032,.0032,.22,.23
TJ,p23p24,2023,8491.5,8452,.0033,.0033,.23,.24
TJ,p24p25,2023,8727.700000000001,8708.1,.0034,.0034,.24,.25
TJ,p25p26,2023,8964.800000000001,8965.200000000001,.0035,.0035,.25,.26
TJ,p26p27,2023,9244.800000000001,9218.4,.0036,.0035,.26,.27
TJ,p27p28,2023,9489.800000000001,9436,.0037,.0036,.27,.28
TJ,p28p29,2023,9758.9,9677.1,.0038,.0037,.28,.29
TJ,p29p30,2023,10055.4,9946.300000000001,.0039,.0038,.29,.3
TJ,p2p3,2023,2479.8,0,.001,0,.02,.03
TJ,p30p31,2023,10316.3,10178.3,.004,.0039,.3,.31
TJ,p31p32,2023,10541.6,10385.7,.0041,.004,.31,.32
TJ,p32p33,2023,10789,10615.4,.0042,.0041,.32,.33
TJ,p33p34,2023,11055.1,10863.9,.0043,.0042,.33,.34
TJ,p34p35,2023,11371.9,11164.3,.0044,.0043,.34,.35
TJ,p35p36,2023,11638.1,11412.7,.0045,.0044,.35,.36
TJ,p36p37,2023,11841.2,11645,.0046,.0045,.36,.37
TJ,p37p38,2023,12094,11927.9,.0047,.0046,.37,.38
TJ,p38p39,2023,12348.9,12212.7,.0048,.0047,.38,.39
TJ,p39p40,2023,12560.7,12453.3,.0048,.0048,.39,.4
TJ,p3p4,2023,2898.9,0,.0011,0,.03,.04
TJ,p40p41,2023,12823.5,12745.8,.0049,.0049,.4,.41
TJ,p41p42,2023,13082.6,13039,.005,.005,.41,.42
TJ,p42p43,2023,13333.1,13323.4,.0051,.0051,.42,.43
TJ,p43p44,2023,13613.8,13638.8,.0052,.0053,.43,.44
TJ,p44p45,2023,13978.7,14040.3,.0054,.0054,.44,.45
TJ,p45p46,2023,14261,14357.3,.0055,.0055,.45,.46
TJ,p46p47,2023,14635.1,14706.4,.0056,.0057,.46,.47
TJ,p47p48,2023,14961.9,15006.8,.0058,.0058,.47,.48
TJ,p48p49,2023,15265,15283.2,.0059,.0059,.48,.49
TJ,p49p50,2023,15668.6,15662.2,.006,.006,.49,.5
TJ,p4p5,2023,3284.7,0,.0013,0,.04,.05
TJ,p50p51,2023,16036.3,16004.7,.0062,.0062,.5,.51
TJ,p51p52,2023,16430,16366.7,.0063,.0063,.51,.52
TJ,p52p53,2023,16792.2,16696.7,.0065,.0064,.52,.53
TJ,p53p54,2023,17217.4,17091.2,.0066,.0066,.53,.54
TJ,p54p55,2023,17594.4,17436.4,.0068,.0067,.54,.55
TJ,p55p56,2023,17990.6,17801.6,.0069,.0069,.55,.5600000000000001
TJ,p56p57,2023,18320.3,18169.5,.0071,.007,.5600000000000001,.57
TJ,p57p58,2023,18736.7,18626.3,.0072,.0072,.57,.58
TJ,p58p59,2023,19131.2,19061,.0074,.0073,.58,.59
TJ,p59p60,2023,19577.2,19548.3,.0075,.0075,.59,.6
TJ,p5p6,2023,3719.8,261.5,.0014,.0001,.05,.06
TJ,p60p61,2023,20003,20015.5,.0077,.0077,.6,.61
TJ,p61p62,2023,20493.1,20550.9,.0079,.0079,.61,.62
TJ,p62p63,2023,21015.1,21119.7,.0081,.0081,.62,.63
TJ,p63p64,2023,21485.7,21635.5,.0083,.0083,.63,.64
TJ,p64p65,2023,22002.2,22199.1,.0085,.0085,.64,.65
TJ,p65p66,2023,22557,22802.2,.0087,.0088,.65,.66
TJ,p66p67,2023,23128.6,23399.1,.0089,.009,.66,.67
TJ,p67p68,2023,23641.7,23935.9,.0091,.0092,.67,.68
TJ,p68p69,2023,24147.4,24465.3,.0093,.0094,.68,.6899999999999999
TJ,p69p70,2023,24707.6,25051,.0095,.0096,.6899999999999999,.7
TJ,p6p7,2023,4139,784.5,.0016,.0003,.06,.07
TJ,p70p71,2023,25384.2,25756.9,.0098,.0099,.7,.71
TJ,p71p72,2023,26015.6,26419.7,.01,.0102,.71,.72
TJ,p72p73,2023,26760.1,27199.2,.0103,.0105,.72,.73
TJ,p73p74,2023,27395.5,27866.4,.0105,.0107,.73,.74
TJ,p74p75,2023,28150.5,28657,.0108,.011,.74,.75
TJ,p75p76,2023,28919.4,29461.6,.0111,.0113,.75,.76
TJ,p76p77,2023,29745.6,30312.1,.0115,.0117,.76,.77
TJ,p77p78,2023,30560.7,31151,.0118,.012,.77,.78
TJ,p78p79,2023,31509.6,32127.9,.0121,.0124,.78,.79
TJ,p79p80,2023,32582.2,33233,.0125,.0128,.79,.8
TJ,p7p8,2023,4501.7,1307.4,.0017,.0005,.07,.08
TJ,p80p81,2023,33582.3,34262.7,.0129,.0132,.8,.8100000000000001
TJ,p81p82,2023,34564.8,35272.2,.0133,.0136,.8100000000000001,.82
TJ,p82p83,2023,35670.1,36408.3,.0137,.014,.82,.83
TJ,p83p84,2023,36968.9,37743.8,.0142,.0145,.83,.84
TJ,p84p85,2023,38342.1,39155.7,.0148,.0151,.84,.85
TJ,p85p86,2023,39742.10000000001,40594.8,.0153,.0156,.85,.86
TJ,p86p87,2023,41347,42243.2,.0159,.0163,.86,.87
TJ,p87p88,2023,43058.10000000001,44000.7,.0166,.0169,.87,.88
TJ,p88p89,2023,45078.10000000001,46076.60000000001,.0174,.0177,.88,.89
TJ,p89p90,2023,47302.5,48363,.0182,.0186,.89,.9
TJ,p8p9,2023,4874.1,1830.4,.0019,.0007,.08,.09
TJ,p90p91,2023,47330.3,48377.10000000001,.0182,.0186,.9,.91
TJ,p91p92,2023,50723.9,51868,.0195,.02,.91,.92
TJ,p92p93,2023,55188.60000000001,56462.3,.0213,.0217,.92,.93
TJ,p93p94,2023,60631.9,62063.4,.0233,.0239,.93,.9399999999999999
TJ,p94p95,2023,68332.60000000001,69991.2,.0263,.027,.9399999999999999,.95
TJ,p95p96,2023,77277.7,79196.3,.0298,.0305,.95,.96
TJ,p96p97,2023,88468.20000000001,90788,.0341,.035,.96,.97
TJ,p97p98,2023,107953.7,110955,.0416,.0427,.97,.98
TJ,p98p99,2023,145276.1,149567,.0559,.0576,.98,.99
TJ,p99.1p99.2,2023,188426.3,194212.6,.0073,.0075,.991,.992
TJ,p99.2p99.3,2023,201688.5,207934.8,.0078,.008,.992,.993
TJ,p99.3p99.4,2023,217705.7,224506.4,.0084,.0086,.993,.9940000000000001
TJ,p99.4p99.5,2023,238614,246138.5,.0092,.0095,.9940000000000001,.995
TJ,p99.5p99.6,2023,267031.7,275538.7,.0103,.0106,.995,.996
TJ,p99.6p99.7,2023,305398.5,315231.6,.0118,.0121,.996,.997
TJ,p99.7p99.8,2023,366748.7,378700.7,.0141,.0146,.997,.998
TJ,p99.8p99.9,2023,495872.2,512279.5,.0191,.0197,.998,.9990000000000001
TJ,p99.9p100,2023,1195559,1236107.7,.046,.0476,.9990000000000001,1
TJ,p99p99.1,2023,177196.9,182594.3,.0068,.007,.99,.991
TJ,p9p10,2023,5243.1,2353.4,.002,.0009,.09,.1
