country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TL,p0p1,2023,312.7,0,.0011,0,0,.01
TL,p10p11,2023,802.3000000000001,353.4,.0029,.0013,.1,.11
TL,p11p12,2023,833,417.6,.003,.0015,.11,.12
TL,p12p13,2023,862.8000000000001,481.9,.0031,.0017,.12,.13
TL,p13p14,2023,894.8000000000001,546.1,.0032,.0019,.13,.14
TL,p14p15,2023,925.1,610.4,.0033,.0022,.14,.15
TL,p15p16,2023,951.2,674.6,.0034,.0024,.15,.16
TL,p16p17,2023,979.5,738.9000000000001,.0035,.0026,.16,.17
TL,p17p18,2023,1006.1,803.1,.0036,.0029,.17,.18
TL,p18p19,2023,1037.4,867.3000000000001,.0037,.0031,.18,.19
TL,p19p20,2023,1066.2,931.6,.0038,.0033,.19,.2
TL,p1p2,2023,364.2,0,.0013,0,.01,.02
TL,p20p21,2023,1097.3,963.7,.0039,.0034,.2,.21
TL,p21p22,2023,1128,991.9000000000001,.004,.0035,.21,.22
TL,p22p23,2023,1157.4,1018.2,.0041,.0036,.22,.23
TL,p23p24,2023,1183.9,1041.3,.0042,.0037,.23,.24
TL,p24p25,2023,1209.1,1062.8,.0043,.0038,.24,.25
TL,p25p26,2023,1233.9,1083.6,.0044,.0039,.25,.26
TL,p26p27,2023,1256.8,1101.9,.0045,.0039,.26,.27
TL,p27p28,2023,1281.5,1122.1,.0046,.004,.27,.28
TL,p28p29,2023,1310.4,1147.1,.0047,.0041,.28,.29
TL,p29p30,2023,1339.4,1171.9,.0048,.0042,.29,.3
TL,p2p3,2023,424.5,0,.0015,0,.02,.03
TL,p30p31,2023,1369.3,1197.7,.0049,.0043,.3,.31
TL,p31p32,2023,1384.5,1219.8,.0049,.0044,.31,.32
TL,p32p33,2023,1405.1,1248,.005,.0045,.32,.33
TL,p33p34,2023,1424.7,1275.2,.0051,.0046,.33,.34
TL,p34p35,2023,1441.3,1298.8,.0051,.0046,.34,.35
TL,p35p36,2023,1461.3,1326.3,.0052,.0047,.35,.36
TL,p36p37,2023,1480,1352.6,.0053,.0048,.36,.37
TL,p37p38,2023,1501.1,1381.6,.0054,.0049,.37,.38
TL,p38p39,2023,1518.3,1406.1,.0054,.005,.38,.39
TL,p39p40,2023,1540.3,1436.1,.0055,.0051,.39,.4
TL,p3p4,2023,477.4,0,.0017,0,.03,.04
TL,p40p41,2023,1559.4,1462.6,.0056,.0052,.4,.41
TL,p41p42,2023,1578.3,1490,.0056,.0053,.41,.42
TL,p42p43,2023,1600.8,1521.5,.0057,.0054,.42,.43
