country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TM,p0p1,2023,4846.900000000001,0,.0011,0,0,.01
TM,p10p11,2023,9037.1,3764.7,.002,.0008,.1,.11
TM,p11p12,2023,9257,4449.2,.002,.001,.11,.12
TM,p12p13,2023,9507.800000000001,5133.700000000001,.0021,.0011,.12,.13
TM,p13p14,2023,9779.4,5818.200000000001,.0021,.0013,.13,.14
TM,p14p15,2023,10091.7,6502.700000000001,.0022,.0014,.14,.15
TM,p15p16,2023,10433.9,7187.200000000001,.0023,.0016,.15,.16
TM,p16p17,2023,10743.5,7871.6,.0023,.0017,.16,.17
TM,p17p18,2023,10981.7,8556.1,.0024,.0019,.17,.18
TM,p18p19,2023,11265.3,9240.6,.0025,.002,.18,.19
TM,p19p20,2023,11535.5,9925.1,.0025,.0022,.19,.2
TM,p1p2,2023,5202.200000000001,0,.0011,0,.01,.02
TM,p20p21,2023,11881.2,10267.4,.0026,.0022,.2,.21
TM,p21p22,2023,12210.2,10680.3,.0027,.0023,.21,.22
TM,p22p23,2023,12501.2,11051.1,.0027,.0024,.22,.23
TM,p23p24,2023,12702,11322.3,.0028,.0025,.23,.24
TM,p24p25,2023,12933.1,11625.7,.0028,.0025,.24,.25
TM,p25p26,2023,13125.3,11885.8,.0029,.0026,.25,.26
TM,p26p27,2023,13391.2,12206.9,.0029,.0027,.26,.27
TM,p27p28,2023,13683.8,12555.7,.003,.0027,.27,.28
TM,p28p29,2023,13955.4,12880.4,.003,.0028,.28,.29
TM,p29p30,2023,14227,13203.9,.0031,.0029,.29,.3
TM,p2p3,2023,5772.700000000001,0,.0013,0,.02,.03
TM,p30p31,2023,14623,13659.6,.0032,.003,.3,.31
TM,p31p32,2023,15022.9,14091.2,.0033,.0031,.31,.32
TM,p32p33,2023,15485.9,14589.4,.0034,.0032,.32,.33
TM,p33p34,2023,15869.3,15001.6,.0035,.0033,.33,.34
TM,p34p35,2023,16229.3,15388.3,.0035,.0034,.34,.35
TM,p35p36,2023,16628.8,15816.1,.0036,.0034,.35,.36
TM,p36p37,2023,17020.2,16237.3,.0037,.0035,.36,.37
TM,p37p38,2023,17405.6,16651.4,.0038,.0036,.37,.38
TM,p38p39,2023,17827.6,17103.7,.0039,.0037,.38,.39
TM,p39p40,2023,18176.3,17477,.004,.0038,.39,.4
TM,p3p4,2023,6253.5,0,.0014,0,.03,.04
TM,p40p41,2023,18591.7,17920.6,.0041,.0039,.4,.41
TM,p41p42,2023,19057.2,18426.4,.0042,.004,.41,.42
TM,p42p43,2023,19504.6,18913.2,.0043,.0041,.42,.43
TM,p43p44,2023,19990.4,19439.6,.0044,.0042,.43,.44
TM,p44p45,2023,20438.6,19926.5,.0045,.0043,.44,.45
TM,p45p46,2023,20914.8,20442.1,.0046,.0045,.45,.46
TM,p46p47,2023,21454.9,21024.1,.0047,.0046,.46,.47
TM,p47p48,2023,22030.4,21643,.0048,.0047,.47,.48
TM,p48p49,2023,22571.6,22224.8,.0049,.0048,.48,.49
TM,p49p50,2023,22981.3,22666.9,.005,.0049,.49,.5
TM,p4p5,2023,6716,0,.0015,0,.04,.05
TM,p50p51,2023,23404.2,23121.7,.0051,.005,.5,.51
TM,p51p52,2023,23992.2,23756.6,.0052,.0052,.51,.52
TM,p52p53,2023,24567.6,24377.2,.0054,.0053,.52,.53
TM,p53p54,2023,25156.4,25012.2,.0055,.0055,.53,.54
TM,p54p55,2023,25716.6,25616.1,.0056,.0056,.54,.55
TM,p55p56,2023,26343.1,26290.6,.0057,.0057,.55,.5600000000000001
TM,p56p57,2023,27088.1,27091.8,.0059,.0059,.5600000000000001,.57
TM,p57p58,2023,27816.5,27874.5,.0061,.0061,.57,.58
TM,p58p59,2023,28576,28690,.0062,.0063,.58,.59
TM,p59p60,2023,29408.8,29583.2,.0064,.0064,.59,.6
TM,p5p6,2023,7136.900000000001,342.2,.0016,.0001,.05,.06
TM,p60p61,2023,30175.4,30405.8,.0066,.0066,.6,.61
TM,p61p62,2023,30995,31288.2,.0068,.0068,.61,.62
TM,p62p63,2023,31814.7,32170.5,.0069,.007,.62,.63
TM,p63p64,2023,32836.2,33267,.0072,.0073,.63,.64
TM,p64p65,2023,33689,34184.4,.0073,.0075,.64,.65
TM,p65p66,2023,34744.4,35316.4,.0076,.0077,.65,.66
TM,p66p67,2023,35793.2,36438.4,.0078,.0079,.66,.67
TM,p67p68,2023,36978.6,37704.9,.0081,.0082,.67,.68
TM,p68p69,2023,38004.5,38802.2,.0083,.0085,.68,.6899999999999999
TM,p69p70,2023,39116.5,39990.4,.0085,.0087,.6899999999999999,.7
TM,p6p7,2023,7471.1,1026.7,.0016,.0002,.06,.07
TM,p70p71,2023,40316.60000000001,41271.8,.0088,.009,.7,.71
TM,p71p72,2023,41723.2,42751.10000000001,.0091,.0093,.71,.72
TM,p72p73,2023,42771.5,43849.8,.0093,.0096,.72,.73
TM,p73p74,2023,44185.2,45334.60000000001,.0096,.0099,.73,.74
TM,p74p75,2023,45738.4,46966.8,.01,.0102,.74,.75
TM,p75p76,2023,47270.2,48575.2,.0103,.0106,.75,.76
TM,p76p77,2023,48796.10000000001,50172.10000000001,.0106,.0109,.76,.77
TM,p77p78,2023,50433.8,51886.60000000001,.011,.0113,.77,.78
TM,p78p79,2023,52004.2,53528.2,.0113,.0117,.78,.79
TM,p79p80,2023,53907.4,55521,.0117,.0121,.79,.8
TM,p7p8,2023,7832.400000000001,1711.2,.0017,.0004,.07,.08
TM,p80p81,2023,55907.2,57614.8,.0122,.0126,.8,.8100000000000001
TM,p81p82,2023,57802,59585.60000000001,.0126,.013,.8100000000000001,.82
TM,p82p83,2023,59907.9,61777.7,.0131,.0135,.82,.83
TM,p83p84,2023,62555.4,64539.4,.0136,.0141,.83,.84
TM,p84p85,2023,65244.10000000001,67341.5,.0142,.0147,.84,.85
TM,p85p86,2023,68240.3,70464.7,.0149,.0154,.85,.86
TM,p86p87,2023,71315.2,73662.2,.0155,.0161,.86,.87
TM,p87p88,2023,75036.40000000001,77538,.0164,.0169,.87,.88
TM,p88p89,2023,79077.60000000001,81746.3,.0172,.0178,.88,.89
TM,p89p90,2023,83753.40000000001,86617.70000000001,.0183,.0189,.89,.9
TM,p8p9,2023,8200.5,2395.7,.0018,.0005,.08,.09
TM,p90p91,2023,85206.3,88085.8,.0186,.0192,.9,.91
TM,p91p92,2023,91920.90000000001,95043.8,.02,.0207,.91,.92
TM,p92p93,2023,100840.5,104301.4,.022,.0227,.92,.93
TM,p93p94,2023,111655.7,115525.1,.0243,.0252,.93,.9399999999999999
TM,p94p95,2023,124522.6,128870.2,.0271,.0281,.9399999999999999,.95
TM,p95p96,2023,141065.2,146028.9,.0307,.0318,.95,.96
TM,p96p97,2023,163383.5,169172.4,.0356,.0369,.96,.97
TM,p97p98,2023,204015.8,211372.9,.0445,.0461,.97,.98
TM,p98p99,2023,279941.4,290253.7,.061,.0633,.98,.99
TM,p99.1p99.2,2023,380241.6,394263.3,.0083,.0086,.991,.992
TM,p99.2p99.3,2023,412352.7,427722.1,.009,.0093,.992,.993
TM,p99.3p99.4,2023,451536.5,468549,.0098,.0102,.993,.9940000000000001
TM,p99.4p99.5,2023,503215,522394.8,.011,.0114,.9940000000000001,.995
TM,p99.5p99.6,2023,574613.8,596786.4,.0125,.013,.995,.996
TM,p99.6p99.7,2023,674124.7000000001,700467.1000000001,.0147,.0153,.996,.997
TM,p99.7p99.8,2023,836018.3,869143.6000000001,.0182,.0189,.997,.998
TM,p99.8p99.9,2023,1186075.5,1233861.2,.0258,.0269,.998,.9990000000000001
TM,p99.9p100,2023,3235106.9,3368714.2,.0705,.0734,.9990000000000001,1
TM,p99p99.1,2023,353151.1,366036.5,.0077,.008,.99,.991
TM,p9p10,2023,8603.9,3080.2,.0019,.0007,.09,.1
